Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
ITGB2,Integrin beta-2,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,27613,46,5.05 [2.30-11.07],5.2105709795769005e-05
ITGB2,Integrin beta-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of mineral metabolism,22504,541,0.57 [0.43-0.75],6.153224835921552e-05
ITGB2,Integrin beta-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,27505,376,0.47 [0.34-0.65],5.901656078785986e-06
ITGB2,Integrin beta-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Other anxiety disorders,27194,1612,0.65 [0.55-0.76],5.871751699861133e-08
ITGB2,Integrin beta-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,25761,141,3.00 [1.85-4.87],8.791071583734826e-06
ITGB2,Integrin beta-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,27118,1498,1.62 [1.38-1.89],1.8823965571700046e-09
ITGB2,Integrin beta-2,Chapter IX Diseases of the circulatory system,"Hypertension, portal",27497,46,12.53 [6.77-23.19],8.094578215062845e-16
ITGB2,Integrin beta-2,Chapter IX Diseases of the circulatory system,Oesophageal varices,25863,39,8.77 [3.91-19.66],1.362858131723293e-07
ITGB2,Integrin beta-2,Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",24511,1880,0.65 [0.57-0.76],1.7694083430877057e-08
ITGB2,Integrin beta-2,Chapter V Mental and behavioural disorders,Any mental disorder,26994,4363,0.79 [0.72-0.87],1.6521074286539968e-06
ITGB2,Integrin beta-2,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,27461,177,2.94 [1.92-4.49],6.302713994885494e-07
ITGB2,Integrin beta-2,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",27527,76,8.05 [4.70-13.77],2.7493921187246908e-14
ITGB2,Integrin beta-2,Chapter XI Diseases of the digestive system,Diverticular disease of intestine,22890,3238,0.76 [0.68-0.85],1.543554232812509e-06
ITGB2,Integrin beta-2,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,26780,98,6.46 [3.76-11.09],1.4000405728167907e-11
ITGB2,Integrin beta-2,Chapter XI Diseases of the digestive system,Other inflammatory liver diseases,26784,102,4.57 [2.63-7.95],6.919949770940372e-08
ITGB2,Integrin beta-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Dorsopathies,26595,3071,0.78 [0.69-0.87],1.365656533304523e-05
ITGB2,Integrin beta-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified arthritis,20647,2017,0.70 [0.61-0.81],1.2741590963003889e-06
ITGB2,Integrin beta-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,21307,2677,0.78 [0.69-0.88],6.994531762584023e-05
ITGB2,Integrin beta-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylopathies,25304,1780,0.68 [0.59-0.79],5.99193971841228e-07
ITGB2,Integrin beta-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylosis,24737,1213,0.66 [0.55-0.79],9.333555248694737e-06
ITGB2,Integrin beta-2,Chapter XIV Diseases of the genitourinary system,Glomerular disorders in diseases classified elsewhere,27416,67,3.87 [1.99-7.54],6.825363362242017e-05
ITGB2,Integrin beta-2,Chapter XIV Diseases of the genitourinary system,Other diseases of urinary system,26354,2263,0.72 [0.63-0.82],1.201073574346519e-06
ITGB2,Integrin beta-2,Chapter XIV Diseases of the genitourinary system,Other disorders of  bladder,24571,480,0.56 [0.42-0.75],9.470474918439118e-05
ITGB2,Integrin beta-2,Chapter XIV Diseases of the genitourinary system,Other disorders of urethra and urinary system,26036,1945,0.74 [0.64-0.85],3.097461257571177e-05
