Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SLIT2,Slit homolog 2 protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,26636,1458,1.25 [1.15-1.35],2.274195941707965e-08
SLIT2,Slit homolog 2 protein,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,24375,7164,1.09 [1.05-1.14],1.0178550200865284e-05
SLIT2,Slit homolog 2 protein,Chapter IX Diseases of the circulatory system,Hypertension,24983,6045,1.09 [1.05-1.14],5.719272954915094e-05
SLIT2,Slit homolog 2 protein,Chapter IX Diseases of the circulatory system,"Hypertension, essential",24996,6058,1.09 [1.04-1.14],7.179329650429687e-05
SLIT2,Slit homolog 2 protein,Chapter IX Diseases of the circulatory system,"Hypertension, portal",26995,39,2.07 [1.64-2.60],8.041568978356e-10
SLIT2,Slit homolog 2 protein,Chapter IX Diseases of the circulatory system,Oesophageal varices,25416,36,2.02 [1.57-2.60],3.5935493148753364e-08
SLIT2,Slit homolog 2 protein,Chapter IX Diseases of the circulatory system,Other other unspecified disorders of the circulatory system,25924,42,1.87 [1.40-2.49],1.9413722379012496e-05
SLIT2,Slit homolog 2 protein,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",27026,70,1.81 [1.46-2.25],7.38547010625346e-08
SLIT2,Slit homolog 2 protein,Chapter XI Diseases of the digestive system,Diseases of liver,27010,795,1.26 [1.14-1.40],1.3951895640647812e-05
SLIT2,Slit homolog 2 protein,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,26306,91,1.70 [1.38-2.09],4.792911879531199e-07
SLIT2,Slit homolog 2 protein,Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,27093,344,1.39 [1.21-1.61],7.395808796993707e-06
SLIT2,Slit homolog 2 protein,Chapter XI Diseases of the digestive system,Other diseases of lip and oral mucosa,26046,229,1.43 [1.21-1.69],3.28798837403061e-05
SLIT2,Slit homolog 2 protein,Chapter XI Diseases of the digestive system,Other diseases of liver,26878,663,1.32 [1.18-1.47],8.740223629268534e-07
SLIT2,Slit homolog 2 protein,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,26915,2437,1.14 [1.07-1.22],7.711975517861623e-05
