Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CD36,Platelet glycoprotein 4,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22703,2958,1.20 [1.12-1.30],2.0572512481961283e-06
CD36,Platelet glycoprotein 4,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22907,2419,1.19 [1.09-1.29],8.605776351157938e-05
CD36,Platelet glycoprotein 4,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,23193,1152,1.31 [1.16-1.48],1.08578482521711e-05
CD36,Platelet glycoprotein 4,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21877,675,1.44 [1.23-1.68],5.877892777022629e-06
CD36,Platelet glycoprotein 4,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,21152,783,1.36 [1.17-1.57],4.868102492554565e-05
CD36,Platelet glycoprotein 4,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16425,1390,1.31 [1.18-1.47],1.3520237696254318e-06
CD36,Platelet glycoprotein 4,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23378,1337,1.28 [1.15-1.44],1.472537495872205e-05
CD36,Platelet glycoprotein 4,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23437,740,1.39 [1.19-1.61],2.1202618225765053e-05
CD36,Platelet glycoprotein 4,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23354,657,1.44 [1.23-1.69],6.963861664640868e-06
CD36,Platelet glycoprotein 4,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,22669,2526,1.17 [1.07-1.27],0.0002647735063191
CD36,Platelet glycoprotein 4,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,23041,1280,1.29 [1.15-1.45],1.1169453206598554e-05
CD36,Platelet glycoprotein 4,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,23041,1280,1.29 [1.15-1.45],1.1169453206598554e-05
CD36,Platelet glycoprotein 4,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,23190,1059,1.30 [1.15-1.48],3.654073764235009e-05
CD36,Platelet glycoprotein 4,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,21462,2694,1.22 [1.13-1.33],8.10351931337292e-07
CD36,Platelet glycoprotein 4,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypo-osmolality and hyponatraemia,19291,523,1.39 [1.16-1.66],0.0003539265219624
CD36,Platelet glycoprotein 4,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,22784,4016,1.20 [1.12-1.28],8.400326659632415e-08
CD36,Platelet glycoprotein 4,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",20041,1273,1.30 [1.15-1.46],1.249978882359719e-05
CD36,Platelet glycoprotein 4,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,23132,1273,1.34 [1.20-1.50],4.108326055190044e-07
CD36,Platelet glycoprotein 4,Chapter IX Diseases of the circulatory system,Angina pectoris,22227,742,1.30 [1.12-1.52],0.0006553910380677
CD36,Platelet glycoprotein 4,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,22755,1281,1.27 [1.13-1.42],6.412349312668041e-05
CD36,Platelet glycoprotein 4,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",22929,1444,1.27 [1.14-1.41],2.228346228358953e-05
CD36,Platelet glycoprotein 4,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",23500,195,1.67 [1.26-2.21],0.0003530583732923
CD36,Platelet glycoprotein 4,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",23475,233,1.62 [1.25-2.10],0.0002805856024157
CD36,Platelet glycoprotein 4,Chapter VI Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system,23526,136,0.48 [0.32-0.72],0.0004045916037863
CD36,Platelet glycoprotein 4,Chapter X Diseases of the respiratory system,Bronchiectasis,20316,344,1.58 [1.27-1.95],3.2681971746559875e-05
CD36,Platelet glycoprotein 4,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,22540,2568,1.20 [1.11-1.31],1.0417581984506438e-05
CD36,Platelet glycoprotein 4,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,21727,4411,1.17 [1.10-1.25],6.56560206990584e-07
CD36,Platelet glycoprotein 4,Chapter X Diseases of the respiratory system,Influenza and pneumonia,23364,1395,1.27 [1.14-1.42],1.8286194579959137e-05
CD36,Platelet glycoprotein 4,Chapter X Diseases of the respiratory system,Other diseases of pleura,23372,1490,1.22 [1.09-1.36],0.0003180697088416
CD36,Platelet glycoprotein 4,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,23459,1013,1.27 [1.12-1.45],0.0003029818151567
CD36,Platelet glycoprotein 4,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",23155,1186,1.31 [1.16-1.48],1.011943048667182e-05
CD36,Platelet glycoprotein 4,Chapter X Diseases of the respiratory system,Respiratory insufficiency,16649,41,3.04 [1.80-5.15],3.3414972987374626e-05
CD36,Platelet glycoprotein 4,Chapter XI Diseases of the digestive system,Acute peritonitis,23044,74,2.36 [1.54-3.60],7.128617209578351e-05
CD36,Platelet glycoprotein 4,Chapter XI Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",22802,1373,1.23 [1.10-1.38],0.0002534746304506
CD36,Platelet glycoprotein 4,Chapter XI Diseases of the digestive system,Ulcer of oesophagus,17832,210,1.66 [1.25-2.19],0.0003962974170691
CD36,Platelet glycoprotein 4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,18504,2620,1.17 [1.08-1.27],0.000175282653095
CD36,Platelet glycoprotein 4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,18157,2273,1.18 [1.08-1.28],0.0002885465977765
CD36,Platelet glycoprotein 4,Chapter XIV Diseases of the genitourinary system,Acute renal failure,22709,1024,1.39 [1.22-1.58],4.157259345897589e-07
