Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
MCAM,Cell surface glycoprotein MUC18,Chapter II Neoplasms,Lung cancer and mesothelioma,19981,314,0.59 [0.43-0.79],0.0005331694460473
MCAM,Cell surface glycoprotein MUC18,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Vitamin B12 deficiency anaemia,26299,135,0.46 [0.29-0.71],0.0004761344470423
MCAM,Cell surface glycoprotein MUC18,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,25381,3207,0.71 [0.65-0.78],2.900092762014766e-13
MCAM,Cell surface glycoprotein MUC18,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,26965,4791,0.82 [0.76-0.88],1.561532666683851e-07
MCAM,Cell surface glycoprotein MUC18,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,27683,2127,0.79 [0.71-0.87],1.0452785854994098e-05
MCAM,Cell surface glycoprotein MUC18,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",27688,2126,0.79 [0.71-0.88],1.1587262368788482e-05
MCAM,Cell surface glycoprotein MUC18,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,27389,1517,0.55 [0.48-0.62],3.236364854966022e-20
MCAM,Cell surface glycoprotein MUC18,Chapter IX Diseases of the circulatory system,Angina pectoris,26319,904,0.67 [0.57-0.80],6.964848289316185e-06
MCAM,Cell surface glycoprotein MUC18,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,26945,1542,0.80 [0.70-0.91],0.0006476038975973
MCAM,Cell surface glycoprotein MUC18,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,25052,7400,0.89 [0.84-0.95],0.0002220648904495
MCAM,Cell surface glycoprotein MUC18,Chapter IX Diseases of the circulatory system,Hypertension,25685,6252,0.86 [0.80-0.92],6.030281322038296e-06
MCAM,Cell surface glycoprotein MUC18,Chapter IX Diseases of the circulatory system,"Hypertension, essential",25698,6265,0.86 [0.81-0.92],8.760447840307896e-06
MCAM,Cell surface glycoprotein MUC18,Chapter IX Diseases of the circulatory system,"Hypertension, portal",27773,46,2.91 [1.80-4.70],1.346904123957098e-05
MCAM,Cell surface glycoprotein MUC18,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",19599,166,2.39 [1.64-3.49],6.457404058373384e-06
MCAM,Cell surface glycoprotein MUC18,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",27149,1734,0.80 [0.70-0.90],0.0003766166356022
MCAM,Cell surface glycoprotein MUC18,Chapter IX Diseases of the circulatory system,Other noninfective disorders of lymphatic vessels and lymph nodes,26255,166,1.95 [1.41-2.70],6.164684708635589e-05
MCAM,Cell surface glycoprotein MUC18,Chapter IX Diseases of the circulatory system,Varicose veins,26559,470,1.75 [1.41-2.17],3.5630043335500333e-07
MCAM,Cell surface glycoprotein MUC18,Chapter V Mental and behavioural disorders,Any mental disorder,27261,4400,0.84 [0.78-0.91],1.3531514616420886e-05
MCAM,Cell surface glycoprotein MUC18,Chapter V Mental and behavioural disorders,Smoking dependency,27463,1221,0.69 [0.60-0.80],1.1091993568648642e-06
MCAM,Cell surface glycoprotein MUC18,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",24267,1406,0.70 [0.62-0.81],3.975049858751081e-07
MCAM,Cell surface glycoprotein MUC18,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic nephropathy, excluding more controls",1733,39,3.17 [1.65-6.07],0.0005050826000031
MCAM,Cell surface glycoprotein MUC18,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic neuropathy,2081,73,2.26 [1.55-3.30],2.2393590349919588e-05
MCAM,Cell surface glycoprotein MUC18,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",21741,2074,0.82 [0.73-0.92],0.0005064039139129
MCAM,Cell surface glycoprotein MUC18,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,26709,3016,0.82 [0.75-0.90],4.077211699725051e-05
MCAM,Cell surface glycoprotein MUC18,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",27705,1076,0.73 [0.62-0.86],9.313879154666894e-05
MCAM,Cell surface glycoprotein MUC18,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,25755,5245,0.87 [0.81-0.94],0.0002487523844415
MCAM,Cell surface glycoprotein MUC18,Chapter XI Diseases of the digestive system,Cholelithiasis,26585,1199,0.71 [0.61-0.82],5.418256563239758e-06
MCAM,Cell surface glycoprotein MUC18,Chapter XI Diseases of the digestive system,Dental caries,27040,234,0.55 [0.39-0.77],0.0004628910600142
MCAM,Cell surface glycoprotein MUC18,Chapter XI Diseases of the digestive system,Diaphragmatic hernia,26242,2520,0.82 [0.74-0.91],0.0001363061580076
MCAM,Cell surface glycoprotein MUC18,Chapter XI Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",25539,4723,0.87 [0.80-0.94],0.0002637997564779
MCAM,Cell surface glycoprotein MUC18,Chapter XI Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",27004,1618,0.79 [0.69-0.90],0.0002756227421014
MCAM,Cell surface glycoprotein MUC18,Chapter XI Diseases of the digestive system,Diverticular disease of intestine,23109,3277,0.74 [0.67-0.81],8.353568849125105e-11
MCAM,Cell surface glycoprotein MUC18,Chapter XI Diseases of the digestive system,Functional dyspepsia,21488,672,0.69 [0.56-0.84],0.0003122084854101
