Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27448,1364,1.39 [1.24-1.55],1.8109295271422892e-08
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Candidiasis,27760,481,1.32 [1.09-1.60],0.0047735812356196
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,26893,3560,1.19 [1.11-1.28],1.6970661596557674e-06
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,27462,1399,1.24 [1.11-1.39],0.0001507422892821
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,25868,834,1.28 [1.11-1.49],0.0008810385669941
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,25019,977,1.25 [1.09-1.43],0.0014039889522583
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19475,1706,1.20 [1.09-1.33],0.0004193978603187
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,24802,382,1.90 [1.54-2.35],3.0480177811871833e-09
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,27696,1633,1.19 [1.07-1.33],0.0009449140447177
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Mycoses,27827,548,1.36 [1.13-1.62],0.0008305458216024
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,27053,969,1.45 [1.27-1.66],7.601421498572918e-08
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Other septicaemia,27654,806,1.25 [1.08-1.45],0.003169278617627
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Other viral diseases,27789,194,1.55 [1.15-2.09],0.0037396500740589
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,26437,353,1.52 [1.21-1.90],0.0002706416312664
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,26355,271,1.76 [1.37-2.27],9.296140364366537e-06
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,27811,163,1.62 [1.17-2.25],0.0034690376746674
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Viral warts,27697,49,2.39 [1.36-4.22],0.0025598603563049
C4BPB,C4b-binding protein beta chain,Chapter II Neoplasms,Benign neoplasm of meninges,27859,83,2.08 [1.33-3.25],0.001277447304215
C4BPB,C4b-binding protein beta chain,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,25825,108,2.07 [1.39-3.08],0.0003180229344331
C4BPB,C4b-binding protein beta chain,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,26853,3044,1.21 [1.12-1.30],1.8086897720776563e-06
C4BPB,C4b-binding protein beta chain,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,27288,1571,1.25 [1.12-1.39],3.948991541985963e-05
C4BPB,C4b-binding protein beta chain,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,27288,1571,1.25 [1.12-1.39],3.948991541985963e-05
C4BPB,C4b-binding protein beta chain,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,27470,1300,1.40 [1.25-1.57],1.4004781858378092e-08
C4BPB,C4b-binding protein beta chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Acute alcohol intoxication,26432,68,0.51 [0.32-0.81],0.004127345770935
C4BPB,C4b-binding protein beta chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,26431,67,0.50 [0.30-0.82],0.0065568595647685
C4BPB,C4b-binding protein beta chain,"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",27440,524,1.34 [1.11-1.61],0.0020917213607725
C4BPB,C4b-binding protein beta chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,27480,1980,1.20 [1.09-1.32],0.0001858589005002
C4BPB,C4b-binding protein beta chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,24657,1928,1.20 [1.09-1.33],0.000183510784123
C4BPB,C4b-binding protein beta chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of calcium metabolism,22460,291,1.63 [1.27-2.10],0.0001146453251141
C4BPB,C4b-binding protein beta chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,25373,3204,1.16 [1.08-1.26],8.060436195273488e-05
C4BPB,C4b-binding protein beta chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of mineral metabolism,22718,549,1.49 [1.24-1.79],1.7379678176576438e-05
C4BPB,C4b-binding protein beta chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,27783,370,1.42 [1.14-1.76],0.0016076585586974
