Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
KDR,Vascular endothelial growth factor receptor 2,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),27128,2938,0.83 [0.73-0.94],0.0044077914401151
KDR,Vascular endothelial growth factor receptor 2,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",27799,65,0.37 [0.19-0.72],0.0037360581714788
KDR,Vascular endothelial growth factor receptor 2,Chapter II Neoplasms,Leiomyoma of uterus,26893,593,0.69 [0.53-0.90],0.0054926839602692
KDR,Vascular endothelial growth factor receptor 2,Chapter II Neoplasms,"Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers)",22707,84,0.38 [0.18-0.78],0.0082869217152749
KDR,Vascular endothelial growth factor receptor 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,26853,3044,0.67 [0.59-0.76],2.0623389039240839e-10
KDR,Vascular endothelial growth factor receptor 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,27288,1571,0.58 [0.49-0.68],1.1743043719234735e-10
KDR,Vascular endothelial growth factor receptor 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,27288,1571,0.58 [0.49-0.68],1.1743043719234735e-10
KDR,Vascular endothelial growth factor receptor 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,27470,1300,0.55 [0.46-0.66],9.563010758822636e-11
KDR,Vascular endothelial growth factor receptor 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,27667,243,0.42 [0.29-0.61],4.288812127208346e-06
KDR,Vascular endothelial growth factor receptor 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",27630,206,0.41 [0.28-0.61],6.1915507754829045e-06
KDR,Vascular endothelial growth factor receptor 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,22429,260,0.56 [0.37-0.85],0.0068820061888623
KDR,Vascular endothelial growth factor receptor 2,"Chapter IV Endocrine, nutritional and metabolic diseases","Disorder of thyroid, unspecified",24735,121,0.39 [0.23-0.65],0.0003382261524895
KDR,Vascular endothelial growth factor receptor 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,25373,3204,1.37 [1.20-1.55],1.376343467323092e-06
KDR,Vascular endothelial growth factor receptor 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,26966,4797,1.16 [1.05-1.29],0.0042578463055048
KDR,Vascular endothelial growth factor receptor 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Nontoxic multinodular goitre,24692,78,3.33 [1.45-7.68],0.0047057776820323
KDR,Vascular endothelial growth factor receptor 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,27391,1516,1.69 [1.40-2.03],3.3523798803417214e-08
KDR,Vascular endothelial growth factor receptor 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Unspecified dementia,27263,347,0.54 [0.37-0.78],0.0011448188164768
KDR,Vascular endothelial growth factor receptor 2,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,18120,1511,0.79 [0.66-0.95],0.0099602256676013
KDR,Vascular endothelial growth factor receptor 2,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,25067,7398,1.24 [1.14-1.35],4.054211319300088e-07
KDR,Vascular endothelial growth factor receptor 2,Chapter IX Diseases of the circulatory system,Hypertension,25698,6251,1.31 [1.20-1.44],3.037917307599117e-09
KDR,Vascular endothelial growth factor receptor 2,Chapter IX Diseases of the circulatory system,"Hypertension, essential",25710,6263,1.32 [1.20-1.44],2.600617561374189e-09
KDR,Vascular endothelial growth factor receptor 2,Chapter IX Diseases of the circulatory system,Hypotension,27747,1140,0.68 [0.55-0.83],0.0001505258912394
KDR,Vascular endothelial growth factor receptor 2,Chapter IX Diseases of the circulatory system,Other embolism and thrombosis,26140,46,0.31 [0.16-0.59],0.0003431572680543
