Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
NEDD9,Enhancer of filamentation 1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22703,2958,1.23 [1.12-1.35],1.3454527789388964e-05
NEDD9,Enhancer of filamentation 1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22907,2419,1.18 [1.06-1.32],0.0020695395430898
NEDD9,Enhancer of filamentation 1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,23193,1152,1.27 [1.10-1.47],0.0013405177107007
NEDD9,Enhancer of filamentation 1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21877,675,1.38 [1.15-1.65],0.0006032402203957
NEDD9,Enhancer of filamentation 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,21152,783,1.43 [1.21-1.68],2.7452692235378083e-05
NEDD9,Enhancer of filamentation 1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16425,1390,1.31 [1.15-1.50],7.70080365196801e-05
NEDD9,Enhancer of filamentation 1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23378,1337,1.22 [1.06-1.40],0.0055810531394477
NEDD9,Enhancer of filamentation 1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22841,798,1.30 [1.09-1.55],0.0036079543459655
NEDD9,Enhancer of filamentation 1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23437,740,1.32 [1.10-1.59],0.0024463473251078
NEDD9,Enhancer of filamentation 1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23354,657,1.37 [1.13-1.65],0.0011239639967257
NEDD9,Enhancer of filamentation 1,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,23516,33,2.10 [1.24-3.57],0.0060576159780766
NEDD9,Enhancer of filamentation 1,Chapter II Neoplasms,Benign neoplasm of meninges,23514,73,2.12 [1.46-3.06],6.582248820475641e-05
NEDD9,Enhancer of filamentation 1,Chapter II Neoplasms,Benign neoplasm: Transverse colon,23523,246,0.57 [0.37-0.87],0.0094936796712342
NEDD9,Enhancer of filamentation 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,21843,82,1.82 [1.20-2.76],0.0045396553366046
NEDD9,Enhancer of filamentation 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,22995,70,1.92 [1.29-2.87],0.0014025973821401
NEDD9,Enhancer of filamentation 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,22669,2526,1.27 [1.15-1.41],2.6913798141694456e-06
NEDD9,Enhancer of filamentation 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,23041,1280,1.26 [1.10-1.45],0.00123283619235
