Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SCRN1,Secernin-1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,24893,974,1.14 [1.04-1.26],0.0073651940877268
SCRN1,Secernin-1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19395,1702,1.11 [1.03-1.19],0.007273139000211
SCRN1,Secernin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,27331,49,1.68 [1.17-2.41],0.0051979707540069
SCRN1,Secernin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,22284,220,1.33 [1.10-1.62],0.0036259717101955
SCRN1,Secernin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Phobic anxiety disorders,25924,202,1.33 [1.09-1.63],0.0050454083768076
SCRN1,Secernin-1,Chapter IX Diseases of the circulatory system,Cardiac arrest,16680,133,1.47 [1.17-1.84],0.001036039071109
SCRN1,Secernin-1,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,19486,103,1.60 [1.25-2.04],0.0001798531894255
SCRN1,Secernin-1,Chapter X Diseases of the respiratory system,Bacterial pneumonia (organism specified),27321,128,1.43 [1.11-1.84],0.0050373491048096
SCRN1,Secernin-1,Chapter X Diseases of the respiratory system,"Bacterial pneumonia, not elsewhere classified",25945,69,1.70 [1.24-2.34],0.0009641691272843
SCRN1,Secernin-1,Chapter XI Diseases of the digestive system,Chronic gastritis,21057,346,1.26 [1.08-1.47],0.0041900868108752
SCRN1,Secernin-1,Chapter XI Diseases of the digestive system,Impacted teeth,27652,60,1.57 [1.12-2.18],0.0078710143744159
SCRN1,Secernin-1,Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,26535,826,1.15 [1.04-1.28],0.0093048036485185
SCRN1,Secernin-1,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,26823,1114,1.13 [1.03-1.24],0.0095298866678398
SCRN1,Secernin-1,Chapter XI Diseases of the digestive system,Other noninfective gastroenteritis and colitis,26691,982,1.14 [1.03-1.25],0.009566517231033
SCRN1,Secernin-1,Chapter XIV Diseases of the genitourinary system,Acute renal failure,26656,1274,1.15 [1.06-1.26],0.0011482476138698
SCRN1,Secernin-1,Chapter XIV Diseases of the genitourinary system,Irregular menses,27271,126,0.66 [0.49-0.89],0.0063605167973861
