Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
ATXN2L,Ataxin-2-like protein,Chapter II Neoplasms,Benign neoplasm: Descending colon,24171,132,0.66 [0.44-0.98],0.0404884324615733
ATXN2L,Ataxin-2-like protein,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",19741,135,1.39 [1.05-1.85],0.023465499755015
ATXN2L,Ataxin-2-like protein,Chapter II Neoplasms,"Other and unspecified types of non-Hodgkin lymphoma, hilmo, excluding all cancers",19690,84,1.44 [1.01-2.04],0.0413348094269662
ATXN2L,Ataxin-2-like protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,23289,2588,1.14 [1.06-1.22],0.0005887968732849
ATXN2L,Ataxin-2-like protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,23838,44,1.56 [1.02-2.39],0.0394644711695141
ATXN2L,Ataxin-2-like protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,23821,1085,1.22 [1.10-1.36],0.0002640493653404
ATXN2L,Ataxin-2-like protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,22066,2762,1.17 [1.09-1.26],7.556850902068891e-06
ATXN2L,Ataxin-2-like protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,23411,4107,1.13 [1.06-1.19],6.900265336517636e-05
ATXN2L,Ataxin-2-like protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,22479,24,1.83 [1.06-3.13],0.0287133414745746
ATXN2L,Ataxin-2-like protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,23766,1311,1.15 [1.03-1.27],0.0095497173068249
ATXN2L,Ataxin-2-like protein,Chapter IX Diseases of the circulatory system,Angina pectoris,22844,758,1.17 [1.02-1.34],0.0217232324155574
ATXN2L,Ataxin-2-like protein,Chapter IX Diseases of the circulatory system,Cardiomyopathy,21128,119,0.55 [0.35-0.86],0.0083577624037685
ATXN2L,Ataxin-2-like protein,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,21772,6413,1.08 [1.03-1.13],0.0026879784458082
ATXN2L,Ataxin-2-like protein,Chapter IX Diseases of the circulatory system,Hypertension,22322,5403,1.07 [1.01-1.12],0.0155498583281367
ATXN2L,Ataxin-2-like protein,Chapter IX Diseases of the circulatory system,"Hypertension, essential",22330,5411,1.07 [1.01-1.12],0.0142749830093957
ATXN2L,Ataxin-2-like protein,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",23564,1478,1.14 [1.04-1.26],0.0064437374320089
ATXN2L,Ataxin-2-like protein,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,23993,529,1.19 [1.02-1.40],0.029964144695389
ATXN2L,Ataxin-2-like protein,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",22509,423,1.25 [1.05-1.49],0.011465838199859
ATXN2L,Ataxin-2-like protein,Chapter IX Diseases of the circulatory system,"Myocardial infarction, with ST-elevation",24162,76,1.58 [1.13-2.23],0.0081191575350115
ATXN2L,Ataxin-2-like protein,Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",24179,211,1.38 [1.10-1.72],0.0055359284405475
ATXN2L,Ataxin-2-like protein,Chapter IX Diseases of the circulatory system,Transient ischemic attack,23695,186,1.40 [1.10-1.77],0.0061411666087943
ATXN2L,Ataxin-2-like protein,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,24034,924,1.18 [1.05-1.34],0.0060695004129867
ATXN2L,Ataxin-2-like protein,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,23192,82,1.46 [1.05-2.03],0.0236953514111193
ATXN2L,Ataxin-2-like protein,Chapter X Diseases of the respiratory system,Acute upper respiratory infections of multiple and unspecified sites,23922,57,1.50 [1.01-2.21],0.0446417608756986
ATXN2L,Ataxin-2-like protein,Chapter X Diseases of the respiratory system,Allergic rhinitis,24063,248,1.24 [1.00-1.54],0.0481416840555789
ATXN2L,Ataxin-2-like protein,Chapter X Diseases of the respiratory system,Bronchiectasis,20888,351,1.34 [1.12-1.60],0.0016458661639977
ATXN2L,Ataxin-2-like protein,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,23167,2630,1.09 [1.01-1.17],0.025524680230096
ATXN2L,Ataxin-2-like protein,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,22337,4526,1.08 [1.02-1.14],0.0083492724630546
ATXN2L,Ataxin-2-like protein,Chapter X Diseases of the respiratory system,Other diseases of pleura,24018,1532,1.12 [1.02-1.23],0.0216111001501929
ATXN2L,Ataxin-2-like protein,Chapter X Diseases of the respiratory system,Other diseases of upper respiratory tract,23693,690,1.20 [1.05-1.37],0.0080149259833414
ATXN2L,Ataxin-2-like protein,Chapter X Diseases of the respiratory system,Other pleural conditions,22521,35,0.40 [0.17-0.97],0.0422615471823912
ATXN2L,Ataxin-2-like protein,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,24105,1042,1.17 [1.04-1.31],0.0067698845075358
ATXN2L,Ataxin-2-like protein,Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,23251,248,1.25 [1.01-1.55],0.0424717834156726
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,17313,35,1.62 [1.04-2.52],0.0342983550166059
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Acute appendicitis,24014,122,0.63 [0.41-0.96],0.0332326151614622
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Acute peritonitis,23678,75,1.48 [1.05-2.08],0.0260212412717654
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Diaphragmatic hernia,22745,2152,1.10 [1.01-1.19],0.0215537486314428
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",22163,4066,1.07 [1.01-1.14],0.0239527360734407
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Diseases of peritoneum,24073,470,1.20 [1.02-1.41],0.0313372701432364
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Embedded and impacted teeth,24097,57,1.52 [1.04-2.22],0.0299787976816424
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Functional dyspepsia,18684,587,1.17 [1.01-1.36],0.0405480384134036
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,18520,423,1.21 [1.02-1.45],0.0287552124676902
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Impacted teeth,24106,52,1.66 [1.15-2.39],0.0072210308162839
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Impaction of intestines,17338,60,1.55 [1.07-2.26],0.0214618541052926
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,23144,720,1.21 [1.06-1.38],0.0038079974227898
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,23383,959,1.18 [1.05-1.33],0.0052153375755573
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Oesophageal obstruction,18231,134,1.39 [1.05-1.84],0.0199060889276772
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Other noninfective gastroenteritis and colitis,23271,847,1.16 [1.02-1.31],0.0208623555998526
ATXN2L,Ataxin-2-like protein,Chapter XI Diseases of the digestive system,Palatinal maxillary canine,24088,66,1.65 [1.19-2.28],0.0026661034020126
ATXN2L,Ataxin-2-like protein,Chapter XII Diseases of the skin and subcutaneous tissue,Actinic keratosis,24110,219,1.30 [1.03-1.64],0.0284958678088285
ATXN2L,Ataxin-2-like protein,Chapter XII Diseases of the skin and subcutaneous tissue,Scar conditions and fibrosis of skin,22330,145,1.31 [1.00-1.72],0.0472907333350807
ATXN2L,Ataxin-2-like protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Chondropathies,23934,101,0.48 [0.29-0.78],0.0032269194786959
ATXN2L,Ataxin-2-like protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,16515,183,1.31 [1.00-1.71],0.048972312728771
ATXN2L,Ataxin-2-like protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Myalgia,20596,75,1.44 [1.01-2.04],0.0432243145967723
ATXN2L,Ataxin-2-like protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,19030,2698,1.08 [1.01-1.17],0.0359276140766831
