Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CA1,Carbonic anhydrase 1,Chapter I Certain infectious and parasitic diseases,Other viral diseases,27054,193,0.81 [0.66-0.99],0.0378290008498847
CA1,Carbonic anhydrase 1,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",27036,175,0.80 [0.65-0.99],0.036355375143789
CA1,Carbonic anhydrase 1,Chapter II Neoplasms,Leiomyoma of uterus,26170,591,0.85 [0.76-0.95],0.0047448891849211
CA1,Carbonic anhydrase 1,Chapter II Neoplasms,Lung cancer and mesothelioma,19449,307,1.18 [1.01-1.39],0.0400005859374746
CA1,Carbonic anhydrase 1,Chapter II Neoplasms,Lymphoid leukaemia,22060,38,1.60 [1.03-2.48],0.0345972546097168
CA1,Carbonic anhydrase 1,Chapter II Neoplasms,Malignant neoplasms of independent (primary) multiple sites,22103,81,1.47 [1.09-1.98],0.0123420986245688
CA1,Carbonic anhydrase 1,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",22243,221,1.24 [1.03-1.50],0.0238961343138255
CA1,Carbonic anhydrase 1,Chapter II Neoplasms,Other benign neoplasms of skin,26926,172,0.77 [0.62-0.95],0.0148326204985451
CA1,Carbonic anhydrase 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,26541,70,1.39 [1.01-1.92],0.0444922988441739
CA1,Carbonic anhydrase 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,26140,2977,0.93 [0.88-0.98],0.0056156948162223
CA1,Carbonic anhydrase 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,26563,1538,0.91 [0.85-0.98],0.0081935668804809
CA1,Carbonic anhydrase 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,26563,1538,0.91 [0.85-0.98],0.0081935668804809
CA1,Carbonic anhydrase 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,26741,1277,0.85 [0.79-0.92],6.388847224075603e-05
CA1,Carbonic anhydrase 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,26526,55,1.76 [1.23-2.53],0.0021231112713505
CA1,Carbonic anhydrase 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",26893,200,1.22 [1.00-1.47],0.0477927449999333
CA1,Carbonic anhydrase 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Vitamin B12 deficiency anaemia,25594,130,0.77 [0.60-0.99],0.0426801571560459
CA1,Carbonic anhydrase 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Bipolar affective disorders,24887,72,1.52 [1.10-2.09],0.0101848453661398
CA1,Carbonic anhydrase 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,26751,1936,0.91 [0.85-0.97],0.003600906605546
CA1,Carbonic anhydrase 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,23995,1883,0.91 [0.85-0.97],0.0046513665750638
CA1,Carbonic anhydrase 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,27046,370,0.86 [0.75-1.00],0.0478176162960773
CA1,Carbonic anhydrase 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,26258,2305,0.94 [0.89-1.00],0.0455886225366792
CA1,Carbonic anhydrase 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypo-osmolality and hyponatraemia,22202,625,0.87 [0.78-0.97],0.0153128580120889
CA1,Carbonic anhydrase 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,26950,2073,0.93 [0.87-0.98],0.0119730553137086
CA1,Carbonic anhydrase 1,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",26955,2072,0.93 [0.87-0.98],0.0141405951923113
CA1,Carbonic anhydrase 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,27134,190,1.23 [1.01-1.49],0.0432898267808249
CA1,Carbonic anhydrase 1,Chapter IX Diseases of the circulatory system,AV-block,23743,243,0.83 [0.70-1.00],0.0495413104200501
CA1,Carbonic anhydrase 1,Chapter IX Diseases of the circulatory system,Conduction disorders,24226,726,0.90 [0.81-1.00],0.0406421066700646
CA1,Carbonic anhydrase 1,Chapter IX Diseases of the circulatory system,Other disorders of veins,25480,94,0.74 [0.56-1.00],0.0465144446656449
CA1,Carbonic anhydrase 1,Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,25895,37,1.73 [1.11-2.69],0.0159465740166581
CA1,Carbonic anhydrase 1,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,26584,501,1.14 [1.01-1.29],0.0360690133668593
CA1,Carbonic anhydrase 1,Chapter IX Diseases of the circulatory system,Right bundle-branch block,23725,225,0.81 [0.67-0.98],0.0300952833517841
CA1,Carbonic anhydrase 1,Chapter V Mental and behavioural disorders,Any mental disorder,26542,4294,0.95 [0.91-0.99],0.0143357830555596
CA1,Carbonic anhydrase 1,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",24205,1957,0.92 [0.86-0.98],0.0091302681031386
CA1,Carbonic anhydrase 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other cataract,25363,2485,1.08 [1.02-1.14],0.0085636448305297
CA1,Carbonic anhydrase 1,Chapter VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,27021,142,0.75 [0.59-0.95],0.0151896758327528
CA1,Carbonic anhydrase 1,Chapter X Diseases of the respiratory system,Deviated nasal septum,25888,65,0.68 [0.48-0.97],0.0327754351154325
CA1,Carbonic anhydrase 1,Chapter X Diseases of the respiratory system,Later onset COPD,26229,736,1.12 [1.01-1.24],0.0349276931452968
CA1,Carbonic anhydrase 1,Chapter XI Diseases of the digestive system,Acute peritonitis,26583,88,1.40 [1.05-1.87],0.0227150982423849
CA1,Carbonic anhydrase 1,Chapter XI Diseases of the digestive system,Alcoholic liver disease,26263,33,0.60 [0.36-0.98],0.0417743833623929
CA1,Carbonic anhydrase 1,Chapter XI Diseases of the digestive system,Cholecystitis,24897,186,1.23 [1.01-1.50],0.043458708912342
CA1,Carbonic anhydrase 1,Chapter XI Diseases of the digestive system,Constipation,26799,1703,0.93 [0.86-0.99],0.0248701411529715
CA1,Carbonic anhydrase 1,Chapter XI Diseases of the digestive system,Crohn disease,25253,95,1.33 [1.00-1.76],0.0465632974606523
CA1,Carbonic anhydrase 1,Chapter XI Diseases of the digestive system,Oesophagitis,20814,566,0.83 [0.74-0.94],0.0026588450885187
