Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
OTOA,Otoancorin,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,21116,213,0.63 [0.45-0.87],0.0050780899266925
OTOA,Otoancorin,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22242,291,0.78 [0.61-1.00],0.0493839789533537
OTOA,Otoancorin,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,23419,33,0.36 [0.13-0.96],0.0404263864603579
OTOA,Otoancorin,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",23382,120,1.32 [1.05-1.67],0.0185201380990249
OTOA,Otoancorin,Chapter II Neoplasms,"Haemangioma, any site",23383,118,1.33 [1.05-1.68],0.0178937926708615
OTOA,Otoancorin,Chapter II Neoplasms,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",19124,93,1.43 [1.13-1.81],0.0030869613444424
OTOA,Otoancorin,Chapter II Neoplasms,"Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)",19066,35,1.46 [1.03-2.08],0.0343217860594153
OTOA,Otoancorin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,21738,81,0.53 [0.30-0.93],0.0262447065229765
OTOA,Otoancorin,"Chapter IV Endocrine, nutritional and metabolic diseases",Acute alcohol intoxication,22214,57,1.43 [1.04-1.96],0.0268718653392024
OTOA,Otoancorin,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,23361,304,0.73 [0.56-0.94],0.0143306089842224
OTOA,Otoancorin,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of phosphorus metabolism and phosphatases,18783,83,1.44 [1.12-1.85],0.0046366560699735
OTOA,Otoancorin,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,23036,1263,1.11 [1.02-1.22],0.0206638818441742
OTOA,Otoancorin,Chapter IX Diseases of the circulatory system,"Hypertension, portal",23342,35,1.69 [1.26-2.26],0.0004795185190365
OTOA,Otoancorin,Chapter IX Diseases of the circulatory system,Other embolism and thrombosis,21994,41,1.54 [1.12-2.12],0.0085450953626837
OTOA,Otoancorin,Chapter IX Diseases of the circulatory system,Subarachnoid haemorrhage,22767,62,1.40 [1.05-1.89],0.0243079870966733
OTOA,Otoancorin,Chapter IX Diseases of the circulatory system,Varicose veins,22321,368,1.18 [1.01-1.38],0.0350237634149433
OTOA,Otoancorin,Chapter X Diseases of the respiratory system,Influenza and pneumonia,23274,1380,1.10 [1.01-1.20],0.0345621939952665
OTOA,Otoancorin,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",23068,1174,1.10 [1.00-1.21],0.0474526638616019
OTOA,Otoancorin,Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,16784,33,1.51 [1.06-2.15],0.0226257409706845
OTOA,Otoancorin,Chapter XI Diseases of the digestive system,Coeliac disease,22133,126,1.28 [1.01-1.62],0.0437691939120872
OTOA,Otoancorin,Chapter XI Diseases of the digestive system,Impaction of intestines,16810,59,1.43 [1.08-1.91],0.0141839614975585
OTOA,Otoancorin,Chapter XI Diseases of the digestive system,Other diseases of intestine,18097,1346,1.10 [1.01-1.20],0.0316718342975366
OTOA,Otoancorin,Chapter XI Diseases of the digestive system,Other diseases of liver,23238,569,1.18 [1.04-1.33],0.0118897781837027
OTOA,Otoancorin,Chapter XII Diseases of the skin and subcutaneous tissue,Other contact dermatitis,22972,42,1.56 [1.14-2.12],0.0053246852612437
OTOA,Otoancorin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,20992,116,0.58 [0.37-0.92],0.0218168648469798
OTOA,Otoancorin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Neuralgia and neuritis, unspecified",19946,61,0.49 [0.25-0.96],0.0375726334991085
OTOA,Otoancorin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other disorders of bone,21132,256,0.74 [0.56-0.98],0.0333142376556177
OTOA,Otoancorin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other necrotizing vasculopathies,22609,114,1.30 [1.02-1.65],0.0362959596365467
OTOA,Otoancorin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rotator cuff syndrome,20165,280,0.74 [0.57-0.97],0.0268418355230054
OTOA,Otoancorin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Scoliosis,20226,240,1.22 [1.02-1.47],0.032247695856014
OTOA,Otoancorin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,18069,74,0.42 [0.22-0.78],0.0061392550012804
OTOA,Otoancorin,Chapter XIV Diseases of the genitourinary system,Calculus of kidney and ureter,23309,197,0.73 [0.53-1.00],0.0472129883096259
OTOA,Otoancorin,Chapter XIV Diseases of the genitourinary system,Pain and other conditions associated with female genital organs and menstrual cycle,17562,88,0.52 [0.31-0.89],0.0176930495782987
