Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
PMM2,Phosphomannomutase 2,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23098,1131,1.10 [1.00-1.21],0.0400576756321219
PMM2,Phosphomannomutase 2,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22621,2949,1.07 [1.01-1.13],0.0296193121402591
PMM2,Phosphomannomutase 2,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,23114,1143,1.12 [1.02-1.22],0.0199697819479907
PMM2,Phosphomannomutase 2,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16352,1382,1.13 [1.03-1.23],0.0064084011277166
PMM2,Phosphomannomutase 2,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,20938,315,1.22 [1.02-1.45],0.0291494702625667
PMM2,Phosphomannomutase 2,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23296,1325,1.10 [1.01-1.20],0.0365756437767613
PMM2,Phosphomannomutase 2,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22766,799,1.14 [1.02-1.27],0.0218177593155807
PMM2,Phosphomannomutase 2,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23372,163,1.29 [1.02-1.64],0.0349410775910424
PMM2,Phosphomannomutase 2,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,22071,100,1.45 [1.07-1.96],0.0151452023272743
PMM2,Phosphomannomutase 2,Chapter II Neoplasms,Carcinoma in situ of breast,19003,118,0.72 [0.53-0.97],0.032522761872367
PMM2,Phosphomannomutase 2,Chapter II Neoplasms,Melanocytic naevi,23230,204,1.24 [1.00-1.54],0.0456538757805046
PMM2,Phosphomannomutase 2,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",19168,129,1.42 [1.09-1.86],0.0097673089883283
PMM2,Phosphomannomutase 2,Chapter II Neoplasms,"Other and unspecified types of non-Hodgkin lymphoma, hilmo, excluding all cancers",19119,80,1.48 [1.06-2.07],0.0222841152887914
PMM2,Phosphomannomutase 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,22922,68,1.52 [1.06-2.17],0.0222715176279922
PMM2,Phosphomannomutase 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,22589,2521,1.16 [1.09-1.23],5.106544533271183e-06
PMM2,Phosphomannomutase 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,23115,43,2.15 [1.42-3.26],0.0003175463931539
PMM2,Phosphomannomutase 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,22956,1281,1.18 [1.09-1.29],0.0001359849905439
PMM2,Phosphomannomutase 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,22956,1281,1.18 [1.09-1.29],0.0001359849905439
PMM2,Phosphomannomutase 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,23107,1048,1.28 [1.16-1.40],4.3525828884477124e-07
