Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
TBCB,Tubulin-folding cofactor B,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27160,1335,1.06 [1.01-1.11],0.0264652040223713
TBCB,Tubulin-folding cofactor B,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,26615,3519,1.04 [1.01-1.08],0.0054798600032237
TBCB,Tubulin-folding cofactor B,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),26854,2893,1.04 [1.00-1.07],0.0393847724177609
TBCB,Tubulin-folding cofactor B,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,24758,961,1.07 [1.01-1.14],0.0174038333967572
TBCB,Tubulin-folding cofactor B,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19285,1684,1.07 [1.02-1.12],0.0034360976654773
TBCB,Tubulin-folding cofactor B,Chapter I Certain infectious and parasitic diseases,Mycoses,27537,538,1.08 [1.00-1.17],0.0472500076440669
TBCB,Tubulin-folding cofactor B,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,26774,949,1.07 [1.01-1.13],0.025937333428575
TBCB,Tubulin-folding cofactor B,Chapter II Neoplasms,Benign neoplasm: Descending colon,27578,156,0.87 [0.76-1.00],0.0452969765704384
TBCB,Tubulin-folding cofactor B,Chapter II Neoplasms,Carcinoma in situ of breast,22368,139,0.84 [0.73-0.97],0.0206206922436809
TBCB,Tubulin-folding cofactor B,Chapter II Neoplasms,"Haemangioma, any site",27530,135,0.86 [0.74-1.00],0.0451450737458199
TBCB,Tubulin-folding cofactor B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,26588,2989,1.07 [1.04-1.11],3.1707794239059794e-05
TBCB,Tubulin-folding cofactor B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,27020,1548,1.09 [1.04-1.14],0.0003612279513973
TBCB,Tubulin-folding cofactor B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,27020,1548,1.09 [1.04-1.14],0.0003612279513973
TBCB,Tubulin-folding cofactor B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,27189,1281,1.14 [1.08-1.20],5.119974554614004e-07
TBCB,Tubulin-folding cofactor B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",27343,200,0.84 [0.75-0.95],0.0051299308757777
TBCB,Tubulin-folding cofactor B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Vitamin B12 deficiency anaemia,26036,128,1.20 [1.02-1.41],0.0253455503528883
TBCB,Tubulin-folding cofactor B,"Chapter IV Endocrine, nutritional and metabolic diseases",Alkalosis,22020,54,1.40 [1.08-1.82],0.0113841243652781
TBCB,Tubulin-folding cofactor B,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,24421,1897,1.05 [1.01-1.09],0.0258344594748419
TBCB,Tubulin-folding cofactor B,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of iron metabolism,22013,47,1.40 [1.06-1.84],0.0182686925065131
TBCB,Tubulin-folding cofactor B,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,25130,3164,1.06 [1.03-1.10],0.0001143147596938
TBCB,Tubulin-folding cofactor B,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of mineral metabolism,22499,533,1.08 [1.00-1.17],0.0473125819206032
TBCB,Tubulin-folding cofactor B,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,27490,373,1.13 [1.03-1.25],0.0080469503778507
TBCB,Tubulin-folding cofactor B,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,26703,2348,1.04 [1.00-1.08],0.0397481062310927
TBCB,Tubulin-folding cofactor B,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,26690,4724,1.06 [1.03-1.09],8.86188255831297e-06
TBCB,Tubulin-folding cofactor B,"Chapter IV Endocrine, nutritional and metabolic diseases",Other anxiety disorders,27184,1596,1.05 [1.01-1.10],0.026420468376421
TBCB,Tubulin-folding cofactor B,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",23501,1535,1.06 [1.01-1.11],0.0127364615430694
TBCB,Tubulin-folding cofactor B,"Chapter IV Endocrine, nutritional and metabolic diseases","Postprocedural endocrine and metabolic disorders, not elsewhere classified",22232,266,1.16 [1.04-1.30],0.0079533947487033
TBCB,Tubulin-folding cofactor B,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,27109,1493,1.06 [1.01-1.11],0.0182226734408055
