Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CDH3,Cadherin-3,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27588,1367,1.44 [1.27-1.64],1.8385785303495334e-08
CDH3,Cadherin-3,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,27033,3577,1.31 [1.21-1.42],7.767891197600767e-11
CDH3,Cadherin-3,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),27266,2934,1.52 [1.39-1.66],7.072701513520562e-21
CDH3,Cadherin-3,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,26005,835,2.14 [1.83-2.51],4.090983701138598e-21
CDH3,Cadherin-3,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,25145,979,2.22 [1.92-2.56],3.589419376515456e-27
CDH3,Cadherin-3,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,25173,265,2.24 [1.69-2.97],2.1216976032388346e-08
CDH3,Cadherin-3,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19568,1710,1.64 [1.46-1.83],1.062057266840452e-17
CDH3,Cadherin-3,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,24934,383,2.50 [1.99-3.14],2.772279533199389e-15
CDH3,Cadherin-3,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,27192,971,1.62 [1.40-1.88],9.472918054392958e-11
CDH3,Cadherin-3,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,27909,924,1.99 [1.73-2.30],1.5402286959709177e-21
CDH3,Cadherin-3,Chapter I Certain infectious and parasitic diseases,Other septicaemia,27792,807,2.00 [1.72-2.33],3.295157705852869e-19
CDH3,Cadherin-3,Chapter II Neoplasms,Leiomyoma of uterus,27016,598,3.13 [2.69-3.65],1.81621176034753e-49
CDH3,Cadherin-3,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,25967,105,3.95 [3.10-5.05],3.325616309203713e-28
CDH3,Cadherin-3,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,26995,3046,1.45 [1.33-1.58],2.026651143348265e-17
CDH3,Cadherin-3,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,27435,1573,1.62 [1.44-1.82],3.7615449761658283e-16
CDH3,Cadherin-3,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,27435,1573,1.62 [1.44-1.82],3.7615449761658283e-16
CDH3,Cadherin-3,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,27810,244,2.53 [1.97-3.25],2.6530823108563925e-13
CDH3,Cadherin-3,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",27772,206,2.69 [2.06-3.50],2.596384081211984e-13
CDH3,Cadherin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,22554,260,2.72 [2.18-3.40],1.8896713250878364e-18
CDH3,Cadherin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of calcium metabolism,22580,286,2.18 [1.71-2.77],2.4437971128470547e-10
CDH3,Cadherin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,27922,375,2.17 [1.75-2.68],8.727753768638756e-13
CDH3,Cadherin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of parathyroid gland,27731,184,2.86 [2.19-3.72],8.378029198979341e-15
CDH3,Cadherin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,22509,215,3.43 [2.76-4.26],8.806077919679895e-29
CDH3,Cadherin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,22511,217,3.72 [3.08-4.49],1.6287594109639592e-42
CDH3,Cadherin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,27721,174,2.72 [2.05-3.60],3.202001291645704e-12
CDH3,Cadherin-3,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",23851,1557,1.68 [1.50-1.89],1.0727276417019236e-18
CDH3,Cadherin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,23037,743,1.69 [1.43-2.00],1.1101672880045927e-09
CDH3,Cadherin-3,Chapter IX Diseases of the circulatory system,"Heart failure, strict",27927,880,1.57 [1.34-1.83],1.142230708665518e-08
CDH3,Cadherin-3,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",19734,168,2.35 [1.74-3.19],3.053912873152156e-08
CDH3,Cadherin-3,Chapter IX Diseases of the circulatory system,Hypotension,27885,1126,1.60 [1.39-1.83],4.381117396993752e-11
CDH3,Cadherin-3,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,25112,826,1.58 [1.34-1.87],5.6303780839655934e-08
CDH3,Cadherin-3,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,27440,328,2.03 [1.62-2.55],1.044329363124641e-09
CDH3,Cadherin-3,Chapter IX Diseases of the circulatory system,Secondary right heart disease,27431,319,2.04 [1.62-2.57],1.3901531924167731e-09
CDH3,Cadherin-3,Chapter VI Diseases of the nervous system,Hemiplegia,27896,226,2.13 [1.62-2.79],5.38538480331436e-08
CDH3,Cadherin-3,Chapter X Diseases of the respiratory system,All influenza,26258,131,2.66 [1.90-3.72],1.0682678119257824e-08
CDH3,Cadherin-3,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,26357,234,2.67 [2.12-3.35],2.9799945129235226e-17
CDH3,Cadherin-3,Chapter X Diseases of the respiratory system,Influenza and pneumonia,27827,1700,1.66 [1.49-1.85],1.7023012981824632e-19
CDH3,Cadherin-3,Chapter X Diseases of the respiratory system,Interstitial lung disease,26398,275,2.61 [2.10-3.24],4.094879039562884e-18
CDH3,Cadherin-3,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,27798,945,1.65 [1.42-1.91],2.405788914347522e-11
CDH3,Cadherin-3,Chapter X Diseases of the respiratory system,Other diseases of pleura,27835,1792,1.52 [1.36-1.70],5.738774122356947e-14
CDH3,Cadherin-3,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,27945,352,2.57 [2.12-3.12],4.178278357461791e-22
CDH3,Cadherin-3,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,27937,1207,1.59 [1.39-1.81],5.833890284743831e-12
CDH3,Cadherin-3,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",27586,1459,1.62 [1.44-1.83],1.7732825536909362e-15
CDH3,Cadherin-3,Chapter X Diseases of the respiratory system,Pulmonary oedema,27657,64,3.32 [2.30-4.79],1.4145208860806492e-10
CDH3,Cadherin-3,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,27772,919,1.67 [1.44-1.94],9.939768226462671e-12
CDH3,Cadherin-3,Chapter XI Diseases of the digestive system,Crohn disease,26066,95,2.87 [1.97-4.18],3.639945413447064e-08
CDH3,Cadherin-3,Chapter XI Diseases of the digestive system,"Crohn disease (strict definition, all UC cases excluded)",27656,71,3.27 [2.23-4.80],1.2079272919318831e-09
CDH3,Cadherin-3,Chapter XI Diseases of the digestive system,Crohn's disease NAS,26070,99,2.80 [1.93-4.05],5.00537309570593e-08
CDH3,Cadherin-3,Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,27487,646,1.89 [1.58-2.25],1.1465936670528245e-12
CDH3,Cadherin-3,Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,26034,349,1.99 [1.58-2.51],4.656880287010008e-09
CDH3,Cadherin-3,Chapter XII Diseases of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue,26388,3247,1.30 [1.19-1.41],2.341877604854104e-09
CDH3,Cadherin-3,Chapter XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,27704,863,1.67 [1.43-1.95],1.0014985021928468e-10
CDH3,Cadherin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,19153,231,2.56 [2.00-3.28],7.76070869653752e-14
CDH3,Cadherin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",28015,228,2.68 [2.08-3.46],2.8142180552209783e-14
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Acute renal failure,26920,1283,2.60 [2.34-2.89],1.4343286531059754e-68
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Adenomyosis (Endometriosis of uterus),20977,102,2.99 [2.06-4.34],7.8347052431439e-09
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,27168,1531,3.39 [3.14-3.66],2.1086549937127403e-216
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,27850,80,4.68 [3.65-6.00],3.366076061162677e-34
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Dialysis,25690,53,6.78 [5.25-8.76],2.0333149951438432e-48
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,"Excessive, frequent and irregular menstruation",21276,401,2.05 [1.66-2.55],5.6128679083812186e-11
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,21815,5177,1.57 [1.46-1.68],1.2881536720498719e-38
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Glomerular disorders in diseases classified elsewhere,27834,64,4.08 [2.79-5.98],4.61319280985941e-13
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Menorrhagia,21183,308,2.43 [1.92-3.06],7.2290112128356e-14
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,23380,2505,1.33 [1.21-1.46],6.325251110075569e-09
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Other diseases of urinary system,26753,2291,1.33 [1.20-1.47],2.5560076307288465e-08
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,27962,396,2.41 [1.97-2.95],1.1816326830611049e-17
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Other disorders of urethra and urinary system,26427,1965,1.41 [1.26-1.57],3.8402159161207077e-10
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Other obstructive and reflux uropathy,25564,267,2.13 [1.63-2.80],4.2497699922939204e-08
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,27695,129,2.64 [1.86-3.75],4.880927028925489e-08
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Polyp of the female genital tract,21534,659,1.79 [1.51-2.13],3.391913494438958e-11
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,27828,2531,2.49 [2.31-2.70],1.0306395653787459e-115
CDH3,Cadherin-3,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,25740,103,4.32 [3.32-5.63],1.8241909183170467e-27
