Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",26337,124,1.05 [0.74-1.49],0.7716201457288777
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",27082,203,1.29 [0.99-1.68],0.0608696736733297
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",26806,1336,1.11 [1.00-1.23],0.0575621497821278
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Candidiasis,27110,472,1.08 [0.91-1.30],0.3757228275894981
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,26264,3495,1.06 [1.00-1.13],0.0695565017306154
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),26487,2862,1.00 [0.93-1.07],0.9737005309582408
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,26822,1370,0.98 [0.88-1.09],0.7007725266090463
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,27003,91,1.40 [0.94-2.08],0.1017039993080505
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,25269,815,1.05 [0.92-1.21],0.4554739121405614
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,24440,954,1.10 [0.97-1.25],0.1243690367723988
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,24454,259,1.07 [0.84-1.36],0.5981193127896178
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19039,1656,1.08 [0.98-1.18],0.138355906289662
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,24221,369,1.20 [0.98-1.47],0.0735716631465859
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,27051,1599,1.05 [0.95-1.16],0.3149433572404361
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Mycoses,27172,534,1.14 [0.97-1.35],0.1202964528681519
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,26414,944,1.16 [1.02-1.31],0.0242704730032604
