Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",27077,126,3.65 [2.00-6.64],2.349098925917035e-05
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",27841,210,1.64 [0.99-2.70],0.0531959848401135
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27558,1375,1.89 [1.56-2.30],1.0593276717249516e-10
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Candidiasis,27865,484,1.74 [1.25-2.42],0.0009732126477024
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,27002,3580,1.61 [1.42-1.82],4.0964445586126086e-14
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),27228,2941,1.78 [1.56-2.04],4.099815296126844e-17
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,27572,1403,1.52 [1.25-1.85],2.9786926912944232e-05
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,27758,93,3.23 [1.58-6.61],0.0013357862618502
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,25963,835,2.44 [1.91-3.13],1.7100462871709833e-12
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,25113,980,2.69 [2.15-3.37],8.15747774990164e-18
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,25135,269,2.90 [1.88-4.49],1.7545297177357409e-06
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19548,1714,1.96 [1.64-2.33],5.6047855757627605e-14
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,24896,383,2.52 [1.75-3.63],7.249245043314125e-07
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,27805,1636,1.51 [1.26-1.81],9.032538746411656e-06
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Mycoses,27931,550,1.81 [1.33-2.47],0.0001490229108313
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,27161,978,2.07 [1.65-2.60],4.875730077437722e-10
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,27875,924,2.37 [1.88-2.99],1.994659094787248e-13
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,26379,210,1.68 [1.02-2.79],0.0426578233904267
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,27995,46,5.81 [2.22-15.20],0.0003323800249418
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Other septicaemia,27759,808,2.36 [1.84-3.02],9.074369780556916e-12
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,27750,85,0.86 [0.38-1.96],0.7257804944304704
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Other viral diseases,27896,199,2.04 [1.23-3.38],0.0057354410408682
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",27878,181,2.39 [1.42-4.04],0.0010675772195746
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,26534,351,2.89 [2.00-4.19],1.801825772286125e-08
PLXNB2,Plexin-B2,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,26455,272,1.26 [0.81-1.97],0.3099713041104515
