Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",26918,125,1.98 [1.14-3.44],0.0154792539071526
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",27676,208,1.72 [1.11-2.66],0.0150112122500481
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27392,1366,2.08 [1.75-2.47],9.465156002929632e-17
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Candidiasis,27700,482,1.65 [1.23-2.21],0.0007618923280238
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,26841,3561,1.58 [1.41-1.76],5.36853140406764e-16
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),27069,2930,1.85 [1.64-2.09],1.855780346010172e-23
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,27411,1399,1.70 [1.43-2.02],1.2833582315181903e-09
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,27594,92,2.59 [1.43-4.69],0.0016205298574897
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,25805,827,2.49 [2.01-3.09],7.352327523009102e-17
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,24961,976,2.86 [2.36-3.48],1.5928675302253495e-26
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,24988,269,2.89 [2.01-4.15],1.0302561917141932e-08
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19438,1708,2.06 [1.76-2.41],3.2295856674894855e-19
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,24748,380,3.04 [2.24-4.13],8.012455926598909e-13
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,27640,1628,1.61 [1.38-1.89],4.25671452196821e-09
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Mycoses,27766,548,1.77 [1.35-2.32],3.229255985418822e-05
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,26996,970,2.41 [1.98-2.95],6.215357500983224e-18
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,27709,916,2.18 [1.79-2.67],2.5229461467126376e-14
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,26220,208,1.79 [1.16-2.79],0.0092870256035414
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,27829,47,3.60 [1.78-7.27],0.000359599975194
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Other septicaemia,27593,800,2.34 [1.89-2.89],3.177582599995824e-15
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,27586,84,1.07 [0.53-2.14],0.8581723337577746
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Other viral diseases,27732,197,1.49 [0.94-2.36],0.0906477709024879
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",27714,179,1.36 [0.84-2.21],0.2119598555170913
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,26374,348,2.11 [1.49-2.97],2.0891944358051604e-05
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,26296,270,1.76 [1.18-2.61],0.0052744869636445
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,26143,131,2.45 [1.47-4.09],0.000597056426022
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,27806,38,1.85 [0.69-4.96],0.2251738373043074
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,27753,161,1.99 [1.22-3.25],0.0061650616593924
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Viral warts,27641,49,1.90 [0.77-4.65],0.1623755487101774
QPCT,Glutaminyl-peptide cyclotransferase,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],27670,78,2.87 [1.53-5.38],0.0010396147390156
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign lipomatous neoplasm,27556,243,0.86 [0.58-1.30],0.4814189242841119
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,27727,70,1.76 [0.83-3.77],0.1428366321171479
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,27719,70,0.74 [0.36-1.52],0.4068074878570804
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",27540,1246,1.02 [0.84-1.22],0.8734961671266931
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign neoplasm of meninges,27802,82,1.29 [0.62-2.67],0.4922912041811268
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,27760,65,1.01 [0.44-2.29],0.9815872774219312
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,27795,140,0.75 [0.44-1.27],0.2833819902301359
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign neoplasm of ovary,27744,177,0.93 [0.57-1.53],0.7859668085458161
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign neoplasm: Ascending colon,27808,285,1.23 [0.83-1.81],0.3016420604288677
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign neoplasm: Caecum,27813,256,1.16 [0.77-1.74],0.4919782312853209
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",27742,66,0.98 [0.45-2.13],0.955253296232829
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign neoplasm: Descending colon,27810,158,1.23 [0.73-2.07],0.4376725506376211
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign neoplasm: Rectum,27774,281,0.79 [0.54-1.17],0.242291413278688
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,27720,507,0.97 [0.72-1.29],0.814038710689286
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Benign neoplasm: Transverse colon,27808,304,1.19 [0.82-1.73],0.3616542864400178
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Carcinoma in situ of breast,22557,134,0.80 [0.45-1.40],0.4291487921060796
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Carcinoma in situ of breast, intraductal",22649,166,0.84 [0.51-1.40],0.5026817598074942
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",22628,33,3.61 [1.58-8.24],0.0023126926829678
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",22663,68,0.93 [0.42-2.06],0.8620551928676163
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",27759,141,1.45 [0.83-2.51],0.1920031932883339
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Haemangioma, any site",27760,139,1.37 [0.78-2.40],0.2676877925283938
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Leiomyoma of uterus,26825,596,0.99 [0.76-1.29],0.9309003724207388
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Lung cancer and mesothelioma,19946,314,1.60 [1.09-2.36],0.0161122982072982
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,Lymphoid leukaemia,22631,36,1.26 [0.42-3.80],0.6801663128159936
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",22772,177,1.11 [0.66-1.85],0.6938140161759547
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",22712,117,0.70 [0.38-1.29],0.2580032666329738
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding all cancers)",22784,189,0.79 [0.49-1.28],0.334122141529005
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",22666,71,2.92 [1.53-5.57],0.0011112367849948
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)",22667,72,1.59 [0.74-3.41],0.23780157724349
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)",22653,58,1.74 [0.76-4.01],0.1909543936393415
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of ovary, excluding all cancers (controls excluding all cancers)",22737,142,1.28 [0.74-2.22],0.382620525898226
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers)",22700,105,1.44 [0.77-2.70],0.2527587863104309
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers)",22679,84,1.10 [0.53-2.29],0.7888777192600054
QPCT,Glutaminyl-peptide cyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)",22637,42,0.99 [0.36-2.69],0.9785430318942648
