Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",49497,2686,1.14 [1.06-1.22],0.0001661435343676
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,48538,6825,1.13 [1.09-1.18],1.1199182557846348e-08
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),48743,6260,1.10 [1.05-1.15],2.5854457441922656e-05
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,49577,2382,1.16 [1.08-1.25],5.208513387230352e-05
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,46045,1887,1.16 [1.07-1.26],0.0003602323280837
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,44512,2155,1.20 [1.11-1.29],2.606056832814246e-06
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,35195,3875,1.13 [1.07-1.20],3.384972131482285e-05
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,43953,759,1.34 [1.18-1.51],4.715217255376209e-06
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,49990,2795,1.17 [1.09-1.25],6.259962285388631e-06
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,48616,1805,1.15 [1.06-1.25],0.0008738596133191
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,Other viral diseases,50151,304,1.49 [1.24-1.80],2.5129868867546392e-05
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",50115,268,1.49 [1.22-1.82],7.748879990313284e-05
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,47629,818,1.25 [1.11-1.41],0.0002581439591392
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,47405,210,1.58 [1.27-1.96],4.941793621636815e-05
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",40089,100,3.11 [2.53-3.83],3.811535056893583e-27
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter II Neoplasms,Lymphoid leukaemia,40089,100,3.14 [2.58-3.83],7.281260177773457e-30
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",40301,312,1.52 [1.27-1.83],8.242532255845037e-06
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter II Neoplasms,"Other and unspecified types of non-Hodgkin lymphoma, hilmo, excluding all cancers",40180,191,1.50 [1.18-1.90],0.0008738414101082
NFKBIE,NF-kappa-B inhibitor epsilon,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,49221,135,1.63 [1.24-2.14],0.0003863142913701
