Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
DBH,Dopamine beta-hydroxylase,"Chapter IV Endocrine, nutritional and metabolic diseases","Postprocedural endocrine and metabolic disorders, not elsewhere classified",34484,275,1.18 [1.04-1.34],0.009593268704529
DBH,Dopamine beta-hydroxylase,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,42944,411,0.90 [0.83-0.97],0.0068102427292031
DBH,Dopamine beta-hydroxylase,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,41137,9042,0.97 [0.95-0.99],0.0003785349050328
DBH,Dopamine beta-hydroxylase,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,42437,516,0.90 [0.84-0.96],0.0015611295825307
DBH,Dopamine beta-hydroxylase,Chapter X Diseases of the respiratory system,Influenza and pneumonia,44347,3233,0.96 [0.93-0.99],0.0081704611475664
DBH,Dopamine beta-hydroxylase,Chapter X Diseases of the respiratory system,Other diseases of pleura,44327,3426,0.95 [0.93-0.98],0.0007015924761691
DBH,Dopamine beta-hydroxylase,Chapter X Diseases of the respiratory system,Pleural effusion,42581,1680,0.95 [0.91-0.99],0.0078103145773452
DBH,Dopamine beta-hydroxylase,Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,37879,4295,0.96 [0.94-0.99],0.0029226779856802
DBH,Dopamine beta-hydroxylase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified disorders of synovium and tendon +Other specified/unspecified bursopathies,38264,88,0.81 [0.70-0.93],0.0041603198886575
DBH,Dopamine beta-hydroxylase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Seropositive rheumatoid arthritis, wide",44710,100,0.82 [0.71-0.95],0.0061081907248553
DBH,Dopamine beta-hydroxylase,Chapter XIV Diseases of the genitourinary system,"Other chronic cystitis, drug-induced",44725,109,1.33 [1.07-1.64],0.0093369778468091
DBH,Dopamine beta-hydroxylase,Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,44368,88,0.80 [0.70-0.93],0.0026779254259821
