Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",49545,298,1.81 [1.27-2.60],0.0011940028534622
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",51347,400,1.54 [1.13-2.10],0.0065577784895851
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",50814,2776,1.37 [1.21-1.54],3.244716172166176e-07
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Candidiasis,51390,859,1.47 [1.19-1.82],0.0004308396435726
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,49832,7018,1.27 [1.17-1.37],1.446410065576549e-09
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),50014,6412,1.39 [1.28-1.50],1.2873569787114837e-15
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,50879,2437,1.40 [1.23-1.59],2.48627801002394e-07
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,51201,175,1.82 [1.13-2.92],0.0135725241128828
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,47277,1958,1.65 [1.43-1.91],1.5682897405536724e-11
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,45670,2216,1.92 [1.67-2.19],2.868545311828757e-21
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,45410,517,2.41 [1.84-3.17],2.718821830961192e-10
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,36111,3974,1.48 [1.33-1.64],9.843305296397825e-14
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,45111,788,2.17 [1.74-2.71],7.166820168350953e-12
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,51315,2873,1.44 [1.28-1.61],1.790081789840697e-09
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Mycoses,51544,1013,1.56 [1.29-1.90],8.125336808775676e-06
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,49899,1861,1.51 [1.31-1.75],3.0558537055220345e-08
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,51404,2157,1.58 [1.38-1.81],4.8694726158129193e-11
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,48844,402,1.55 [1.13-2.11],0.0063051182462415
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Other septicaemia,51136,1889,1.56 [1.35-1.81],2.683704564025238e-09
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,48885,847,1.71 [1.38-2.13],1.2920004729730538e-06
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,48663,221,2.26 [1.50-3.41],0.0001015472790288
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,51600,104,2.37 [1.34-4.19],0.0031043767500131
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,51512,302,1.59 [1.11-2.29],0.0115930180642325
F3,Tissue factor,Chapter I Certain infectious and parasitic diseases,Viral warts,51308,98,2.93 [1.60-5.37],0.0005107924270886
F3,Tissue factor,Chapter II Neoplasms,Benign neoplasm: Transverse colon,51579,862,0.76 [0.61-0.95],0.0170902773116029
F3,Tissue factor,Chapter II Neoplasms,Leiomyoma of uterus,26855,591,0.60 [0.46-0.78],0.0001200989243051
F3,Tissue factor,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",41414,379,1.49 [1.06-2.08],0.0203620700136915
F3,Tissue factor,Chapter II Neoplasms,"Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding all cancers)",22807,188,0.54 [0.34-0.86],0.0103442462740475
F3,Tissue factor,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",41196,161,1.83 [1.11-3.01],0.0170798712045542
F3,Tissue factor,Chapter II Neoplasms,"Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)",41227,192,1.62 [1.02-2.59],0.0430050911781043
F3,Tissue factor,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",19823,1407,1.40 [1.17-1.68],0.0002206862133219
F3,Tissue factor,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",43188,2153,1.25 [1.08-1.44],0.0024455170584921
F3,Tissue factor,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",43306,2271,1.26 [1.10-1.45],0.0009482096332765
F3,Tissue factor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,47859,226,7.59 [5.26-10.95],2.031878341533509e-27
F3,Tissue factor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,50053,5794,1.15 [1.06-1.26],0.0009193075504313
F3,Tissue factor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,50668,3035,1.35 [1.20-1.51],3.716318461886068e-07
F3,Tissue factor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,50666,3033,1.35 [1.20-1.51],3.431041432151028e-07
F3,Tissue factor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,47807,174,2.15 [1.33-3.47],0.0017253330526488
F3,Tissue factor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other coagulation defects,50934,228,1.97 [1.31-2.95],0.0010408015131594
F3,Tissue factor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,51259,553,1.52 [1.16-1.99],0.0023318846548263
F3,Tissue factor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",51161,455,1.55 [1.15-2.09],0.0037905773126064
F3,Tissue factor,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,39947,636,2.46 [1.92-3.15],1.3385631995594192e-12
F3,Tissue factor,"Chapter IV Endocrine, nutritional and metabolic diseases",Bipolar affective disorders,47954,135,1.80 [1.06-3.06],0.0295934892861237
F3,Tissue factor,"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",50689,1140,1.39 [1.15-1.68],0.0006957203969116
F3,Tissue factor,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,50935,3116,1.20 [1.07-1.34],0.0017245859013873
F3,Tissue factor,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,44994,3022,1.18 [1.05-1.32],0.0059487245465154
F3,Tissue factor,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of calcium metabolism,39871,560,1.64 [1.25-2.15],0.0003864835595876
F3,Tissue factor,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,46388,7077,0.86 [0.79-0.93],0.0001378852924231
F3,Tissue factor,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,51479,649,1.82 [1.43-2.32],9.978573137928235e-07
F3,Tissue factor,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of parathyroid gland,51104,274,2.85 [2.00-4.06],7.585635736905378e-09
F3,Tissue factor,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,39825,514,3.18 [2.42-4.17],7.989212253117765e-17
