Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",50624,2760,1.06 [1.02-1.11],0.0038251331660133
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Candidiasis,51191,851,1.08 [1.00-1.16],0.0443373822685711
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,49636,6988,1.06 [1.04-1.09],2.762818966908251e-06
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),49845,6386,1.05 [1.02-1.08],0.0010030190926117
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,50686,2432,1.08 [1.04-1.13],0.0004378846200608
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,45516,2205,1.08 [1.03-1.13],0.0008479422739368
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,45253,514,1.12 [1.02-1.23],0.0219152966078455
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,35971,3950,1.07 [1.03-1.11],0.000232873363292
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,44949,784,1.13 [1.05-1.22],0.0019571743224685
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,51116,2862,1.08 [1.04-1.12],0.0002361769985264
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Mycoses,51347,1007,1.08 [1.01-1.16],0.0308823388420235
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,49727,1863,1.07 [1.02-1.13],0.0051857924644172
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,51447,98,1.27 [1.02-1.57],0.0325681657364489
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,50989,152,1.22 [1.02-1.45],0.0280347296624406
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Other viral diseases,51284,315,1.18 [1.05-1.34],0.0063111628042592
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",51244,275,1.19 [1.05-1.36],0.0081223051542293
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,48694,830,1.13 [1.05-1.22],0.0011464113920237
HEXIM1,Protein HEXIM1,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,48476,222,1.18 [1.02-1.36],0.0259561454351972
HEXIM1,Protein HEXIM1,Chapter II Neoplasms,Benign neoplasm of meninges,51419,115,1.26 [1.03-1.54],0.0230849856379639
HEXIM1,Protein HEXIM1,Chapter II Neoplasms,"Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)",41086,215,1.21 [1.04-1.40],0.0112251907190684
HEXIM1,Protein HEXIM1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,49859,5768,1.08 [1.05-1.11],1.88609996004239e-07
HEXIM1,Protein HEXIM1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Folate deficiency anaemia,48516,95,1.31 [1.05-1.63],0.0179625091838048
HEXIM1,Protein HEXIM1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,50478,3022,1.08 [1.04-1.13],5.660309530892367e-05
HEXIM1,Protein HEXIM1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,50476,3020,1.08 [1.04-1.13],6.276843763187617e-05
HEXIM1,Protein HEXIM1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,50795,2374,1.16 [1.11-1.21],8.160047506896983e-11
HEXIM1,Protein HEXIM1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,51069,553,0.86 [0.78-0.94],0.0016231695655337
HEXIM1,Protein HEXIM1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Sarcoidosis,51234,108,1.25 [1.02-1.53],0.0349525400274095
HEXIM1,Protein HEXIM1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",50974,458,0.80 [0.72-0.89],2.325511875427408e-05
