Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",42918,2267,1.07 [1.01-1.14],0.0279398698649961
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,42070,5791,1.10 [1.06-1.15],2.2499438016196933e-06
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),42260,5258,1.05 [1.01-1.10],0.0174423062080531
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,42970,1995,1.15 [1.07-1.23],5.252943759902756e-05
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,39991,1559,1.12 [1.04-1.21],0.0034464694417564
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,38597,1749,1.12 [1.04-1.21],0.0018760879763308
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,30465,3246,1.07 [1.02-1.13],0.0093233245952556
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,38233,635,1.25 [1.11-1.41],0.000323757487593
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,43323,2348,1.15 [1.08-1.22],1.1230958784717626e-05
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,43401,1722,1.13 [1.05-1.22],0.0008130155637865
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,Other septicaemia,43182,1503,1.12 [1.03-1.21],0.0064530177954836
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,Other viral diseases,43458,260,1.24 [1.03-1.50],0.0202157978827875
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",43430,232,1.23 [1.01-1.49],0.0406378860090109
KHK,Ketohexokinase,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,43561,94,1.37 [1.01-1.87],0.0440441065156547
KHK,Ketohexokinase,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",43030,2411,1.08 [1.01-1.15],0.0161659106370802
KHK,Ketohexokinase,Chapter II Neoplasms,Benign neoplasm: Descending colon,43559,366,1.18 [1.01-1.39],0.0407657302025203
KHK,Ketohexokinase,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,43394,1052,1.11 [1.01-1.22],0.0300222107588056
KHK,Ketohexokinase,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",43512,205,0.80 [0.65-0.99],0.0411482350615005
KHK,Ketohexokinase,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",34777,137,1.37 [1.06-1.78],0.0163685627205555
KHK,Ketohexokinase,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",34908,268,1.21 [1.00-1.46],0.044885005518779
KHK,Ketohexokinase,Chapter II Neoplasms,"Other and unspecified types of non-Hodgkin lymphoma, hilmo, excluding all cancers",34805,165,1.35 [1.06-1.72],0.0134511388948146
