Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,42070,5791,1.11 [1.02-1.20],0.0185673020913542
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,43401,1722,1.17 [1.00-1.36],0.0433205938893803
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter I Certain infectious and parasitic diseases,Other septicaemia,43182,1503,1.19 [1.01-1.39],0.0362799977730484
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,43449,102,1.82 [1.16-2.84],0.0087428686761065
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",34908,268,1.53 [1.12-2.08],0.0072543078894858
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter II Neoplasms,"Other and unspecified types of non-Hodgkin lymphoma, hilmo, excluding all cancers",34805,165,1.63 [1.13-2.36],0.008408248383972
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,42643,127,1.62 [1.05-2.50],0.0302822581653641
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,42910,85,2.00 [1.30-3.08],0.0016158607315833
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,43067,1952,1.16 [1.01-1.34],0.0387657254663414
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",43204,379,0.56 [0.38-0.83],0.0041235310283382
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter IX Diseases of the circulatory system,Cardiac arrest,24211,312,1.45 [1.08-1.94],0.0127875967429048
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter IX Diseases of the circulatory system,Cerebral atherosclerosis,43596,76,1.77 [1.05-3.00],0.0330227009677202
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,41356,3474,1.17 [1.05-1.30],0.0051998975290892
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",41654,3740,1.13 [1.02-1.26],0.0224023532448879
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",39102,1188,1.24 [1.04-1.48],0.0194214945216833
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter IX Diseases of the circulatory system,"Myocardial infarction, with ST-elevation",43448,270,1.48 [1.05-2.07],0.0240550941871676
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,41847,393,1.39 [1.05-1.84],0.0234146904617774
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter V Mental and behavioural disorders,Smoking dependency,42694,2313,1.17 [1.03-1.34],0.019965524731015
PECR,Peroxisomal trans-2-enoyl-CoA reductase,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of eye and adnexa,43563,254,1.45 [1.03-2.02],0.0310383013889865
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,Bacterial pneumonia (organism specified),42917,235,1.53 [1.10-2.15],0.0128859150719948
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,"Bacterial pneumonia, not elsewhere classified",40202,133,1.74 [1.17-2.58],0.0063972302478993
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,Bronchiectasis,37746,594,1.33 [1.06-1.66],0.0121715633845725
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,"Bronchitis, not specified as acute or chronic",37247,95,1.73 [1.10-2.70],0.016781605030883
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,"Chronic rhinitis, nasopharyngitis and pharyngitis",41262,125,1.68 [1.09-2.59],0.0186744403097537
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,41337,501,1.33 [1.03-1.71],0.0285248439501398
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,Influenza and pneumonia,43217,3148,1.14 [1.02-1.28],0.0240064715823759
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,Interstitial lung disease,41393,557,1.30 [1.01-1.66],0.0376895874260727
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,43163,1605,1.17 [1.00-1.37],0.0472462153764603
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,Other diseases of pleura,43203,3326,1.16 [1.04-1.29],0.0087965251472156
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,43416,2186,1.19 [1.04-1.36],0.0100838138592295
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,Pleural effusion,41504,1627,1.21 [1.04-1.41],0.013569042481374
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",42798,2729,1.14 [1.01-1.29],0.0281866939988397
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,Respiratory insufficiency,29791,91,1.77 [1.11-2.84],0.0167993914790845
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,43129,1571,1.18 [1.01-1.38],0.038664954475313
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter XI Diseases of the digestive system,Coeliac disease,40899,198,1.71 [1.23-2.36],0.0012793224293058
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter XI Diseases of the digestive system,Colonic or urogenital fistula,43334,325,1.39 [1.01-1.92],0.0414284805884407
PECR,Peroxisomal trans-2-enoyl-CoA reductase,Chapter XI Diseases of the digestive system,Crohn disease,40774,152,1.75 [1.21-2.54],0.0030546709751839
