Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SERPING1,Plasma protease C1 inhibitor,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",43023,237,2.19 [1.13-4.23],0.0198024728198074
SERPING1,Plasma protease C1 inhibitor,Chapter I Certain infectious and parasitic diseases,Candidiasis,44550,725,1.84 [1.26-2.68],0.0016092960671715
SERPING1,Plasma protease C1 inhibitor,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),43399,5433,1.21 [1.05-1.39],0.007367871552024
SERPING1,Plasma protease C1 inhibitor,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,44123,2053,1.31 [1.05-1.64],0.0185543786289345
SERPING1,Plasma protease C1 inhibitor,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,41063,1619,1.47 [1.14-1.90],0.0030043048081662
SERPING1,Plasma protease C1 inhibitor,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,39622,1804,1.36 [1.07-1.74],0.0127488532458124
SERPING1,Plasma protease C1 inhibitor,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,31263,3342,1.36 [1.14-1.63],0.0007642726963517
SERPING1,Plasma protease C1 inhibitor,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,39246,657,1.68 [1.13-2.51],0.0111428456057615
SERPING1,Plasma protease C1 inhibitor,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,44483,2413,1.24 [1.01-1.53],0.04275405633494
SERPING1,Plasma protease C1 inhibitor,Chapter I Certain infectious and parasitic diseases,Mycoses,44681,856,1.67 [1.18-2.36],0.0038526649240727
SERPING1,Plasma protease C1 inhibitor,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,44568,1782,1.45 [1.14-1.85],0.0024352444675251
SERPING1,Plasma protease C1 inhibitor,Chapter I Certain infectious and parasitic diseases,Other septicaemia,44348,1562,1.41 [1.09-1.83],0.0087736086983225
SERPING1,Plasma protease C1 inhibitor,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",44192,2485,1.27 [1.03-1.55],0.0241653732893365
SERPING1,Plasma protease C1 inhibitor,Chapter II Neoplasms,Benign neoplasm: Ascending colon,44732,635,1.65 [1.10-2.47],0.0149772066139768
SERPING1,Plasma protease C1 inhibitor,Chapter II Neoplasms,Carcinoma in situ of breast,19587,118,3.03 [1.20-7.64],0.0188703886404107
SERPING1,Plasma protease C1 inhibitor,Chapter II Neoplasms,Leiomyoma of uterus,23329,506,0.59 [0.38-0.93],0.021343206416343
SERPING1,Plasma protease C1 inhibitor,Chapter II Neoplasms,Lung cancer and mesothelioma,31095,595,2.68 [1.77-4.07],3.484806742120913e-06
SERPING1,Plasma protease C1 inhibitor,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",35709,144,0.55 [0.32-0.96],0.0347241549917321
SERPING1,Plasma protease C1 inhibitor,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",17120,1176,1.36 [1.01-1.85],0.0459266877649394
SERPING1,Plasma protease C1 inhibitor,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",35974,409,2.44 [1.47-4.05],0.0005511280368896
SERPING1,Plasma protease C1 inhibitor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,41575,154,4.12 [1.83-9.28],0.0006234791992689
SERPING1,Plasma protease C1 inhibitor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,43964,2543,1.27 [1.04-1.56],0.0199157697436135
SERPING1,Plasma protease C1 inhibitor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,43962,2541,1.27 [1.04-1.56],0.0196908087179618
SERPING1,Plasma protease C1 inhibitor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",44362,389,0.51 [0.30-0.85],0.010011882366768
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,34754,524,3.01 [1.94-4.68],9.217228707152908e-07
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Acute alcohol intoxication,41734,198,9.10 [4.46-18.53],1.2027563794393882e-09
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,41760,224,17.63 [9.20-33.75],4.847083623904729e-18
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,44177,2670,1.39 [1.14-1.69],0.0009665463761687
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,39086,2599,1.44 [1.18-1.75],0.0003917253029466
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of calcium metabolism,34708,478,2.63 [1.65-4.19],4.542437694062481e-05
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,40298,6068,1.61 [1.41-1.83],2.0563585071881626e-12
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,34572,342,2.94 [1.70-5.08],0.0001125264294845
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of mineral metabolism,35184,954,1.86 [1.33-2.59],0.0002522270077713
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of parathyroid gland,44311,221,2.67 [1.36-5.26],0.0045352444033367
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,34659,429,1.73 [1.05-2.84],0.0301643345399424
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,34697,467,2.57 [1.61-4.11],8.120979147026681e-05
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases","Hyperlipidaemia, other/unspecified",35321,1091,1.93 [1.41-2.63],3.319005837542446e-05
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,44299,209,2.93 [1.46-5.88],0.002434046279061
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypokalaemia,35063,833,1.44 [1.01-2.06],0.0434699543791925
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,42812,8582,1.46 [1.31-1.63],2.6057625529863968e-11
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Other anxiety disorders,44176,2093,1.27 [1.02-1.58],0.0355733601589729
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",36916,2686,1.48 [1.21-1.80],0.0001250219136477
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,44754,362,1.80 [1.06-3.06],0.0303086611686496
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases","Postprocedural endocrine and metabolic disorders, not elsewhere classified",34509,279,2.29 [1.24-4.24],0.0082539571291993
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with neurological complications,3674,141,4.57 [2.03-10.28],0.000245650512544
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,3908,422,1.74 [1.08-2.81],0.0228806487376309
SERPING1,Plasma protease C1 inhibitor,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,35511,1281,1.62 [1.21-2.15],0.0010911516995985
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,Arterial embolism and thrombosis of lower extremity artery,42665,100,4.92 [1.82-13.32],0.0017179037574831
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,"Atherosclerosis, excluding cerebral and coronary sclerosis",42899,334,2.19 [1.25-3.81],0.0058804593968022
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,"Bradycardia, unspecified, drug-induced",44673,709,0.68 [0.46-0.99],0.0461344102198076
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,39195,13163,1.35 [1.23-1.48],7.176926040320132e-11
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,"Heart failure, strict",44422,1864,1.41 [1.11-1.78],0.0049802610256546
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,Hypertension,40772,11270,1.49 [1.36-1.65],6.876289986239986e-16
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,"Hypertension, essential",40782,11280,1.50 [1.36-1.65],6.2747500603076195e-16
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,"Hypertension, portal",44468,138,0.39 [0.23-0.65],0.000361878696976
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,29670,168,8.43 [4.11-17.27],5.839634425364179e-09
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",42765,3833,1.23 [1.04-1.45],0.0155617929913783
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,"Ischaemic Stroke, excluding all haemorrhages",44145,959,1.44 [1.03-2.00],0.031787486331242
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,43982,1450,1.55 [1.18-2.02],0.0013691447711131
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",40152,1220,1.59 [1.19-2.14],0.0018831811372308
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,Other arterial embolism and thrombosis,42739,174,4.20 [1.97-8.93],0.0001994370429863
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,42969,404,1.90 [1.15-3.15],0.0126641983804431
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,Other other unspecified disorders of the circulatory system,42670,94,0.31 [0.11-0.87],0.0259932211950391
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,43489,924,1.93 [1.38-2.70],0.0001110529993368
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,25103,571,0.61 [0.39-0.93],0.0233410648014842
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,Peripheral artery disease,43191,681,1.89 [1.28-2.79],0.0013746098920295
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",44122,1097,1.39 [1.02-1.89],0.0380690987741329
SERPING1,Plasma protease C1 inhibitor,Chapter IX Diseases of the circulatory system,"Stroke, including SAH",44087,1164,1.38 [1.02-1.86],0.0373378013452966
SERPING1,Plasma protease C1 inhibitor,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",44560,627,6.33 [4.26-9.39],5.691323048377875e-20
SERPING1,Plasma protease C1 inhibitor,Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",39241,2471,1.35 [1.10-1.65],0.0044535507597921
SERPING1,Plasma protease C1 inhibitor,Chapter V Mental and behavioural disorders,Any mental disorder,43650,6880,1.37 [1.21-1.55],4.827607143478363e-07
SERPING1,Plasma protease C1 inhibitor,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",44480,736,6.01 [4.17-8.65],6.390392469006523e-22
SERPING1,Plasma protease C1 inhibitor,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",39491,2721,1.47 [1.21-1.79],0.0001083359827291
SERPING1,Plasma protease C1 inhibitor,Chapter V Mental and behavioural disorders,Smoking dependency,43849,2388,1.63 [1.32-1.99],3.3305980958467017e-06
SERPING1,Plasma protease C1 inhibitor,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",39606,2836,1.97 [1.63-2.38],3.527255482946045e-12
SERPING1,Plasma protease C1 inhibitor,Chapter V Mental and behavioural disorders,Vascular dementia,43952,217,2.37 [1.18-4.78],0.0155214765746929
SERPING1,Plasma protease C1 inhibitor,Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,44631,532,1.91 [1.23-2.97],0.0038998876028021
SERPING1,Plasma protease C1 inhibitor,Chapter VI Diseases of the nervous system,Falls/tendency to fall,43748,4369,1.38 [1.19-1.62],4.065580274847361e-05
SERPING1,Plasma protease C1 inhibitor,Chapter VI Diseases of the nervous system,Hemiplegia,44517,418,1.81 [1.10-2.98],0.0190019789024019
SERPING1,Plasma protease C1 inhibitor,Chapter VI Diseases of the nervous system,Inflammatory diseases of the central nervous system,44738,120,3.50 [1.42-8.62],0.0064009984670435
SERPING1,Plasma protease C1 inhibitor,Chapter VI Diseases of the nervous system,"Other and unspecified polyneuropathies, also in other diseases",44640,493,2.10 [1.33-3.31],0.0013620516648766
SERPING1,Plasma protease C1 inhibitor,Chapter VI Diseases of the nervous system,Other diseases of spinal cord,43812,125,3.12 [1.28-7.62],0.0123597746288844
SERPING1,Plasma protease C1 inhibitor,Chapter VI Diseases of the nervous system,Other disorders of nervous system,43926,239,2.65 [1.39-5.07],0.0032062512743635
SERPING1,Plasma protease C1 inhibitor,Chapter VI Diseases of the nervous system,Other neurological diseases,44569,882,1.64 [1.16-2.30],0.0046745580414747
SERPING1,Plasma protease C1 inhibitor,Chapter VI Diseases of the nervous system,Vascular dementia (undefined),43884,210,2.52 [1.23-5.12],0.0110843684431627
SERPING1,Plasma protease C1 inhibitor,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic neuropathy,4379,165,4.09 [1.93-8.69],0.0002401881303516
SERPING1,Plasma protease C1 inhibitor,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,44428,1785,1.28 [1.00-1.63],0.0462176853615153
SERPING1,Plasma protease C1 inhibitor,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other specified and unspecified retinal disorders,42842,199,2.35 [1.14-4.83],0.0206487329945587
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,All influenza,41341,199,4.33 [2.13-8.79],5.072025215017675e-05
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,All influenza (not pneumonia),41337,195,4.60 [2.25-9.38],2.786322026311809e-05
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,Allergic asthma (mode),30704,204,2.11 [1.03-4.31],0.0409395006743016
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",33124,3080,1.32 [1.10-1.59],0.0030803002242958
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",33531,3031,1.32 [1.09-1.59],0.0035704718569395
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,Bacterial pneumonia (organism specified),44069,244,2.30 [1.20-4.40],0.0117733093934698
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,"Bacterial pneumonia, not elsewhere classified",41281,139,2.40 [1.01-5.69],0.0466246648717929
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,Bronchiectasis,38771,598,2.22 [1.46-3.38],0.0002087121236613
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,43006,4833,1.35 [1.16-1.56],7.201889816886883e-05
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",44430,2040,1.81 [1.44-2.27],3.319254291209159e-07
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,41166,9044,1.22 [1.10-1.36],0.0002951535450231
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,Early onset COPD,42954,564,2.23 [1.47-3.40],0.0001727377373468
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,Influenza and pneumonia,44379,3237,1.53 [1.28-1.84],3.1786987423038507e-06
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,Interstitial lung disease,42525,572,0.62 [0.41-0.96],0.030708764291072
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,Later onset COPD,42990,1476,1.90 [1.45-2.49],2.963084024942121e-06
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,Lung diseases due to external agents,44749,532,2.18 [1.40-3.40],0.000532125961198
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,44334,1655,1.45 [1.13-1.86],0.0038960768523919
SERPING1,Plasma protease C1 inhibitor,Chapter X Diseases of the respiratory system,Other diseases of pleura,44358,3414,1.46 [1.23-1.74],2.025658544837157e-05
