Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
ZBP1,Z-DNA-binding protein 1,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",34646,90,2.59 [2.10-3.19],5.0210341026814635e-19
ZBP1,Z-DNA-binding protein 1,Chapter II Neoplasms,Lymphoid leukaemia,34643,87,2.66 [2.17-3.26],5.3672733056040856e-21
ZBP1,Z-DNA-binding protein 1,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",34825,269,1.75 [1.46-2.10],1.8829416975094678e-09
ZBP1,Z-DNA-binding protein 1,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,41256,493,1.55 [1.32-1.82],6.396061745699209e-08
ZBP1,Z-DNA-binding protein 1,Chapter X Diseases of the respiratory system,Interstitial lung disease,41311,548,1.56 [1.34-1.81],6.8104881788562415e-09
ZBP1,Z-DNA-binding protein 1,Chapter X Diseases of the respiratory system,Other diseases of pleura,43092,3320,1.22 [1.14-1.32],5.672597663745832e-08
ZBP1,Z-DNA-binding protein 1,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,43322,680,1.49 [1.30-1.71],1.757997806993854e-08
ZBP1,Z-DNA-binding protein 1,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",42696,2711,1.25 [1.15-1.35],9.425712196983221e-08
ZBP1,Z-DNA-binding protein 1,Chapter XI Diseases of the digestive system,Coeliac disease,40789,206,1.84 [1.54-2.21],4.480330556520804e-11
ZBP1,Z-DNA-binding protein 1,Chapter XI Diseases of the digestive system,Intestinal malabsorption,40829,246,1.71 [1.43-2.06],6.805583711313955e-09
ZBP1,Z-DNA-binding protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sicca syndrome [Sjgren],42409,160,1.96 [1.60-2.38],2.8050663030046396e-11
ZBP1,Z-DNA-binding protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,42491,242,1.80 [1.51-2.15],9.702272402172352e-11
ZBP1,Z-DNA-binding protein 1,Chapter XIV Diseases of the genitourinary system,Acute renal failure,41927,2514,1.27 [1.17-1.39],1.1267117081239484e-08
ZBP1,Z-DNA-binding protein 1,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,43133,4237,1.21 [1.13-1.29],2.969249180130021e-08
