Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",47796,294,1.76 [1.47-2.11],4.744823694492995e-10
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",49527,386,1.48 [1.24-1.77],2.0458776310595407e-05
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",49020,2688,1.41 [1.32-1.52],1.5393753975176853e-21
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Candidiasis,49564,834,1.46 [1.29-1.65],2.729133735942058e-09
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,48070,6815,1.31 [1.25-1.37],4.0030987546571756e-29
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),48251,6180,1.40 [1.33-1.47],4.7466071960873545e-43
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,49070,2368,1.38 [1.28-1.49],1.129129333304925e-16
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,49382,168,1.57 [1.21-2.04],0.0007725090541463
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,45603,1877,1.47 [1.36-1.60],4.067024928143245e-20
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,44051,2143,1.67 [1.55-1.79],2.490542925947242e-45
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,43811,500,1.81 [1.59-2.07],2.0927530490790964e-18
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,34793,3830,1.43 [1.35-1.52],2.7108115268150072e-31
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,43505,749,1.73 [1.54-1.93],3.1810164287377642e-21
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,49495,2793,1.38 [1.29-1.48],2.1098906503115376e-19
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Mycoses,49715,985,1.42 [1.27-1.60],2.449692463275518e-09
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,48144,1812,1.49 [1.37-1.62],1.7684426248292128e-20
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,49581,2079,1.46 [1.35-1.58],6.365714950126697e-21
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,47090,388,1.49 [1.25-1.78],1.2139428541770827e-05
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,49810,97,1.24 [0.82-1.87],0.3072104604094992
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,49313,1811,1.43 [1.31-1.56],5.56575512137826e-16
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,49364,150,1.36 [1.00-1.84],0.0507945449919192
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Other viral diseases,49661,308,1.56 [1.29-1.89],3.482057703298262e-06
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",49622,269,1.56 [1.28-1.91],1.376087001997018e-05
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,47148,816,1.59 [1.41-1.78],6.469117556191013e-15
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,46863,531,1.33 [1.13-1.57],0.0007144238420784
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,46915,213,1.71 [1.38-2.13],1.1627363122296574e-06
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,49768,103,1.47 [1.04-2.07],0.0284551500150433
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,49680,296,1.40 [1.13-1.73],0.0019831234311575
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Viral warts,49484,100,1.59 [1.15-2.21],0.0052762599876019
CDH1,Cadherin-1,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],49510,126,1.24 [0.87-1.78],0.2362490839498196
