Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",41911,232,1.17 [0.93-1.47],0.1742457384443658
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",43349,329,1.12 [0.92-1.36],0.2431797329874605
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",42918,2267,1.21 [1.13-1.30],5.6194898737489824e-08
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Candidiasis,43381,700,1.23 [1.09-1.39],0.0009836302770138
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,42070,5791,1.16 [1.10-1.21],4.341804691229935e-10
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),42260,5258,1.18 [1.13-1.24],2.308062658424204e-12
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,42970,1995,1.17 [1.09-1.27],2.9130159503167707e-05
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,43236,148,1.10 [0.82-1.47],0.5418514877780332
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,39991,1559,1.27 [1.17-1.38],1.1332928890422253e-08
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,38597,1749,1.30 [1.21-1.40],4.00725301876076e-12
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,38474,408,1.20 [1.02-1.42],0.0259279386489486
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,30465,3246,1.21 [1.14-1.29],1.3437626107916968e-10
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,38233,635,1.39 [1.24-1.55],1.796906541721205e-08
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,43323,2348,1.17 [1.09-1.25],1.9363272496083136e-05
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Mycoses,43506,825,1.28 [1.14-1.43],1.6096728517059998e-05
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,42166,1515,1.24 [1.14-1.35],7.790870971736864e-07
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,43401,1722,1.25 [1.15-1.35],6.902493231797674e-08
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,41306,331,1.12 [0.93-1.36],0.2361840054278228
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,43600,79,1.02 [0.67-1.56],0.9313303384102122
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Other septicaemia,43182,1503,1.25 [1.15-1.36],3.6407056055086573e-07
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,43212,124,1.07 [0.78-1.49],0.6658080150799079
DMD,Dystrophin,Chapter I Certain infectious and parasitic diseases,Other viral diseases,43458,260,1.22 [1.00-1.49],0.0539986666405156
