Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",48473,293,1.24 [1.05-1.46],0.0115494889806635
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",50208,388,1.33 [1.16-1.53],4.92979447165656e-05
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",49691,2711,1.14 [1.08-1.21],8.515320162206372e-06
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,Candidiasis,50248,828,1.19 [1.08-1.32],0.0006603734817052
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,48721,6852,1.10 [1.06-1.14],1.0364811405871223e-06
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),48923,6259,1.13 [1.09-1.18],1.0710417752743144e-10
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,49752,2385,1.13 [1.06-1.20],8.79059155411395e-05
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,50067,172,1.42 [1.17-1.73],0.000425676861831
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,46236,1886,1.18 [1.11-1.27],8.950483649259786e-07
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,44676,2149,1.22 [1.14-1.29],4.93688869785836e-10
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,44431,495,1.33 [1.17-1.50],7.258079638846487e-06
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,35300,3868,1.12 [1.07-1.18],2.6636871573033554e-06
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,44132,766,1.36 [1.23-1.50],9.26118325496954e-10
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,50175,2808,1.16 [1.09-1.22],2.82663929697637e-07
FABP6,Gastrotropin,Chapter I Certain infectious and parasitic diseases,Mycoses,50397,977,1.14 [1.04-1.25],0.0063027511108554
