Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",49590,300,0.49 [0.39-0.62],2.489200868784739e-09
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",51383,399,0.65 [0.53-0.80],4.94162230177248e-05
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",50850,2771,0.69 [0.63-0.74],5.2448192284619924e-21
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Candidiasis,51424,860,0.74 [0.64-0.85],2.6116416741928007e-05
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,49869,7029,0.72 [0.69-0.76],7.278953939439607e-38
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),50058,6423,0.69 [0.66-0.73],4.232325646418399e-44
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,50912,2435,0.64 [0.59-0.70],1.013649184906397e-25
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,51235,173,0.53 [0.39-0.72],5.339288973029407e-05
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,47316,1954,0.63 [0.57-0.69],5.735434201006842e-22
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,45712,2218,0.51 [0.47-0.56],2.4134174355270875e-50
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,45450,516,0.61 [0.51-0.74],2.0414400643359386e-07
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,36120,3972,0.64 [0.60-0.68],7.149152337435588e-40
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,45144,786,0.54 [0.47-0.62],1.9279078773040959e-16
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,51350,2873,0.65 [0.61-0.71],3.0866449067065406e-27
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Mycoses,51580,1016,0.73 [0.64-0.83],1.7483836458644635e-06
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,49941,1862,0.66 [0.60-0.72],3.725243588395117e-18
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,51447,2157,0.66 [0.61-0.72],5.4138261837756755e-20
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,48878,401,0.63 [0.51-0.77],7.72115557823818e-06
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,51680,100,0.83 [0.55-1.26],0.3844091562307709
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,51175,1885,0.67 [0.61-0.74],1.552400002452971e-16
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,51218,156,0.87 [0.62-1.21],0.4083993059960548
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other viral diseases,51520,316,0.67 [0.53-0.85],0.0008022078903882
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",51482,278,0.71 [0.55-0.91],0.0070275304587766
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,48922,843,0.55 [0.48-0.64],3.818181252013587e-16
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,48636,557,0.69 [0.58-0.82],4.118080820920895e-05
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,48697,220,0.59 [0.45-0.77],0.0001364858464731
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,51637,104,0.64 [0.43-0.95],0.0272361131016721
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,51548,308,0.65 [0.52-0.83],0.0004086668505316
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Viral warts,51342,102,0.62 [0.41-0.93],0.0215530988690908
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],51370,130,0.63 [0.44-0.91],0.0127523769298175
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign lipomatous neoplasm,51093,590,0.89 [0.75-1.06],0.2004162211211555
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,51504,116,0.91 [0.61-1.34],0.6191298251604203
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,51468,124,1.15 [0.79-1.67],0.457151992045726
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,23743,131,0.86 [0.59-1.24],0.4089691115106096
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",51009,2887,0.92 [0.85-1.00],0.0393626342015173
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign neoplasm of meninges,51651,115,0.90 [0.61-1.32],0.5788369545404931
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,51549,131,0.49 [0.34-0.69],6.57616804427679e-05
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,51632,215,0.60 [0.45-0.79],0.0002418297604399
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign neoplasm of ovary,27802,180,0.76 [0.56-1.03],0.079857290074354
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign neoplasm: Ascending colon,51633,727,0.85 [0.73-0.99],0.0405203821841418
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign neoplasm: Caecum,51634,603,0.86 [0.72-1.01],0.0719908701111031
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",51462,142,1.04 [0.73-1.46],0.8349983479250895
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign neoplasm: Descending colon,51628,434,0.95 [0.78-1.16],0.6377437916914824
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign neoplasm: Rectum,51549,712,0.90 [0.77-1.06],0.2048680663987362
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,51445,1238,0.99 [0.88-1.11],0.8113860047405635
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign neoplasm: Transverse colon,51614,869,0.90 [0.78-1.04],0.148557022562291
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Carcinoma in situ of breast,22586,140,0.98 [0.68-1.40],0.9129740776214048
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Carcinoma in situ of breast, intraductal",22677,169,0.99 [0.71-1.37],0.9464245676945648
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",41133,105,0.57 [0.38-0.85],0.0061474840964825
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",41166,138,0.80 [0.56-1.15],0.2286012724304446
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",51582,241,0.91 [0.70-1.20],0.5112504328784149
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Haemangioma, any site",51583,237,0.91 [0.70-1.20],0.5158699180607791
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Leiomyoma of uterus,26893,593,0.81 [0.68-0.96],0.0168496434191344
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Lung cancer and mesothelioma,35821,656,0.96 [0.81-1.12],0.5766373571449545
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Lymphoid leukaemia,41131,103,0.67 [0.44-1.01],0.0582848244818137
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",41403,375,0.90 [0.73-1.13],0.3697246735879465
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",41438,410,0.90 [0.73-1.10],0.3040756139075798
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding all cancers)",22813,190,0.92 [0.68-1.24],0.5693641649047201
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",41193,165,1.00 [0.72-1.38],0.9939693109088912
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)",41245,217,0.77 [0.58-1.02],0.0645538435698113
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)",41223,195,1.00 [0.74-1.35],0.997271624994659
