Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",48498,300,1.12 [0.90-1.40],0.2943458570697286
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",50260,389,1.09 [0.90-1.32],0.3743303124064153
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",49741,2720,1.05 [0.97-1.13],0.2104992200255278
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Candidiasis,50299,837,1.05 [0.92-1.20],0.4411218366510433
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,48772,6891,1.03 [0.98-1.07],0.2744551845078941
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),48956,6277,1.03 [0.98-1.08],0.281894504626777
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,49802,2395,0.98 [0.91-1.06],0.6050243774531141
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,50116,170,1.27 [0.95-1.70],0.109310118831044
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,46282,1913,1.02 [0.94-1.12],0.5978797200458662
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,44709,2166,1.06 [0.98-1.15],0.1488790174743395
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,44452,502,1.05 [0.88-1.25],0.5749047275936143
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,35358,3882,1.05 [0.99-1.12],0.1306950406873805
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,44156,766,1.11 [0.96-1.27],0.1574833732312104
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,50229,2822,1.01 [0.94-1.08],0.8097307798470184
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Mycoses,50450,988,1.10 [0.97-1.24],0.1296973597123217
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,48848,1827,1.09 [1.00-1.19],0.0572646308774276
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,50315,2117,1.04 [0.96-1.13],0.3244806020269621
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,47798,391,1.09 [0.90-1.32],0.3786154233940307
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,50551,97,1.31 [0.89-1.93],0.1711008811335126
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,50046,1848,1.02 [0.94-1.12],0.6028187786265702
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,50097,151,1.13 [0.83-1.53],0.437577886041628
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Other viral diseases,50393,307,1.13 [0.91-1.40],0.2681433454267052
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",50358,272,1.16 [0.92-1.46],0.1979001705866424
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,47840,819,1.01 [0.89-1.16],0.8392293462305344
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,47571,550,1.02 [0.86-1.20],0.8351053658774352
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,47625,218,1.20 [0.92-1.55],0.1729693944383735
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,50510,103,1.26 [0.87-1.81],0.2178795154998807
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,50422,293,1.00 [0.80-1.24],0.9706837234672964
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Viral warts,50225,96,1.08 [0.74-1.60],0.6848985051995724
PAPPA,Pappalysin-1,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],50252,123,0.99 [0.70-1.39],0.946869361601604
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign lipomatous neoplasm,49980,580,1.08 [0.93-1.27],0.3205113670519335
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,50380,116,1.33 [0.95-1.86],0.1003916741650497
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,50349,123,1.08 [0.77-1.52],0.6474567736164323
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,23268,129,1.09 [0.78-1.52],0.6043192553556676
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",49898,2826,0.99 [0.92-1.06],0.7690361426226766
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign neoplasm of meninges,50524,112,0.96 [0.67-1.38],0.8208339583601781
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,50424,128,0.87 [0.62-1.22],0.4291695580115601
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,50503,206,1.22 [0.93-1.58],0.1465048873935951
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign neoplasm of ovary,27154,174,0.98 [0.73-1.30],0.8727300298804981
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign neoplasm: Ascending colon,50506,713,0.91 [0.79-1.05],0.2014417418297752
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign neoplasm: Caecum,50506,585,0.93 [0.80-1.09],0.38405479136065
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",50335,143,0.88 [0.64-1.21],0.4227609832771514
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign neoplasm: Descending colon,50502,426,1.24 [1.03-1.49],0.0209316540464509
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign neoplasm: Rectum,50425,693,1.05 [0.91-1.22],0.4858621080261873
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,50330,1198,1.04 [0.94-1.17],0.4351186925741944
PAPPA,Pappalysin-1,Chapter II Neoplasms,Benign neoplasm: Transverse colon,50488,844,0.99 [0.87-1.12],0.8389823863782795
PAPPA,Pappalysin-1,Chapter II Neoplasms,Carcinoma in situ of breast,22090,138,1.01 [0.73-1.39],0.9675955365145088
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Carcinoma in situ of breast, intraductal",22181,166,0.93 [0.69-1.25],0.6186370073445718
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",40284,100,0.95 [0.65-1.39],0.8043314155042862
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",40319,135,0.85 [0.61-1.18],0.3413403894088755
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",50452,232,0.83 [0.65-1.07],0.1571889658322587
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Haemangioma, any site",50453,227,0.84 [0.65-1.08],0.173779881198121
PAPPA,Pappalysin-1,Chapter II Neoplasms,Leiomyoma of uterus,26247,581,1.00 [0.86-1.17],0.9829677839437064
PAPPA,Pappalysin-1,Chapter II Neoplasms,Lung cancer and mesothelioma,35061,653,1.03 [0.88-1.19],0.7282775990867095
PAPPA,Pappalysin-1,Chapter II Neoplasms,Lymphoid leukaemia,40283,99,0.87 [0.59-1.27],0.4772142821973111
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",40554,370,0.94 [0.77-1.15],0.5764951725445561
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",40581,397,0.81 [0.67-0.99],0.0344924257761419
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding all cancers)",22309,181,1.02 [0.77-1.36],0.8835850387144731
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",40341,157,1.33 [0.98-1.80],0.0657595060817245
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)",40398,214,1.05 [0.81-1.36],0.7141060147410074
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)",40378,194,1.23 [0.94-1.62],0.1362563105573487
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Malignant neoplasm of ovary, excluding all cancers (controls excluding all cancers)",22268,140,0.79 [0.57-1.10],0.159585573786704
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers)",40362,178,0.96 [0.72-1.28],0.7750508167246419
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",19412,1356,0.91 [0.82-1.00],0.0613379716222761
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers)",40407,223,0.74 [0.57-0.96],0.020965542114882
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)",40330,146,0.91 [0.66-1.24],0.5421133451362403
PAPPA,Pappalysin-1,Chapter II Neoplasms,Malignant neoplasms of independent (primary) multiple sites,40393,209,0.98 [0.76-1.28],0.9061338966476844
PAPPA,Pappalysin-1,Chapter II Neoplasms,Melanocytic naevi,50162,395,0.93 [0.76-1.12],0.4269007386185025
PAPPA,Pappalysin-1,Chapter II Neoplasms,Melanocytic naevi of trunk,50469,171,0.91 [0.68-1.22],0.5339858078484194
PAPPA,Pappalysin-1,Chapter II Neoplasms,Melanoma in situ,40249,159,0.89 [0.66-1.21],0.4662950287419117
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Non-follicular lymphoma, hilmo, excluding all cancers",40362,178,0.92 [0.69-1.22],0.558874031148618
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",40496,312,0.90 [0.72-1.12],0.3323095832219562
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",40630,446,0.89 [0.74-1.07],0.208595113078242
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Other and unspecified types of non-Hodgkin lymphoma, hilmo, excluding all cancers",40378,194,0.96 [0.73-1.27],0.788830563936334
PAPPA,Pappalysin-1,Chapter II Neoplasms,Other benign neoplasms of skin,50195,306,1.01 [0.81-1.25],0.9338034372065488
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",42285,2101,0.90 [0.83-0.98],0.0140630195541735
PAPPA,Pappalysin-1,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",42400,2216,0.89 [0.82-0.97],0.0071880235634236
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,49970,674,1.09 [0.94-1.26],0.2369130687400102
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,46863,219,0.87 [0.67-1.13],0.3060684459933297
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,49437,141,1.33 [0.97-1.82],0.0726970525783447
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,48996,5650,1.00 [0.95-1.05],0.9396737851167828
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Folate deficiency anaemia,47668,96,1.68 [1.14-2.48],0.0082386236246008
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,49741,101,1.58 [1.10-2.28],0.0141193096690932
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,49597,2953,1.00 [0.93-1.07],0.9715766487654444
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,49595,2951,1.00 [0.93-1.07],0.99797097120469
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,46815,171,0.86 [0.64-1.15],0.302226166942116
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,49908,2336,0.96 [0.88-1.03],0.2627581339972833
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other coagulation defects,49856,216,1.21 [0.94-1.57],0.1412737156487107
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,49422,126,1.99 [1.45-2.73],2.247922317620834e-05
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,49412,116,1.54 [1.09-2.17],0.0131520487553782
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,50182,542,1.46 [1.24-1.72],3.793669023364928e-06
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Sarcoidosis,50346,106,0.82 [0.57-1.18],0.278077646438672
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",50086,446,1.48 [1.24-1.77],1.3008929202045472e-05
PAPPA,Pappalysin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Vitamin B12 deficiency anaemia,47781,209,1.00 [0.76-1.30],0.9715126340734008
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,39128,617,1.00 [0.86-1.17],0.9971136111844608
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Acute alcohol intoxication,47141,228,1.02 [0.79-1.32],0.8655581506212672
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,47159,246,1.12 [0.88-1.43],0.347075739279805
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Alkalosis,38618,107,1.46 [1.01-2.12],0.0422163135029543
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Bipolar affective disorders,46941,134,0.94 [0.67-1.30],0.6904937692902758
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Deficiency of other B group vitamins,45831,471,0.95 [0.80-1.13],0.5699676709333956
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",49621,1115,1.04 [0.93-1.17],0.5005016314374493
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Dementia in Alzheimer disease,49026,520,1.13 [0.96-1.34],0.1451589682063981
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Dementia in other diseases classified elsewhere,48757,251,1.04 [0.82-1.32],0.7483018227644257
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,49849,3042,0.97 [0.90-1.04],0.3271657365217649
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,44020,2948,0.96 [0.90-1.03],0.3073225745878749
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases","Disorder of lipoprotein metabolism, unspecified",38639,128,0.94 [0.67-1.32],0.7074048802759261
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases","Disorder of thyroid, unspecified",46603,159,1.23 [0.91-1.66],0.1866994984858999
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of calcium metabolism,39062,551,1.10 [0.93-1.29],0.2780205408724923
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of iron metabolism,38629,118,1.35 [0.95-1.91],0.0939644684112429
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,45414,6903,0.92 [0.88-0.96],0.0002416266976272
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,38895,384,0.88 [0.72-1.07],0.1961202216930239
PAPPA,Pappalysin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of mineral metabolism,39603,1092,1.00 [0.89-1.13],0.9608284302414176
