Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",41668,231,1.04 [0.91-1.20],0.5585751254550435
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",43096,326,1.00 [0.89-1.14],0.9534597621554228
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",42651,2257,1.04 [0.99-1.08],0.134635385097898
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Candidiasis,43133,697,1.09 [1.01-1.17],0.0285869953549537
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,41809,5745,1.01 [0.99-1.04],0.3247221398399596
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),42015,5216,1.01 [0.97-1.04],0.7301942315653236
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,42716,1991,1.03 [0.98-1.08],0.1788768613191447
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,42980,143,1.00 [0.83-1.20],0.9898037763389264
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,39770,1549,1.01 [0.95-1.07],0.8094013082284098
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,38376,1729,1.04 [0.98-1.09],0.1803134688056843
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,38269,409,1.09 [0.99-1.20],0.076002297812193
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,30273,3210,1.01 [0.97-1.05],0.6384916080328877
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,38017,633,1.08 [0.99-1.17],0.0683568800857739
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,43068,2343,1.03 [0.99-1.08],0.1698598421244334
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Mycoses,43256,820,1.08 [1.01-1.16],0.0233175847690258
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,41897,1503,1.05 [0.99-1.11],0.0883396861627578
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,43147,1710,1.01 [0.96-1.07],0.6745505247339787
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,41053,328,1.02 [0.90-1.15],0.7951719882365498
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,43347,77,0.92 [0.69-1.22],0.5595545395285166
PCARE,Photoreceptor cilium actin regulator,Chapter I Certain infectious and parasitic diseases,Other septicaemia,42930,1493,1.01 [0.95-1.07],0.716180279320501
