Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",42968,236,1.31 [1.10-1.56],0.0026419099592428
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",44450,331,1.24 [1.07-1.45],0.0053008656239239
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",44002,2328,1.08 [1.02-1.15],0.0089519884272625
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Candidiasis,44492,721,1.23 [1.11-1.36],0.0001191386399548
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,43140,5942,1.11 [1.07-1.15],1.7097490332523648e-07
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),43334,5400,1.15 [1.10-1.19],5.150226387420636e-12
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,44061,2053,1.13 [1.06-1.21],0.0001050704795896
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,44334,147,1.39 [1.12-1.73],0.0029290449780848
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,41009,1609,1.17 [1.08-1.25],3.076468746945706e-05
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,39581,1797,1.24 [1.16-1.32],2.7579195004176103e-10
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,39456,425,1.29 [1.13-1.47],0.0001799969176422
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,31246,3331,1.15 [1.10-1.21],2.88817641162566e-08
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,39194,650,1.23 [1.11-1.38],0.000171998787759
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,44420,2412,1.14 [1.08-1.21],1.10771284829782e-05
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Mycoses,44621,850,1.19 [1.08-1.31],0.000601500037013
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,43229,1555,1.11 [1.03-1.19],0.0065563640996461
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,44506,1774,1.16 [1.08-1.24],1.7248992426344837e-05
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,42341,333,1.24 [1.06-1.44],0.006752596246736
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Other infectious diseases,44710,81,1.19 [0.87-1.63],0.2789473343526397
SUOX,"Sulfite oxidase, mitochondrial",Chapter I Certain infectious and parasitic diseases,Other septicaemia,44285,1553,1.15 [1.07-1.24],0.0001730473205571
