Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",41642,226,0.99 [0.78-1.26],0.954781515134267
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",43076,323,1.06 [0.87-1.29],0.5738345974127961
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",42641,2260,1.14 [1.06-1.22],0.0002037992281605
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Candidiasis,43107,697,1.13 [1.00-1.29],0.0503101061782172
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,41796,5745,1.07 [1.02-1.12],0.0043658780672831
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),42001,5230,1.11 [1.06-1.17],4.596681154056173e-06
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,42697,1995,1.05 [0.96-1.13],0.2839302534963072
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,42960,142,1.28 [1.01-1.62],0.0437866782401882
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,39755,1551,1.15 [1.06-1.24],0.0011552696933555
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,38386,1738,1.19 [1.10-1.28],5.260851851004964e-06
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,38247,406,1.11 [0.93-1.31],0.2391460173351126
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,30235,3204,1.12 [1.06-1.19],0.0001183295864928
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,38007,641,1.23 [1.09-1.39],0.0005301677647004
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,43048,2346,1.05 [0.98-1.13],0.169937408335523
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Mycoses,43230,820,1.08 [0.95-1.22],0.2306513922622773
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,41890,1509,1.13 [1.04-1.23],0.0038073297181824
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,43123,1707,1.12 [1.03-1.21],0.0053665291978492
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,41027,325,1.07 [0.88-1.30],0.495881435526796
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,43321,77,1.12 [0.77-1.63],0.5557290895421747
UBQLN3,Ubiquilin-3,Chapter I Certain infectious and parasitic diseases,Other septicaemia,42913,1497,1.12 [1.03-1.22],0.0062403374960682
