Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
MORN4,MORN repeat-containing protein 4,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of iron metabolism,14471,62,1.39 [1.15-1.68],0.000548545610283
MORN4,MORN repeat-containing protein 4,Chapter IX Diseases of the circulatory system,"Hypertension, portal",19648,94,1.27 [1.06-1.52],0.0092415173066255
MORN4,MORN repeat-containing protein 4,Chapter IX Diseases of the circulatory system,Oesophageal varices,18660,55,1.36 [1.11-1.67],0.0034296014861803
MORN4,MORN repeat-containing protein 4,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diplopia,19417,78,0.57 [0.38-0.86],0.0065466812076364
MORN4,MORN repeat-containing protein 4,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of optic nerve and visual pathways,19840,55,0.44 [0.26-0.72],0.0012741894827133
MORN4,MORN repeat-containing protein 4,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of optic [2nd] nerve and visual pathways,19830,45,0.44 [0.25-0.77],0.0041603729722235
MORN4,MORN repeat-containing protein 4,Chapter X Diseases of the respiratory system,Pulmonary oedema,19419,57,0.50 [0.31-0.81],0.0047817416693393
MORN4,MORN repeat-containing protein 4,Chapter XI Diseases of the digestive system,Diseases of pulp and periapical tissues,19216,86,1.27 [1.06-1.52],0.0085140277482939
MORN4,MORN repeat-containing protein 4,Chapter XI Diseases of the digestive system,Duodenal ulcer,15194,213,1.23 [1.08-1.40],0.0013496735039309
MORN4,MORN repeat-containing protein 4,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,19143,134,1.24 [1.06-1.44],0.0078851670922213
MORN4,MORN repeat-containing protein 4,Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,19220,627,1.14 [1.05-1.23],0.0015514029000044
MORN4,MORN repeat-containing protein 4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trigger finger,17155,105,0.62 [0.45-0.87],0.0060734416952382
