Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SDK2,Protein sidekick-2,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19775,1137,1.27 [1.11-1.45],0.0004204906124256
SDK2,Protein sidekick-2,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19401,2831,1.22 [1.12-1.33],9.134867287788184e-06
SDK2,Protein sidekick-2,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,17479,973,1.25 [1.08-1.44],0.0023763805097751
SDK2,Protein sidekick-2,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,14051,1858,1.18 [1.06-1.32],0.0030093442795519
SDK2,Protein sidekick-2,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,17252,326,1.60 [1.31-1.97],5.369668724618758e-06
SDK2,Protein sidekick-2,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,20000,986,1.22 [1.05-1.41],0.0083558837253264
SDK2,Protein sidekick-2,Chapter I Certain infectious and parasitic diseases,Other septicaemia,19868,854,1.25 [1.07-1.46],0.0043127854029992
SDK2,Protein sidekick-2,Chapter I Certain infectious and parasitic diseases,Other viral diseases,20039,98,2.05 [1.53-2.76],2.0829110811994672e-06
SDK2,Protein sidekick-2,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",20024,83,2.02 [1.45-2.82],3.2327548774457324e-05
SDK2,Protein sidekick-2,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,18869,231,1.57 [1.22-2.01],0.0003617222227989
SDK2,Protein sidekick-2,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",15659,64,4.08 [3.35-4.95],2.6312487769848905e-45
SDK2,Protein sidekick-2,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",15657,62,2.02 [1.28-3.19],0.0026170101143232
SDK2,Protein sidekick-2,Chapter II Neoplasms,Lung cancer and mesothelioma,13405,302,1.50 [1.12-2.01],0.0065773987187266
SDK2,Protein sidekick-2,Chapter II Neoplasms,Lymphoid leukaemia,15653,58,4.10 [3.35-5.02],2.240308722089191e-42
SDK2,Protein sidekick-2,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",15671,76,2.20 [1.45-3.35],0.0002150544347416
SDK2,Protein sidekick-2,Chapter II Neoplasms,"Non-follicular lymphoma, hilmo, excluding all cancers",15684,89,2.53 [1.86-3.44],3.421318723906001e-09
SDK2,Protein sidekick-2,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",15738,143,2.20 [1.65-2.92],6.05272048011459e-08
SDK2,Protein sidekick-2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,19877,244,2.06 [1.69-2.51],4.783749789613214e-13
SDK2,Protein sidekick-2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,19690,57,1.88 [1.17-3.03],0.0088013257630305
SDK2,Protein sidekick-2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,19686,53,2.12 [1.41-3.19],0.0002785993989687
SDK2,Protein sidekick-2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,19961,258,1.67 [1.35-2.07],2.6805216535174263e-06
SDK2,Protein sidekick-2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",19912,209,1.71 [1.35-2.15],5.704639892831773e-06
SDK2,Protein sidekick-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,14899,300,1.37 [1.09-1.73],0.0071770600927604
SDK2,Protein sidekick-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with neurological complications,2132,103,1.66 [1.16-2.40],0.0061737656873994
SDK2,Protein sidekick-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,19456,1848,1.22 [1.09-1.36],0.0003264195740945
SDK2,Protein sidekick-2,Chapter IX Diseases of the circulatory system,"Atherosclerosis, excluding cerebral and coronary sclerosis",19053,189,1.53 [1.16-2.02],0.0026918054885712
SDK2,Protein sidekick-2,Chapter IX Diseases of the circulatory system,Cerebral atherosclerosis,20099,48,2.01 [1.36-2.97],0.0004463846289998
SDK2,Protein sidekick-2,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,18636,2205,1.14 [1.03-1.26],0.0092457728210146
SDK2,Protein sidekick-2,Chapter IX Diseases of the circulatory system,"Hypertension, portal",19903,99,1.89 [1.40-2.54],2.715943350905105e-05
SDK2,Protein sidekick-2,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",12463,171,1.58 [1.16-2.16],0.0036298243609093
SDK2,Protein sidekick-2,Chapter IX Diseases of the circulatory system,Oesophageal varices,18887,54,2.23 [1.69-2.94],1.5790555218828354e-08
SDK2,Protein sidekick-2,Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,18810,73,1.93 [1.38-2.69],0.0001124655735051
SDK2,Protein sidekick-2,Chapter VI Diseases of the nervous system,Inflammatory diseases of the central nervous system,20084,53,1.83 [1.16-2.90],0.0095292486982749
SDK2,Protein sidekick-2,Chapter VI Diseases of the nervous system,"Other and unspecified polyneuropathies, also in other diseases",20024,296,1.45 [1.14-1.83],0.0023186107554283
SDK2,Protein sidekick-2,Chapter VI Diseases of the nervous system,Other disorders of nervous system,19700,125,1.80 [1.36-2.40],4.8834470287801087e-05
SDK2,Protein sidekick-2,Chapter VI Diseases of the nervous system,Other neurological diseases,20001,426,1.40 [1.14-1.72],0.0012755526331414
SDK2,Protein sidekick-2,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic nephropathy, excluding more controls",2085,56,1.85 [1.21-2.85],0.0049241548351112
SDK2,Protein sidekick-2,Chapter X Diseases of the respiratory system,Bronchiectasis,17455,244,1.56 [1.20-2.01],0.0007264104575095
SDK2,Protein sidekick-2,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,19299,301,1.59 [1.29-1.97],1.6838611318302644e-05
SDK2,Protein sidekick-2,Chapter X Diseases of the respiratory system,Influenza and pneumonia,19889,1762,1.20 [1.08-1.34],0.0010494015251208
SDK2,Protein sidekick-2,Chapter X Diseases of the respiratory system,Interstitial lung disease,19321,323,1.59 [1.29-1.95],1.0937700267690211e-05
SDK2,Protein sidekick-2,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,19866,815,1.34 [1.15-1.56],0.0001756141466687
SDK2,Protein sidekick-2,Chapter X Diseases of the respiratory system,Other diseases of pleura,19866,1839,1.18 [1.06-1.32],0.0022608309570001
SDK2,Protein sidekick-2,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,20004,393,1.53 [1.26-1.86],1.60006895953843e-05
SDK2,Protein sidekick-2,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,19997,1171,1.21 [1.06-1.38],0.0053712778134291
SDK2,Protein sidekick-2,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",19677,1550,1.17 [1.04-1.32],0.0084800496337848
SDK2,Protein sidekick-2,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,19850,799,1.33 [1.14-1.55],0.0003644974284862
SDK2,Protein sidekick-2,Chapter X Diseases of the respiratory system,Viral pneumonia,18350,223,1.53 [1.19-1.98],0.0011099608132526
SDK2,Protein sidekick-2,Chapter X Diseases of the respiratory system,"Viral pneumonia (unknown virus, not influenza)",19786,190,1.66 [1.28-2.15],0.000155535728092
SDK2,Protein sidekick-2,Chapter XI Diseases of the digestive system,Alcoholic liver disease,19339,94,1.73 [1.20-2.49],0.0032193894520882
SDK2,Protein sidekick-2,Chapter XI Diseases of the digestive system,Cholelithiasis,19459,687,1.25 [1.06-1.48],0.0093653532698542
SDK2,Protein sidekick-2,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",19923,119,2.14 [1.69-2.71],2.5628598394873647e-10
SDK2,Protein sidekick-2,Chapter XI Diseases of the digestive system,Diseases of liver,19980,735,1.35 [1.15-1.59],0.0002680181630878
SDK2,Protein sidekick-2,Chapter XI Diseases of the digestive system,Duodenal ulcer,15370,214,1.48 [1.12-1.94],0.0052437331437256
SDK2,Protein sidekick-2,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,19382,137,2.09 [1.65-2.64],6.22355814280294e-10
SDK2,Protein sidekick-2,Chapter XI Diseases of the digestive system,"Hepatic failure, not elsewhere classified",19316,71,1.72 [1.14-2.58],0.0095638332117093
SDK2,Protein sidekick-2,Chapter XI Diseases of the digestive system,Other diseases of liver,19835,590,1.39 [1.16-1.65],0.0002781360519881
SDK2,Protein sidekick-2,Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,15821,665,1.36 [1.15-1.60],0.0002843057186846
SDK2,Protein sidekick-2,Chapter XI Diseases of the digestive system,Other gastritis (incl. Duodenitis),16724,1568,1.18 [1.05-1.33],0.0046666612334937
SDK2,Protein sidekick-2,Chapter XII Diseases of the skin and subcutaneous tissue,Actinic keratosis,20045,273,1.41 [1.09-1.81],0.0080525866626238
SDK2,Protein sidekick-2,Chapter XII Diseases of the skin and subcutaneous tissue,Arthropathic psoriasis,19835,58,1.96 [1.31-2.94],0.0011440760971666
SDK2,Protein sidekick-2,Chapter XII Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue,20061,289,1.41 [1.11-1.80],0.0056737632068892
SDK2,Protein sidekick-2,Chapter XII Diseases of the skin and subcutaneous tissue,Skin changes due to chronic exposure to nonionizing radiation,20055,283,1.41 [1.10-1.80],0.0066162731318192
SDK2,Protein sidekick-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Cervical disc disorders,17689,119,1.76 [1.25-2.48],0.0011155413780137
SDK2,Protein sidekick-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other necrotizing vasculopathies,19847,45,0.31 [0.15-0.64],0.0014598771495282
SDK2,Protein sidekick-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other psoriatic arthropathies,20086,52,1.96 [1.28-2.99],0.0018507757551403
SDK2,Protein sidekick-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Psoriatic arthropathies,14393,54,2.01 [1.30-3.12],0.0017004460149973
SDK2,Protein sidekick-2,Chapter XIV Diseases of the genitourinary system,Acute renal failure,19356,1501,1.27 [1.14-1.43],3.173988170237727e-05
