Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",22828,1378,1.06 [1.02-1.09],0.0007501291907513
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,20181,1213,1.06 [1.02-1.09],0.0013229921027015
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22323,873,1.06 [1.02-1.10],0.0037322871787162
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21926,476,1.09 [1.03-1.15],0.0013905500760576
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter II Neoplasms,Benign neoplasm: Descending colon,23174,268,0.90 [0.83-0.97],0.0054942572042872
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,21523,110,1.23 [1.10-1.37],0.0001853768825413
TDGF1,Teratocarcinoma-derived growth factor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,17130,369,1.09 [1.02-1.15],0.0083737169202866
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter IX Diseases of the circulatory system,Arterial embolism and thrombosis of lower extremity artery,21815,83,1.20 [1.06-1.36],0.0048240479644743
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,14267,166,1.13 [1.04-1.24],0.0053047533928563
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter IX Diseases of the circulatory system,Hypotension,23061,1208,1.05 [1.01-1.08],0.0089913016835417
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter IX Diseases of the circulatory system,Other arterial embolism and thrombosis,21863,131,1.20 [1.09-1.33],0.000385443892801
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,22287,555,1.07 [1.02-1.13],0.0062687072286567
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter IX Diseases of the circulatory system,Vascular diseases of the intestine,21750,71,1.20 [1.04-1.37],0.0096582065960216
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter VI Diseases of the nervous system,"Other and unspecified polyneuropathies, also in other diseases",23112,345,1.09 [1.03-1.16],0.0058914326736814
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter VI Diseases of the nervous system,Postviral fatigue syndrome,22600,25,0.67 [0.49-0.91],0.0096419835471834
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter XI Diseases of the digestive system,Cholelithiasis,22457,761,1.06 [1.02-1.11],0.0038079192544246
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter XI Diseases of the digestive system,Diaphragmatic hernia,19653,1901,1.04 [1.01-1.07],0.0077369950972059
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,16299,152,1.14 [1.03-1.25],0.0079751531401408
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified erythematous conditions,23139,79,1.22 [1.07-1.38],0.0028124581687948
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter XII Diseases of the skin and subcutaneous tissue,Urticaria and erythema,23180,120,1.16 [1.04-1.29],0.0057882766355214
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,21906,1501,1.05 [1.02-1.09],0.0005527430102805
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,22958,83,1.43 [1.26-1.62],3.394310280629387e-08
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter XIV Diseases of the genitourinary system,Cyst of kidney,22935,344,1.11 [1.04-1.18],0.0008514425603495
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,20889,5435,1.02 [1.01-1.04],0.0048218588311645
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,23138,547,1.12 [1.07-1.18],5.485796249575752e-06
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,22779,188,1.13 [1.04-1.23],0.0043889744887488
TDGF1,Teratocarcinoma-derived growth factor 1,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,22906,2757,1.03 [1.01-1.06],0.0065680042981899
