Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
TXNL1,Thioredoxin-like protein 1,Chapter II Neoplasms,Lung cancer and mesothelioma,13247,296,0.82 [0.71-0.95],0.0067308213364407
TXNL1,Thioredoxin-like protein 1,Chapter V Mental and behavioural disorders,Smoking dependency,19306,1282,0.89 [0.83-0.96],0.0015699090420834
TXNL1,Thioredoxin-like protein 1,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",17845,1543,0.93 [0.88-0.98],0.0033794055611399
TXNL1,Thioredoxin-like protein 1,Chapter VI Diseases of the nervous system,Inflammatory diseases of the central nervous system,19855,49,0.50 [0.30-0.83],0.0079260451780073
TXNL1,Thioredoxin-like protein 1,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,19079,294,1.16 [1.05-1.27],0.0033900143873266
TXNL1,Thioredoxin-like protein 1,Chapter X Diseases of the respiratory system,Interstitial lung disease,19100,315,1.15 [1.05-1.27],0.0028529561833065
TXNL1,Thioredoxin-like protein 1,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,19780,383,1.13 [1.03-1.23],0.0071403053081225
TXNL1,Thioredoxin-like protein 1,Chapter XI Diseases of the digestive system,Coeliac disease,18492,73,1.73 [1.54-1.94],1.5462381271176522e-20
TXNL1,Thioredoxin-like protein 1,Chapter XI Diseases of the digestive system,Diaphragmatic hernia,16855,1602,1.08 [1.04-1.13],0.0002803944523252
TXNL1,Thioredoxin-like protein 1,Chapter XI Diseases of the digestive system,Hernia,18161,2908,1.06 [1.02-1.09],0.0012955287021819
TXNL1,Thioredoxin-like protein 1,Chapter XI Diseases of the digestive system,Intestinal malabsorption,18505,86,1.67 [1.50-1.87],5.024402408784844e-20
TXNL1,Thioredoxin-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Cervical disc disorders,17496,122,0.71 [0.55-0.91],0.0080126542988582
