Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23520,1411,1.43 [1.29-1.58],2.9774011906520288e-12
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,23085,3476,1.33 [1.24-1.42],4.041205817638224e-17
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),23051,3498,1.45 [1.36-1.55],1.7270390449004847e-30
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,23565,1047,1.39 [1.24-1.56],4.349428392060413e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21550,1115,1.60 [1.44-1.79],2.8020376978820915e-17
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,20793,1240,1.82 [1.65-2.01],2.793441547839871e-33
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,20517,251,1.81 [1.46-2.25],8.187896974504635e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16717,2273,1.52 [1.40-1.64],9.902355030177406e-26
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,20448,405,1.66 [1.39-1.98],2.8992204092743147e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23772,1254,1.35 [1.21-1.50],5.780515313007669e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22997,888,1.60 [1.41-1.80],4.0893386131615193e-14
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23794,1229,1.54 [1.39-1.71],6.491442303441351e-16
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23638,1073,1.51 [1.35-1.69],1.034448106090431e-12
PGLYRP1,Peptidoglycan recognition protein 1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22608,499,1.54 [1.31-1.82],2.349398109888915e-07
PGLYRP1,Peptidoglycan recognition protein 1,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,23850,67,2.51 [1.79-3.52],1.0697217256387596e-07
PGLYRP1,Peptidoglycan recognition protein 1,Chapter II Neoplasms,"Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)",18647,146,1.87 [1.42-2.47],9.096172567591175e-06
PGLYRP1,Peptidoglycan recognition protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,22178,118,3.36 [2.73-4.14],4.2801332949522644e-30
PGLYRP1,Peptidoglycan recognition protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,23351,2789,1.30 [1.20-1.40],6.596549934277949e-12
PGLYRP1,Peptidoglycan recognition protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,23534,1474,1.46 [1.32-1.61],4.0136923593637255e-14
PGLYRP1,Peptidoglycan recognition protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,23533,1473,1.46 [1.32-1.61],3.2146490974068685e-14
PGLYRP1,Peptidoglycan recognition protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,23403,76,2.71 [1.94-3.77],4.4043003471369375e-09
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,17613,378,1.93 [1.63-2.29],4.4710403898002566e-14
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,23856,281,1.84 [1.50-2.26],5.717298197343313e-09
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of parathyroid gland,23667,92,3.53 [2.78-4.48],5.990569851236563e-25
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,17545,310,2.40 [2.03-2.84],2.5142541443164422e-24
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,17620,385,2.20 [1.87-2.58],6.38381436164486e-22
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,23660,85,3.58 [2.80-4.57],1.751757330042726e-24
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypo-osmolality and hyponatraemia,17807,572,1.49 [1.28-1.75],4.0319152562624653e-07
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,22461,5226,1.15 [1.09-1.22],7.362064935315179e-07
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",18866,1631,1.53 [1.40-1.68],3.8435117670510725e-20
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,23902,266,1.82 [1.48-2.24],1.7957453510719378e-08
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,21037,101,2.15 [1.56-2.97],3.3526883353680763e-06
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with renal complications,2476,82,2.92 [2.15-3.96],5.213331324936326e-12
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,18040,805,1.61 [1.42-1.83],3.270518993422673e-13
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Arterial embolism and thrombosis of lower extremity artery,22486,84,2.16 [1.54-3.02],8.050700043967699e-06
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,"Atherosclerosis, excluding cerebral and coronary sclerosis",22651,249,1.71 [1.37-2.13],2.0874768197137843e-06
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,13981,2329,1.40 [1.29-1.51],4.984247026882605e-17
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Conduction disorders,19975,1375,1.30 [1.17-1.45],8.844725278824367e-07
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,22086,2634,1.25 [1.15-1.34],1.7179079928242787e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,20127,7805,1.17 [1.12-1.22],3.764024574366725e-11
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,"Heart failure, strict",23600,1332,1.51 [1.37-1.67],9.170575936691477e-16
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Hypertension,21339,6806,1.20 [1.14-1.26],9.191922945403957e-13
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,"Hypertension, essential",21362,6829,1.20 [1.14-1.26],2.4503506439624336e-13
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,14705,172,3.53 [3.04-4.10],2.734136911734632e-62
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Hypotension,23767,1237,1.44 [1.30-1.61],1.2447528492628638e-11
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",22229,2753,1.21 [1.13-1.31],4.6014747976414025e-07
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,19854,1254,1.54 [1.39-1.71],3.796322083985075e-16
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,22981,579,1.53 [1.32-1.78],2.550488263035905e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,23262,366,1.63 [1.35-1.96],2.694074143662982e-07
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Peripheral artery disease,22887,533,1.65 [1.42-1.92],1.2005232747716208e-10
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,23853,717,1.47 [1.28-1.70],4.7128989864752186e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter IX Diseases of the circulatory system,Secondary right heart disease,23260,364,1.61 [1.33-1.94],6.372811680202742e-07
PGLYRP1,Peptidoglycan recognition protein 1,Chapter V Mental and behavioural disorders,Any mental disorder,23225,3647,1.19 [1.12-1.28],1.0249796456235749e-07
PGLYRP1,Peptidoglycan recognition protein 1,Chapter V Mental and behavioural disorders,Smoking dependency,23266,1533,1.35 [1.22-1.49],2.4373792693602713e-09
PGLYRP1,Peptidoglycan recognition protein 1,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",21451,1873,1.27 [1.17-1.39],7.650341553619883e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter VI Diseases of the nervous system,Falls/tendency to fall,23363,2214,1.26 [1.16-1.37],3.0119736857349626e-08
PGLYRP1,Peptidoglycan recognition protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic nephropathy, excluding more controls",2480,84,2.92 [2.15-3.96],5.8255461765882265e-12
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,23055,2560,1.22 [1.13-1.32],7.588739098374976e-07
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",23688,1310,1.45 [1.31-1.61],4.979874017702594e-13
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,21889,5288,1.24 [1.18-1.31],3.929122754390588e-15
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,Emphysema,20845,350,1.60 [1.33-1.93],8.150460193950759e-07
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,Influenza and pneumonia,23663,2153,1.51 [1.40-1.64],3.2664369877834142e-24
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,Later onset COPD,22837,1003,1.42 [1.26-1.60],4.05026083830775e-09
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,23640,1011,1.47 [1.31-1.66],6.9321874792184e-11
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,Other diseases of pleura,23627,2205,1.46 [1.35-1.58],2.4033705547485604e-20
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,23788,1390,1.46 [1.32-1.61],1.2821337574922797e-13
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,Pleural effusion,22550,1128,1.56 [1.40-1.74],1.386222315507313e-15
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",23397,1887,1.55 [1.43-1.69],1.6901657720784566e-24
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,Pulmonary oedema,23434,68,2.66 [1.91-3.72],8.849590389777813e-09
PGLYRP1,Peptidoglycan recognition protein 1,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,23622,993,1.49 [1.33-1.68],2.168079578233721e-11
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XI Diseases of the digestive system,Cholelithiasis,23136,787,1.47 [1.29-1.68],1.5664768438795906e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XI Diseases of the digestive system,Crohn disease,22515,93,2.19 [1.58-3.03],2.61068844399304e-06
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XI Diseases of the digestive system,Crohn's disease NAS,22500,78,2.50 [1.80-3.47],5.318962755106839e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XI Diseases of the digestive system,Diseases of liver,23771,870,1.44 [1.27-1.64],1.588236571993557e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XI Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",23544,1195,1.46 [1.31-1.63],8.915613220139807e-12
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,18271,8008,1.11 [1.06-1.17],3.468039810016697e-06
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XI Diseases of the digestive system,Other diseases of liver,23600,699,1.52 [1.32-1.75],5.0681980376660155e-09
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XI Diseases of the digestive system,Other diseases of pancreas,22492,143,1.98 [1.50-2.61],1.2377537199990751e-06
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XI Diseases of the digestive system,Other noninfective gastroenteritis and colitis,23204,782,1.36 [1.19-1.56],9.411352856094334e-06
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,23165,766,1.48 [1.29-1.70],1.3326823601706302e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,22284,471,1.65 [1.40-1.94],2.8761517755489476e-09
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XII Diseases of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue,22414,3198,1.23 [1.15-1.32],6.590357106187311e-09
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,23443,1044,1.40 [1.24-1.57],2.8452352626578404e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XII Diseases of the skin and subcutaneous tissue,Other disorders of skin and subcutaneous tissue,23456,1643,1.32 [1.20-1.46],6.715016590155267e-09
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,18003,990,1.59 [1.42-1.79],4.2845699514573426e-15
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",23772,976,1.61 [1.43-1.81],1.6278464565274762e-15
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,19301,2288,1.25 [1.15-1.36],8.380920001649663e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Acute renal failure,22893,1875,1.81 [1.67-1.96],1.3724249645249896e-46
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,22583,1565,2.27 [2.10-2.45],1.0526134679180342e-93
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,23656,84,4.10 [3.30-5.09],3.4572247295340448e-37
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Dialysis,21124,106,4.70 [3.94-5.61],1.5669040361891283e-66
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,21525,5604,1.25 [1.18-1.32],1.3146503996976277e-15
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Glomerular disorders in diseases classified elsewhere,23675,103,2.83 [2.17-3.68],1.7049876711765082e-14
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Hydronephrosis,21123,371,1.60 [1.32-1.94],1.611132059109236e-06
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Other diseases of urinary system,23072,2257,1.34 [1.24-1.46],1.0358102516313314e-12
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,23839,567,1.74 [1.50-2.01],1.985265526085992e-13
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Other disorders of urethra and urinary system,22348,1533,1.51 [1.37-1.66],2.027723010431328e-17
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Other obstructive and reflux uropathy,21167,415,1.68 [1.41-2.01],1.0290638555568816e-08
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,23463,191,2.01 [1.58-2.54],8.287638216847002e-09
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,23631,59,2.50 [1.73-3.62],1.1864862973880096e-06
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,23609,2857,1.76 [1.65-1.88],1.0124624243381095e-62
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,"Tubulo-interstitial nephritis, not specified as acute or chronic",20824,72,2.71 [1.95-3.76],2.669262824916326e-09
PGLYRP1,Peptidoglycan recognition protein 1,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,21178,160,2.63 [2.12-3.27],1.313772379814662e-18
