Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
TMSB10,Thymosin beta-10,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23350,1406,1.19 [1.12-1.27],3.3397673961705324e-08
TMSB10,Thymosin beta-10,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22919,3456,1.14 [1.09-1.18],4.2803509714597045e-10
TMSB10,Thymosin beta-10,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22884,3491,1.18 [1.13-1.23],4.008691410576146e-16
TMSB10,Thymosin beta-10,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21392,1117,1.25 [1.16-1.34],5.648547313915077e-10
TMSB10,Thymosin beta-10,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,20643,1238,1.28 [1.20-1.37],4.991931597768198e-13
TMSB10,Thymosin beta-10,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16610,2272,1.19 [1.13-1.25],1.5885043235860714e-11
TMSB10,Thymosin beta-10,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,20283,399,1.43 [1.28-1.61],7.76916213157421e-10
TMSB10,Thymosin beta-10,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22834,890,1.23 [1.13-1.33],2.742442726949213e-07
TMSB10,Thymosin beta-10,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23622,1230,1.21 [1.13-1.29],1.6218332107309962e-08
TMSB10,Thymosin beta-10,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23468,1076,1.22 [1.13-1.31],6.184987723334834e-08
TMSB10,Thymosin beta-10,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22431,487,1.29 [1.16-1.43],2.144731278887777e-06
TMSB10,Thymosin beta-10,Chapter II Neoplasms,Lung cancer and mesothelioma,15804,346,1.34 [1.19-1.52],2.8441595418982326e-06
TMSB10,Thymosin beta-10,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,22012,116,1.71 [1.39-2.11],5.042208281657267e-07
TMSB10,Thymosin beta-10,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,23187,2774,1.15 [1.10-1.21],3.8208320703536015e-10
TMSB10,Thymosin beta-10,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,23365,1469,1.22 [1.15-1.30],1.1892350547621516e-10
TMSB10,Thymosin beta-10,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,23363,1467,1.22 [1.15-1.30],1.7014808006910267e-10
TMSB10,Thymosin beta-10,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,23505,1095,1.21 [1.13-1.30],7.806998762362842e-08
TMSB10,Thymosin beta-10,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,17491,376,1.37 [1.22-1.55],1.8238803595505442e-07
TMSB10,Thymosin beta-10,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,23441,1135,1.17 [1.09-1.25],8.506299740837361e-06
TMSB10,Thymosin beta-10,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of calcium metabolism,17389,274,1.39 [1.21-1.59],3.8966403331323664e-06
TMSB10,Thymosin beta-10,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,20989,3874,1.12 [1.08-1.16],7.015764426932612e-09
TMSB10,Thymosin beta-10,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of mineral metabolism,17679,564,1.25 [1.14-1.38],5.722905750093515e-06
TMSB10,Thymosin beta-10,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,17421,306,1.55 [1.35-1.76],1.0508553840441776e-10
TMSB10,Thymosin beta-10,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,23491,85,1.74 [1.37-2.21],6.002743104987698e-06
TMSB10,Thymosin beta-10,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypo-osmolality and hyponatraemia,17679,564,1.32 [1.20-1.45],2.3271406749939063e-08
TMSB10,Thymosin beta-10,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,22306,5191,1.12 [1.09-1.16],4.585845414780985e-12
TMSB10,Thymosin beta-10,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",18730,1615,1.24 [1.17-1.31],3.383842658603893e-13
TMSB10,Thymosin beta-10,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,17916,801,1.26 [1.16-1.37],2.769513677488686e-08
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,"Atherosclerosis, excluding cerebral and coronary sclerosis",22490,247,1.49 [1.29-1.72],7.46405155191583e-08
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,21929,2621,1.11 [1.06-1.16],4.96939541053725e-06
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,19997,7744,1.07 [1.04-1.10],1.6579606486675744e-06
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,"Heart failure, strict",23429,1327,1.21 [1.14-1.29],5.6858033177937855e-09
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,Hypertension,21195,6751,1.08 [1.05-1.11],1.0516777928221745e-07
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,"Hypertension, essential",21217,6773,1.08 [1.05-1.11],5.7551905917099074e-08
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",14629,185,1.49 [1.26-1.76],2.7915154979605253e-06
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,14611,167,2.24 [1.90-2.64],1.1812154666397532e-21
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,Hypotension,23594,1234,1.29 [1.21-1.38],1.7149187404468802e-14
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,"Ischaemic Stroke, excluding all haemorrhages",23308,653,1.24 [1.13-1.36],4.217675556143033e-06
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,Other arterial embolism and thrombosis,22377,134,1.58 [1.30-1.92],4.368227470643918e-06
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,22809,566,1.34 [1.22-1.48],3.352526812638684e-09
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,23096,364,1.38 [1.23-1.56],1.5790080327392294e-07
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,Peripheral artery disease,22720,525,1.31 [1.18-1.45],2.650368302091388e-07
TMSB10,Thymosin beta-10,Chapter IX Diseases of the circulatory system,Secondary right heart disease,23094,362,1.37 [1.22-1.55],3.3501683058573586e-07
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,22896,2543,1.16 [1.11-1.21],2.8237031186573737e-10
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",23514,1300,1.23 [1.16-1.32],1.8780111644020834e-10
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,21745,5265,1.14 [1.10-1.17],5.4082215644692834e-15
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,22811,337,1.37 [1.21-1.55],7.557524020033439e-07
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,Influenza and pneumonia,23492,2151,1.24 [1.18-1.31],2.8126182036575166e-17
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,Interstitial lung disease,22840,366,1.42 [1.26-1.60],1.1266853695925572e-08
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,Later onset COPD,22668,990,1.22 [1.13-1.32],1.881552153727593e-07
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,23472,1000,1.26 [1.17-1.35],1.4236740458059295e-09
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,Other diseases of pleura,23462,2202,1.24 [1.18-1.31],6.440266871128256e-18
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,23645,448,1.42 [1.27-1.58],3.4421330433882247e-10
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,23618,1392,1.29 [1.22-1.38],2.946550763196136e-16
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,Pleural effusion,22382,1122,1.26 [1.17-1.35],1.0359785289993471e-10
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",23227,1886,1.25 [1.19-1.32],1.5419798729572922e-16
TMSB10,Thymosin beta-10,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,23454,982,1.25 [1.16-1.35],2.846121191819829e-09
TMSB10,Thymosin beta-10,Chapter XI Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",23374,1189,1.17 [1.09-1.25],7.1210010365576366e-06
TMSB10,Thymosin beta-10,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,21649,4758,1.09 [1.05-1.13],6.837684792372866e-07
TMSB10,Thymosin beta-10,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,20190,6232,1.08 [1.05-1.11],6.367493114240105e-07
TMSB10,Thymosin beta-10,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,17874,983,1.28 [1.19-1.38],3.8519781702689086e-11
TMSB10,Thymosin beta-10,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",23599,969,1.27 [1.18-1.37],2.462260306460995e-10
TMSB10,Thymosin beta-10,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,19147,2256,1.17 [1.12-1.23],1.9302987664034544e-10
TMSB10,Thymosin beta-10,Chapter XIV Diseases of the genitourinary system,Acute renal failure,22745,1879,1.29 [1.22-1.36],3.582674887959713e-20
TMSB10,Thymosin beta-10,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,22407,1541,1.39 [1.31-1.47],5.282550163967444e-27
TMSB10,Thymosin beta-10,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,23489,84,2.37 [1.88-3.00],5.319717051500761e-13
TMSB10,Thymosin beta-10,Chapter XIV Diseases of the genitourinary system,Dialysis,20969,103,2.82 [2.28-3.47],3.0484504999184487e-22
TMSB10,Thymosin beta-10,Chapter XIV Diseases of the genitourinary system,Glomerular disorders in diseases classified elsewhere,23508,103,1.67 [1.34-2.09],5.343400511199211e-06
TMSB10,Thymosin beta-10,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,23441,2837,1.25 [1.20-1.31],6.944712692372885e-24
