Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",22535,175,1.03 [0.84-1.26],0.7942013984837364
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23563,186,1.06 [0.87-1.28],0.5814141721692299
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23316,1403,1.07 [1.00-1.15],0.0523623092390456
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,Candidiasis,23574,379,1.11 [0.97-1.27],0.1346539164415024
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22887,3449,1.05 [1.00-1.10],0.0304982257535418
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22850,3484,1.04 [0.99-1.08],0.1156510177944071
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,23362,1031,0.99 [0.91-1.08],0.8513198513082204
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,23499,80,1.04 [0.77-1.40],0.7945908654276506
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21359,1113,1.01 [0.94-1.10],0.7332679809035246
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,20613,1235,1.04 [0.97-1.13],0.2719362572975471
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,20329,251,1.14 [0.96-1.34],0.1312727522549036
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16590,2270,1.05 [0.99-1.11],0.1127082677607865
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,20253,397,1.12 [0.98-1.28],0.0985849911312352
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23564,1233,1.01 [0.94-1.09],0.784261580362779
APP,Amyloid-beta precursor protein,Chapter I Certain infectious and parasitic diseases,Mycoses,23664,469,1.11 [0.98-1.25],0.0996852141932655
