Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",19121,137,1.08 [0.92-1.27],0.3291484140026279
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19946,152,1.06 [0.91-1.24],0.4279471508488711
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19743,1136,1.05 [0.99-1.11],0.0832078757051916
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Candidiasis,19958,294,1.06 [0.95-1.19],0.2827299595949094
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19369,2827,1.05 [1.01-1.09],0.0099716143967991
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),19358,2866,1.02 [0.98-1.06],0.2958411501574562
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,19781,852,1.03 [0.97-1.10],0.3043306475303106
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,19899,65,0.82 [0.65-1.04],0.0974727168812392
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,18105,886,1.03 [0.97-1.10],0.3742868841955457
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,17450,971,1.03 [0.97-1.09],0.3852040194798666
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,17281,197,1.05 [0.92-1.20],0.4494935690332127
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,14028,1855,1.01 [0.97-1.06],0.5974435464395711
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,17223,325,1.08 [0.98-1.20],0.1300531140557651
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,19949,1020,1.04 [0.98-1.10],0.1845028530071755
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Mycoses,20032,368,1.03 [0.93-1.13],0.6070515156183965
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,19322,715,1.06 [0.98-1.13],0.1306373698770729
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,19968,984,1.03 [0.97-1.09],0.4108937019637815
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,19083,154,1.05 [0.90-1.22],0.5152181202447018
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,20067,42,1.19 [0.89-1.59],0.2489982483553831
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Other septicaemia,19836,852,1.01 [0.95-1.08],0.6522848899992332
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,19888,54,1.31 [1.01-1.70],0.0387268605689558
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Other viral diseases,20007,98,1.19 [0.99-1.44],0.070304027908199
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",19992,83,1.24 [1.01-1.53],0.0397063430991302
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,18995,388,1.10 [1.00-1.21],0.0440092959866257
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,18838,231,1.04 [0.92-1.18],0.5186813345460323
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,18996,67,1.04 [0.82-1.30],0.7554997496371265
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,20050,58,0.88 [0.69-1.12],0.2856937297800322
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,20019,121,1.03 [0.87-1.23],0.6941296529441693
CACYBP,Calcyclin-binding protein,Chapter I Certain infectious and parasitic diseases,Viral warts,19943,45,1.10 [0.83-1.46],0.5010983797244333
