Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",19076,137,1.13 [0.78-1.63],0.5309092351463185
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19894,147,0.92 [0.61-1.40],0.709036415786783
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19690,1137,1.03 [0.89-1.18],0.6885033268679336
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Candidiasis,19904,302,0.90 [0.67-1.21],0.4888806054895674
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19310,2820,1.03 [0.95-1.13],0.4650979886588169
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),19311,2839,1.01 [0.92-1.10],0.8244016023221201
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,19730,852,1.03 [0.88-1.21],0.6765868034032098
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,19850,65,1.14 [0.66-1.94],0.6422497310073867
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,18073,883,1.04 [0.89-1.22],0.5907013255037914
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,17417,971,1.09 [0.94-1.26],0.2505707401680442
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,17247,199,1.13 [0.82-1.54],0.4631845358722102
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,14003,1851,1.08 [0.97-1.20],0.1649290095062381
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,17191,325,1.18 [0.93-1.49],0.1850567517893005
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,19896,1018,1.03 [0.89-1.19],0.7160338910472116
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Mycoses,19980,378,0.96 [0.75-1.24],0.7752717655471164
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,19270,717,1.09 [0.92-1.29],0.3248159539632086
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,19919,980,1.09 [0.94-1.26],0.2476867240782799
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,19027,149,0.93 [0.62-1.41],0.7423144442938556
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,20015,40,1.38 [0.77-2.47],0.2807248848591612
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,19788,849,1.06 [0.90-1.24],0.4888023675582131
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,19836,51,0.81 [0.38-1.73],0.5921784643224851
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Other viral diseases,19954,97,1.14 [0.75-1.74],0.5396675960877455
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",19940,83,1.13 [0.72-1.79],0.5895719876253805
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,18939,386,1.04 [0.82-1.32],0.7188867325863444
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,18783,230,1.07 [0.79-1.45],0.6594501004103138
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,18945,67,0.87 [0.47-1.63],0.6688971842126292
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,19997,57,1.28 [0.75-2.17],0.3694139612452334
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,19965,123,1.18 [0.81-1.73],0.3796748207983946
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Viral warts,19889,47,0.85 [0.39-1.83],0.6764895766134629
CADPS,Calcium-dependent secretion activator 1,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],19885,43,1.30 [0.73-2.29],0.3723513357360044
CADPS,Calcium-dependent secretion activator 1,Chapter II Neoplasms,Benign lipomatous neoplasm,19753,292,1.12 [0.86-1.44],0.3986233944612171
CADPS,Calcium-dependent secretion activator 1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,19955,42,0.90 [0.41-1.98],0.7980075250998064
CADPS,Calcium-dependent secretion activator 1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,19922,50,0.93 [0.46-1.88],0.8485504149040983
CADPS,Calcium-dependent secretion activator 1,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,19977,106,1.15 [0.76-1.75],0.5087754195552268
CADPS,Calcium-dependent secretion activator 1,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",19702,1365,1.07 [0.94-1.21],0.3123639115666177
