Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",22642,178,1.11 [0.84-1.47],0.4461485554281219
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23671,192,1.26 [0.96-1.65],0.0933016227836818
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23428,1406,1.20 [1.09-1.33],0.0002972238121369
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Candidiasis,23686,375,1.28 [1.06-1.55],0.0117228794659215
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22997,3466,1.14 [1.07-1.21],7.697665503987404e-05
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22957,3486,1.08 [1.02-1.15],0.0155706497582546
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,23468,1044,1.08 [0.96-1.21],0.197083425269215
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,23605,81,0.94 [0.61-1.44],0.7719115079764847
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21472,1119,1.13 [1.01-1.26],0.0378182039526617
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,20714,1238,1.18 [1.06-1.32],0.0021085676898635
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,20441,252,1.45 [1.15-1.83],0.001843938335766
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16644,2266,1.11 [1.03-1.21],0.0078280659396816
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,20364,402,1.36 [1.13-1.64],0.0009996944453191
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23675,1251,1.10 [0.99-1.22],0.0726158703420614
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Mycoses,23777,466,1.20 [1.01-1.43],0.037501538009395
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22916,894,1.21 [1.07-1.37],0.0028995156953594
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23700,1236,1.12 [1.01-1.25],0.0359949199380669
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,22618,194,1.23 [0.94-1.61],0.1236548200876214
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,23816,51,1.39 [0.83-2.32],0.2151946128293112
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23542,1078,1.10 [0.98-1.23],0.1061827715486048
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,23597,73,1.75 [1.15-2.66],0.0088133298573912
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23756,124,1.52 [1.10-2.11],0.01171117954943
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23735,103,1.65 [1.16-2.35],0.0058992507448191
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22507,485,1.43 [1.21-1.69],2.8051540823742503e-05
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,22307,285,1.18 [0.95-1.47],0.1297722794542583
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,22513,89,1.16 [0.78-1.72],0.4745783264255758
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,23797,70,1.17 [0.75-1.82],0.4826097651660421
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23760,143,1.25 [0.92-1.71],0.1550351302510734
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Viral warts,23668,51,1.43 [0.86-2.39],0.1724863428055301
DAG1,Dystroglycan,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],23668,51,1.01 [0.59-1.71],0.9730939164485064
