Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",22526,175,3.69 [2.61-5.21],1.440234726239546e-13
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23557,187,2.49 [1.74-3.57],6.717775817468908e-07
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23308,1403,2.46 [2.14-2.83],4.736957547658676e-37
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Candidiasis,23569,379,2.41 [1.86-3.13],3.5751856892669534e-11
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22878,3451,2.08 [1.89-2.29],7.097711165822187e-51
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22843,3485,2.61 [2.38-2.86],1.6477618768512261e-93
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,23355,1031,2.47 [2.10-2.90],3.481867182400606e-28
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,23492,80,3.95 [2.49-6.26],4.965504237448222e-09
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21354,1116,3.49 [3.00-4.06],8.85098498033521e-59
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,20609,1238,4.05 [3.52-4.65],7.382599197096691e-87
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,20323,252,4.70 [3.41-6.47],3.6349235406392135e-21
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16585,2271,2.47 [2.20-2.76],1.5342933585141667e-55
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,20245,398,5.41 [4.26-6.86],9.705111715976176e-44
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23558,1234,2.35 [2.03-2.73],1.1810207479605968e-29
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Mycoses,23659,469,2.41 [1.91-3.04],1.3395429154528185e-13
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22795,890,2.91 [2.47-3.43],1.878029448605748e-37
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23580,1229,2.83 [2.46-3.25],7.140345900450864e-49
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,22513,189,2.52 [1.75-3.63],6.30829203848102e-07
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,23697,53,1.81 [0.84-3.89],0.1281768469580014
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23426,1075,2.86 [2.47-3.31],4.967883650204276e-44
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,23481,69,1.09 [0.53-2.24],0.8186188005343238
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23635,118,2.58 [1.63-4.07],5.06882723016145e-05
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23616,99,2.32 [1.38-3.90],0.0014305802238681
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22389,484,3.35 [2.69-4.17],2.191123577254922e-27
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,22191,286,2.77 [2.01-3.81],4.455314959983028e-10
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,22411,87,4.17 [2.65-6.56],6.560494936252611e-10
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,23678,67,3.56 [2.08-6.11],3.778418358347529e-06
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23642,146,1.58 [0.99-2.52],0.0544276956842964
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Viral warts,23549,53,2.85 [1.46-5.55],0.0021527049280414
EFNA1,Ephrin-A1,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],23548,52,1.35 [0.61-2.96],0.4562826115612721
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign lipomatous neoplasm,23379,343,0.89 [0.64-1.26],0.5223449415156507
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,23625,44,0.36 [0.13-1.03],0.0567884252291491
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,23591,54,0.88 [0.37-2.11],0.7789775368540961
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,23648,129,0.87 [0.50-1.52],0.6216166611404143
EFNA1,Ephrin-A1,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",23328,1630,1.26 [1.08-1.46],0.0025736147031452
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign neoplasm of meninges,23697,33,2.09 [0.83-5.26],0.1177802627471629
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,23634,63,4.27 [2.55-7.13],3.119586295095217e-08
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,23681,77,3.60 [2.16-5.98],7.869744734151213e-07
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign neoplasm: Ascending colon,23674,439,1.54 [1.17-2.02],0.0018491238732416
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign neoplasm: Caecum,23667,341,1.52 [1.12-2.07],0.007848116775905
EFNA1,Ephrin-A1,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",23567,79,0.50 [0.24-1.03],0.0617526684478023
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign neoplasm: Descending colon,23665,274,0.84 [0.57-1.22],0.3523885605162167
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign neoplasm: Rectum,23627,418,1.13 [0.84-1.52],0.431657473092736
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,23574,723,1.18 [0.94-1.47],0.1538497510927
EFNA1,Ephrin-A1,Chapter II Neoplasms,Benign neoplasm: Transverse colon,23656,554,1.29 [1.01-1.65],0.0452557814607177
EFNA1,Ephrin-A1,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",18400,69,2.82 [1.53-5.19],0.0008950023432088
EFNA1,Ephrin-A1,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",18401,70,2.05 [1.07-3.94],0.0307548012008091
EFNA1,Ephrin-A1,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",23665,100,2.00 [1.16-3.42],0.0120774585969721
EFNA1,Ephrin-A1,Chapter II Neoplasms,"Haemangioma, any site",23665,97,2.10 [1.22-3.60],0.0072718045453642
EFNA1,Ephrin-A1,Chapter II Neoplasms,Lung cancer and mesothelioma,15779,345,2.37 [1.73-3.23],5.6112087111441264e-08
