Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",22035,170,1.70 [1.25-2.32],0.0006884065853357
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23036,182,1.20 [0.87-1.66],0.2707866147623839
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",22787,1367,1.33 [1.18-1.50],1.7187254941170029e-06
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,Candidiasis,23046,364,1.48 [1.19-1.85],0.0005293889116053
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22368,3368,1.31 [1.22-1.42],1.0460179842620549e-12
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22344,3408,1.39 [1.29-1.50],1.9019521517962264e-18
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,22843,1016,1.32 [1.16-1.52],4.726606263788428e-05
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,22974,78,1.58 [0.98-2.53],0.0591512320320705
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,20873,1082,1.45 [1.28-1.66],1.9998854000204835e-08
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,20157,1208,1.55 [1.37-1.75],1.4127466396156856e-12
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,19873,242,1.92 [1.49-2.46],3.009360552072359e-07
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16227,2212,1.38 [1.26-1.52],4.08354834768113e-12
EGFL7,Epidermal growth factor-like protein 7,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,19804,390,1.55 [1.25-1.92],5.793136763476253e-05
