Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",19615,139,1.11 [0.87-1.40],0.404148646835807
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",20467,157,0.87 [0.69-1.09],0.2289074568967099
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",20254,1173,1.03 [0.94-1.11],0.5553344846460813
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Candidiasis,20478,310,0.99 [0.84-1.16],0.8938652545126894
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19873,2907,1.01 [0.96-1.07],0.6542763018067073
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),19866,2947,1.06 [1.01-1.12],0.0263039436213313
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,20297,879,1.00 [0.91-1.11],0.9340000980140832
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,20418,68,0.83 [0.59-1.18],0.3042882570831938
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,18582,917,1.00 [0.91-1.11],0.9362361518540634
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,17908,1006,1.05 [0.96-1.15],0.2588404099375649
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,17727,205,1.07 [0.88-1.30],0.5158228678067474
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,14407,1910,1.02 [0.96-1.09],0.4884219126042524
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,17678,338,0.96 [0.82-1.13],0.6548319705895014
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,20470,1052,1.00 [0.91-1.09],0.9217614760856502
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Mycoses,20555,387,1.04 [0.90-1.20],0.6115035483358439
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,19819,738,1.03 [0.92-1.14],0.618632177623535
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,20489,1013,1.03 [0.94-1.12],0.5376900945616754
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,19577,159,0.88 [0.70-1.11],0.2746464112367602
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,20590,42,1.19 [0.77-1.82],0.4303363224004429
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Other septicaemia,20357,881,1.00 [0.91-1.10],0.9869547436995948
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,20406,56,0.72 [0.49-1.07],0.1022629152694033
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Other viral diseases,20530,98,0.98 [0.73-1.31],0.8985450744542429
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",20515,83,0.96 [0.69-1.32],0.7805484187647589
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,19484,403,1.07 [0.93-1.24],0.3189739032785537
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,19319,238,1.02 [0.85-1.23],0.8529781709443334
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,19487,69,1.05 [0.74-1.48],0.7852724661316065
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,20571,59,1.00 [0.69-1.44],0.9971331030898816
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,20541,126,1.00 [0.77-1.29],0.981496273355374
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Viral warts,20462,47,1.03 [0.67-1.57],0.901186332974092
PNLIP,Pancreatic triacylglycerol lipase,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],20461,46,0.94 [0.62-1.45],0.7949760473507281
PNLIP,Pancreatic triacylglycerol lipase,Chapter II Neoplasms,Benign lipomatous neoplasm,20324,302,1.06 [0.90-1.25],0.4774957881570996
PNLIP,Pancreatic triacylglycerol lipase,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,20530,44,0.97 [0.62-1.51],0.8822533840656902
PNLIP,Pancreatic triacylglycerol lipase,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,20496,49,0.79 [0.52-1.21],0.2846907022669988
PNLIP,Pancreatic triacylglycerol lipase,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,20550,109,0.96 [0.73-1.28],0.7968762152483038
PNLIP,Pancreatic triacylglycerol lipase,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",20265,1417,1.00 [0.93-1.08],0.9260847739220648
