Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",22759,175,1.36 [0.76-2.43],0.3025879999559734
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23803,190,1.24 [0.71-2.18],0.4434036687227264
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23555,1414,1.12 [0.91-1.38],0.2674888043051608
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Candidiasis,23814,381,1.69 [1.14-2.48],0.0082799052133516
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,23122,3481,1.21 [1.06-1.38],0.0053157731188431
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),23076,3505,1.45 [1.27-1.66],2.4707085831824244e-08
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,23600,1048,1.25 [0.98-1.59],0.0663451598855177
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,23736,80,1.19 [0.50-2.81],0.6898658260294543
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21583,1129,1.47 [1.17-1.86],0.0010717998349121
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,20827,1247,1.47 [1.18-1.83],0.0006281769511841
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,20539,253,2.58 [1.61-4.14],8.019814035760695e-05
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16759,2285,1.41 [1.20-1.66],2.902612291105761e-05
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,20471,407,1.44 [0.98-2.11],0.06659526948055
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23805,1253,1.31 [1.05-1.63],0.0154187226030654
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Mycoses,23905,472,1.50 [1.05-2.12],0.0244362315133799
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,23035,894,1.01 [0.78-1.31],0.9332081979210348
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23826,1242,1.39 [1.11-1.72],0.0033290187831226
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,22744,192,1.20 [0.69-2.10],0.5194024150292498
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,23944,54,0.65 [0.22-1.90],0.4306465263401162
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23672,1088,1.37 [1.08-1.73],0.008552609905976
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,23727,71,1.49 [0.60-3.71],0.3876315389978387
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23881,120,1.64 [0.82-3.28],0.1582482438542426
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23862,101,2.24 [1.07-4.69],0.032357933970121
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22636,495,1.18 [0.84-1.68],0.3394105297524267
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,22428,287,1.25 [0.78-1.98],0.3530176847457756
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,22641,89,1.39 [0.61-3.14],0.429442834114028
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,23925,68,1.00 [0.39-2.56],0.992906303233412
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23890,146,1.83 [0.98-3.44],0.0579965989707819
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Viral warts,23797,53,1.01 [0.34-2.95],0.9918654628353052
ROBO2,Roundabout homolog 2,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],23796,52,2.45 [0.87-6.84],0.0884402855263292
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign lipomatous neoplasm,23626,343,0.62 [0.41-0.96],0.0318683889007634
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,23872,44,0.56 [0.17-1.89],0.3535088867800321
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,23837,55,0.55 [0.19-1.60],0.2704762133469348
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,23896,129,0.75 [0.37-1.52],0.4283500050058506
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",23568,1647,0.78 [0.64-0.95],0.0114317674857407
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign neoplasm of meninges,23944,32,0.52 [0.13-2.08],0.3533263897582497
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,23880,63,0.50 [0.18-1.37],0.1768327963385324
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,23929,76,3.05 [1.35-6.90],0.0074251116429581
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign neoplasm: Ascending colon,23919,443,0.89 [0.61-1.29],0.5428450716188865
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign neoplasm: Caecum,23914,340,0.85 [0.55-1.30],0.4523770828901656
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",23812,81,0.64 [0.27-1.53],0.3197721759303515
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign neoplasm: Descending colon,23912,279,0.69 [0.43-1.10],0.1145765037586458
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign neoplasm: Rectum,23870,421,0.63 [0.43-0.92],0.0181472605268313
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,23820,731,0.73 [0.54-0.97],0.0328263709033535
ROBO2,Roundabout homolog 2,Chapter II Neoplasms,Benign neoplasm: Transverse colon,23901,561,0.86 [0.62-1.20],0.3874929539058996
