Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",19584,140,0.76 [0.25-2.26],0.6156520566255951
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",20429,157,1.07 [0.38-3.03],0.8981046514173076
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",20218,1169,0.88 [0.60-1.29],0.5180516548085774
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Candidiasis,20441,311,1.05 [0.50-2.19],0.8998326879131557
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19838,2904,0.89 [0.69-1.13],0.3275189320420101
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),19833,2943,0.72 [0.57-0.92],0.0088372558858624
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,20259,875,1.17 [0.75-1.82],0.4843611656005577
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,20381,69,0.95 [0.20-4.47],0.9455130858731884
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,18548,913,0.89 [0.57-1.37],0.5909728142622531
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,17876,1002,0.89 [0.59-1.34],0.5695111762489258
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,17697,205,1.01 [0.41-2.52],0.9817776432081116
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,14372,1910,0.86 [0.63-1.16],0.3177577423051765
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,17643,336,0.99 [0.49-2.02],0.9797760481210204
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,20433,1049,1.20 [0.80-1.80],0.3673866027314316
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Mycoses,20518,388,0.81 [0.42-1.57],0.5365931683151486
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,19784,735,0.89 [0.55-1.44],0.6244573077611436
SERPINC1,Antithrombin-III,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,20453,1009,0.82 [0.54-1.23],0.3376333836817594
