Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",22559,178,1.69 [1.06-2.69],0.0264716041676632
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23590,193,1.78 [1.15-2.77],0.0095635142636112
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23341,1403,1.40 [1.18-1.65],8.360606707490588e-05
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Candidiasis,23601,381,1.68 [1.23-2.31],0.0011247051338943
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22914,3459,1.39 [1.25-1.55],2.006616209912049e-09
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22873,3464,1.55 [1.39-1.72],6.813803604963492e-16
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,23389,1045,1.41 [1.16-1.71],0.0005428184583099
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,23525,82,3.17 [1.78-5.65],9.121816452729372e-05
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21401,1116,1.91 [1.59-2.29],2.9878420346222418e-12
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,20651,1234,1.84 [1.55-2.19],6.575277050405197e-12
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,20368,252,2.03 [1.39-2.97],0.0002334146786385
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16599,2251,1.61 [1.41-1.84],1.6950264224959085e-12
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,20297,404,1.68 [1.24-2.29],0.000940884095905
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23594,1250,1.42 [1.19-1.70],9.124314635587677e-05
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Mycoses,23691,471,1.52 [1.14-2.03],0.0039359274419435
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22827,889,1.37 [1.11-1.69],0.0031827439952587
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23614,1233,1.83 [1.54-2.18],7.24960095462324e-12
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,22539,195,1.72 [1.11-2.67],0.0149978382275883
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,23730,51,0.74 [0.30-1.83],0.5114819674966355
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23456,1075,1.78 [1.48-2.15],1.130127950899951e-09
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,23515,72,1.73 [0.85-3.54],0.1332999280034907
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23668,121,2.48 [1.44-4.27],0.000998483903062
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23647,100,2.32 [1.26-4.25],0.0065484575510115
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22428,490,1.91 [1.45-2.52],4.480332603802569e-06
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,22225,287,1.21 [0.83-1.76],0.3229682357330673
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,22433,89,1.79 [0.94-3.44],0.0782711150058753
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,23711,69,2.72 [1.37-5.43],0.004333385370065
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23676,142,0.94 [0.55-1.61],0.8271691609421943
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Viral warts,23586,52,0.60 [0.25-1.48],0.26866853786163
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],23584,50,1.32 [0.54-3.19],0.5415306276536588
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign lipomatous neoplasm,23411,340,1.09 [0.77-1.53],0.640995881768494
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,23658,44,0.85 [0.32-2.22],0.7333736961197761
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,23625,53,1.13 [0.47-2.74],0.7818872951889229
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,23680,129,1.04 [0.59-1.83],0.8913177780509888
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",23357,1636,1.05 [0.90-1.23],0.5143812679212905
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign neoplasm of meninges,23730,32,1.78 [0.61-5.25],0.2929778146209156
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,23667,67,0.91 [0.42-1.98],0.8149818983780704
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,23714,78,0.49 [0.24-1.01],0.0534141059632809
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign neoplasm: Ascending colon,23705,442,1.24 [0.92-1.67],0.165849500064745
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign neoplasm: Caecum,23700,338,1.16 [0.82-1.63],0.4115820444525214
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",23601,83,1.03 [0.51-2.06],0.938922333522882
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign neoplasm: Descending colon,23697,279,1.07 [0.73-1.57],0.7233706289160383
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign neoplasm: Rectum,23657,421,0.69 [0.50-0.94],0.018151317978009
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,23608,727,0.97 [0.76-1.22],0.775879651518697
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Benign neoplasm: Transverse colon,23686,558,0.90 [0.69-1.18],0.458390890418472
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",18432,70,1.10 [0.51-2.36],0.8032136502796021
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",18430,68,1.03 [0.47-2.25],0.9425218643289424
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",23699,100,0.95 [0.50-1.80],0.8706384615425926
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Haemangioma, any site",23699,97,0.97 [0.51-1.85],0.9237232195538212
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Lung cancer and mesothelioma,15787,343,1.48 [1.05-2.09],0.0233522983230803
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Lymphoid leukaemia,18426,64,0.79 [0.35-1.77],0.558937339931584
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",18563,201,0.80 [0.51-1.27],0.3500145092682548
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",18653,291,1.44 [1.01-2.07],0.0450750340961034
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",18452,90,4.11 [2.46-6.86],6.216402704755836e-08
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)",18504,142,0.89 [0.52-1.52],0.6700545401250058
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)",18502,140,1.02 [0.60-1.75],0.9375499705710818
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers)",18445,83,1.01 [0.50-2.04],0.97459143401007
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",19750,1388,1.03 [0.86-1.22],0.7669622391396146
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers)",18507,145,1.02 [0.60-1.74],0.9288468852626924
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)",18468,106,1.95 [1.11-3.44],0.0209308254202949
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Malignant neoplasms of independent (primary) multiple sites,18492,130,0.81 [0.46-1.44],0.4726762526558251
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Melanocytic naevi,23603,170,1.24 [0.76-2.02],0.3968390971160629
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Melanocytic naevi of trunk,23698,95,1.59 [0.84-3.03],0.1572897532734195
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Melanoma in situ,18395,74,1.22 [0.58-2.57],0.6023958768526648
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Non-follicular lymphoma, hilmo, excluding all cancers",18460,98,1.04 [0.54-1.99],0.9002637282423465
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",18528,166,1.13 [0.69-1.86],0.6174913525977481
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",18579,217,1.22 [0.81-1.85],0.3461527522635741
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Other and unspecified types of non-Hodgkin lymphoma, hilmo, excluding all cancers",18463,101,1.00 [0.53-1.88],0.9901132871806676
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,Other benign neoplasms of skin,23597,137,1.10 [0.64-1.90],0.7202242628422895
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",19558,1196,0.98 [0.81-1.18],0.8308061670413021
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",19634,1272,0.97 [0.81-1.16],0.7274047777949284
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,23455,310,1.56 [1.10-2.21],0.0136065421600661
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,22002,118,2.66 [1.54-4.60],0.000470155859001
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,23217,72,3.16 [1.62-6.16],0.0007530965882987
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,23178,2784,1.43 [1.27-1.62],4.208483159160099e-09
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Folate deficiency anaemia,22448,61,5.17 [2.92-9.16],1.820222181992748e-08
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,23310,53,2.25 [0.99-5.10],0.0525145625352462
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,23358,1474,1.46 [1.24-1.71],6.424485222785516e-06
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,23356,1472,1.45 [1.23-1.71],7.1875746960820336e-06
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,21988,104,1.12 [0.60-2.10],0.7270774277547774
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,23491,1104,1.31 [1.08-1.58],0.0053860373564667
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other coagulation defects,23360,103,1.56 [0.84-2.89],0.1583397774919351
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,23222,77,2.94 [1.54-5.62],0.0010927746707894
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,23206,61,0.95 [0.42-2.16],0.9069611430731293
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,23569,312,2.10 [1.50-2.94],1.5949608609042075e-05
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Sarcoidosis,23634,48,5.22 [2.62-10.37],2.449063724700027e-06
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",23509,252,2.21 [1.53-3.21],2.661871533230936e-05
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Vitamin B12 deficiency anaemia,22464,77,0.66 [0.32-1.37],0.2638056089502514
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,17471,378,2.15 [1.58-2.91],8.802669760574446e-07
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Acute alcohol intoxication,21702,164,3.13 [1.99-4.93],8.292667143644531e-07
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,21729,191,5.45 [3.58-8.31],3.240000724258888e-15
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Alkalosis,17149,56,1.24 [0.53-2.92],0.6174518771936184
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Bipolar affective disorders,22355,65,1.18 [0.54-2.59],0.6755281117263963
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Deficiency of other B group vitamins,21589,225,1.20 [0.79-1.83],0.4008992818263255
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",23225,612,1.25 [0.97-1.62],0.0867606572263787
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Dementia in Alzheimer disease,22855,242,0.99 [0.65-1.49],0.9442841409150466
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Dementia in other diseases classified elsewhere,22779,166,0.74 [0.45-1.23],0.2502258340716424
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,23429,1139,1.38 [1.14-1.66],0.0007405608083576
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,20306,1097,1.52 [1.25-1.84],1.950003154733804e-05
