Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",18912,134,1.17 [0.95-1.43],0.141109863726894
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19723,150,0.92 [0.71-1.19],0.5069754132082709
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19517,1129,1.02 [0.94-1.11],0.6662143402603481
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Candidiasis,19734,299,0.90 [0.75-1.09],0.2796563366927068
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19150,2782,1.00 [0.94-1.05],0.8673158132291786
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),19137,2809,1.03 [0.98-1.09],0.2633840360424967
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,19560,840,0.97 [0.87-1.07],0.5146336740846231
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,19678,66,0.86 [0.57-1.30],0.4726182901696335
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,17926,878,1.02 [0.93-1.12],0.6988680465791293
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,17288,965,1.04 [0.95-1.14],0.3991112016203235
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,17108,198,0.84 [0.66-1.08],0.172113188957667
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,13878,1815,0.99 [0.93-1.07],0.874853363436904
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,17051,323,1.06 [0.91-1.23],0.4689932112742063
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,19724,1004,0.97 [0.88-1.07],0.5672169702889184
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Mycoses,19808,373,0.89 [0.75-1.05],0.1656218830321101
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,19096,708,1.05 [0.95-1.17],0.3200557844088348
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,19748,970,1.04 [0.95-1.14],0.3793607687554454
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,18871,151,0.90 [0.69-1.17],0.4297453275822362
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,19842,38,1.28 [0.93-1.77],0.1325628777154742
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Other septicaemia,19621,843,1.04 [0.94-1.14],0.4835689018403235
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,19664,52,0.83 [0.51-1.34],0.4485095348787686
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Other viral diseases,19783,95,1.09 [0.84-1.43],0.5077092425583117
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",19768,80,1.10 [0.83-1.47],0.4984136484362298
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,18781,393,1.01 [0.87-1.17],0.8770793932492144
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,18614,226,0.92 [0.75-1.14],0.4545617392644066
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,18788,68,1.27 [1.00-1.62],0.0517054867661317
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,19823,56,0.95 [0.63-1.45],0.8228656823712762
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,19796,121,1.03 [0.80-1.33],0.804829425747302
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Viral warts,19720,45,1.30 [0.97-1.74],0.08080890175728
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],19719,44,0.74 [0.42-1.29],0.290482155624266
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign lipomatous neoplasm,19584,284,0.99 [0.83-1.18],0.8750626016558687
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,19784,40,0.58 [0.30-1.10],0.0973169446882196
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,19753,47,0.68 [0.39-1.20],0.1856943890636823
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,19806,103,1.14 [0.89-1.45],0.3069725422540282
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",19527,1352,1.01 [0.93-1.09],0.8039304820116071
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign neoplasm of meninges,19841,26,1.03 [0.60-1.79],0.903012784805314
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,19791,58,1.11 [0.80-1.56],0.5302522741897436
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,19830,63,1.30 [1.02-1.65],0.0355341763617147
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign neoplasm: Ascending colon,19820,379,0.89 [0.75-1.05],0.1636425987403162
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign neoplasm: Caecum,19821,278,0.94 [0.78-1.13],0.499261244182582
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",19734,61,1.24 [0.95-1.62],0.1139413154912324
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign neoplasm: Descending colon,19815,237,1.14 [0.97-1.34],0.0995788280557959
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign neoplasm: Rectum,19780,353,1.12 [0.98-1.28],0.1081227243250405
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,19737,603,0.99 [0.87-1.11],0.8089105167103992
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Benign neoplasm: Transverse colon,19806,459,0.98 [0.86-1.13],0.8103891567270717
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",15454,61,1.17 [0.86-1.58],0.3077962124051575
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",15451,58,0.65 [0.39-1.08],0.0958303327152393
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",19812,77,1.16 [0.88-1.52],0.2986726609018569
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Haemangioma, any site",19812,74,1.18 [0.90-1.54],0.2396772695814916
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Lung cancer and mesothelioma,13231,299,0.94 [0.76-1.15],0.5469042019684895
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Lymphoid leukaemia,15448,55,1.25 [0.94-1.66],0.1184317884874017
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",15554,161,1.07 [0.87-1.32],0.5255239290190378
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",15627,234,1.08 [0.91-1.28],0.4091411623865818
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",15469,76,1.08 [0.79-1.47],0.6190679674929223
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)",15503,110,1.05 [0.81-1.36],0.712381713258327
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)",15515,122,1.03 [0.79-1.33],0.8274292256586462
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers)",15460,67,0.97 [0.67-1.41],0.8822580765438611
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",16539,1146,0.96 [0.87-1.05],0.3359109013212524
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers)",15520,127,1.03 [0.80-1.32],0.8352134428673421
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)",15488,95,0.85 [0.60-1.21],0.362017192015847
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Malignant neoplasms of independent (primary) multiple sites,15494,101,1.26 [1.03-1.54],0.0225735541437996
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Melanocytic naevi,19746,144,0.94 [0.72-1.22],0.6322076672309921
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Melanocytic naevi of trunk,19816,84,1.02 [0.74-1.39],0.9255257946098918
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Melanoma in situ,15421,61,0.91 [0.60-1.37],0.6472278506520842
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Non-follicular lymphoma, hilmo, excluding all cancers",15477,84,0.84 [0.58-1.22],0.3671640560986126
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",15529,136,0.85 [0.64-1.14],0.2704050270871241
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",15583,190,0.85 [0.67-1.09],0.2117280568808339
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Other and unspecified types of non-Hodgkin lymphoma, hilmo, excluding all cancers",15476,83,0.91 [0.64-1.29],0.5911990357408086
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,Other benign neoplasms of skin,19733,124,1.05 [0.82-1.34],0.7210017964710298
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",16380,987,1.03 [0.94-1.12],0.5585415406477048
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",16439,1046,1.03 [0.94-1.12],0.5544542922779668
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,19615,241,1.11 [0.94-1.31],0.2198904523372132
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,18440,65,1.00 [0.70-1.43],0.9811655653925504
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,19429,55,0.69 [0.41-1.16],0.1589600428306547
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,19405,2233,0.99 [0.93-1.05],0.7222240983863095
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Folate deficiency anaemia,18834,52,0.94 [0.61-1.44],0.7633782522485308
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,19500,39,1.34 [1.01-1.79],0.0459406484739791
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,19556,1181,0.97 [0.89-1.06],0.4694550171663502
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,19554,1179,0.97 [0.89-1.06],0.4704667303404608
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,18451,76,1.08 [0.80-1.46],0.6196716233466042
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,19659,877,0.95 [0.85-1.05],0.3219450246038892
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other coagulation defects,19551,90,1.10 [0.84-1.45],0.4932228625043038
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,19435,61,0.95 [0.64-1.41],0.8075990933686364
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,19430,56,1.35 [1.06-1.73],0.0159272937452293
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,19707,246,1.11 [0.94-1.31],0.2064397051290093
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Sarcoidosis,19763,39,0.84 [0.48-1.46],0.5363585151114301
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",19665,204,0.97 [0.78-1.20],0.7725395817650236
TPRKB,EKC/KEOPS complex subunit TPRKB,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Vitamin B12 deficiency anaemia,18841,59,0.97 [0.66-1.42],0.887311844223777
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,14707,298,0.96 [0.80-1.15],0.6573207834879747
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Acute alcohol intoxication,18138,134,0.85 [0.63-1.14],0.2774260583595266
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,18165,161,0.82 [0.62-1.08],0.1553730692412158
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Alkalosis,14459,50,0.73 [0.43-1.24],0.2427401864531302
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Bipolar affective disorders,18722,54,0.98 [0.64-1.49],0.9238040758198176
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Deficiency of other B group vitamins,18093,178,0.94 [0.75-1.19],0.6237195928908732
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",19462,465,0.86 [0.73-1.00],0.0504754478300553
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Dementia in Alzheimer disease,19191,194,0.72 [0.55-0.94],0.0141654380139349
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Dementia in other diseases classified elsewhere,19107,110,0.66 [0.46-0.96],0.0277549444551675
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,19592,924,1.04 [0.94-1.14],0.4639963483588102
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,17026,892,1.02 [0.92-1.12],0.7234757509436374
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases","Disorder of lipoprotein metabolism, unspecified",14471,62,0.86 [0.56-1.32],0.4867157279468128
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases","Disorder of thyroid, unspecified",19152,36,1.12 [0.73-1.70],0.6063145260209677
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of calcium metabolism,14624,215,1.05 [0.87-1.27],0.6264161975092888
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of iron metabolism,14471,62,0.79 [0.49-1.25],0.3052152590345732
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,17609,3200,1.01 [0.96-1.06],0.6778823028250258
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,14559,150,1.00 [0.78-1.28],0.9962370520742608
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of mineral metabolism,14865,456,0.94 [0.81-1.09],0.4434640714717858
TPRKB,EKC/KEOPS complex subunit TPRKB,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,19794,220,1.11 [0.93-1.32],0.2350185865889138
