Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
BMP10,Bone morphogenetic protein 10,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),23515,1797,1.38 [1.17-1.62],9.500835725837454e-05
BMP10,Bone morphogenetic protein 10,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,20659,177,3.21 [1.89-5.42],1.408795139696818e-05
BMP10,Bone morphogenetic protein 10,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,22398,127,4.25 [2.28-7.92],5.128317167835817e-06
BMP10,Bone morphogenetic protein 10,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",21268,786,1.91 [1.49-2.45],2.646428930341003e-07
BMP10,Bone morphogenetic protein 10,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,22499,107,3.92 [1.99-7.73],7.852738731669479e-05
BMP10,Bone morphogenetic protein 10,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with renal complications,1474,32,15.60 [4.51-54.01],1.445812743457916e-05
BMP10,Bone morphogenetic protein 10,Chapter IX Diseases of the circulatory system,Other embolism and thrombosis,22958,45,8.94 [3.17-25.18],3.3948076060448325e-05
BMP10,Bone morphogenetic protein 10,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic nephropathy, excluding more controls",1477,35,15.79 [4.87-51.21],4.263683044436853e-06
BMP10,Bone morphogenetic protein 10,Chapter XI Diseases of the digestive system,Cholelithiasis,23335,827,0.64 [0.51-0.80],9.45830495597367e-05
BMP10,Bone morphogenetic protein 10,Chapter XI Diseases of the digestive system,Diverticular disease of intestine,20487,2139,0.73 [0.64-0.85],2.753839378400988e-05
BMP10,Bone morphogenetic protein 10,Chapter XIV Diseases of the genitourinary system,Acute renal failure,23615,749,1.69 [1.32-2.18],4.419264344135516e-05
BMP10,Bone morphogenetic protein 10,Chapter XIV Diseases of the genitourinary system,Dialysis,22908,42,13.73 [4.72-39.92],1.505673868522866e-06
BMP10,Bone morphogenetic protein 10,Chapter XIV Diseases of the genitourinary system,Glomerular disorders in diseases classified elsewhere,23954,58,11.51 [4.68-28.30],1.0412611006651088e-07
BMP10,Bone morphogenetic protein 10,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,23912,1317,1.47 [1.22-1.78],6.84559736244604e-05
