Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
TCTN3,Tectonic-3,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,23827,2416,1.35 [1.19-1.53],5.304206894361012e-06
TCTN3,Tectonic-3,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,23402,562,2.06 [1.58-2.68],7.806161280422722e-08
TCTN3,Tectonic-3,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,18219,1062,1.62 [1.33-1.97],1.0806569801587226e-06
TCTN3,Tectonic-3,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,24532,615,2.11 [1.64-2.71],5.0336803745472634e-09
TCTN3,Tectonic-3,Chapter I Certain infectious and parasitic diseases,Other septicaemia,24460,543,2.00 [1.53-2.61],4.019096381739964e-07
TCTN3,Tectonic-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,22909,128,7.64 [4.57-12.78],9.028924817333604e-15
TCTN3,Tectonic-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,24259,1470,1.64 [1.39-1.93],3.928463602455778e-09
TCTN3,Tectonic-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,22047,1430,1.77 [1.50-2.10],2.0259921938827118e-11
TCTN3,Tectonic-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of iron metabolism,21001,53,5.64 [2.53-12.54],2.2526328677342424e-05
TCTN3,Tectonic-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,23085,2137,1.52 [1.33-1.74],1.5044255710098042e-09
TCTN3,Tectonic-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,21056,108,3.30 [1.84-5.94],6.614875752094558e-05
TCTN3,Tectonic-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,24003,3055,1.48 [1.32-1.66],2.2084315737920008e-11
TCTN3,Tectonic-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Other anxiety disorders,24337,1105,1.64 [1.36-1.99],3.271548530898426e-07
TCTN3,Tectonic-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,24260,1352,2.65 [2.24-3.14],1.1490629343988393e-29
TCTN3,Tectonic-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,21315,367,1.95 [1.41-2.70],6.310345939406512e-05
TCTN3,Tectonic-3,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,22884,5418,1.45 [1.33-1.59],1.6066356438415386e-17
TCTN3,Tectonic-3,Chapter IX Diseases of the circulatory system,Hypertension,23390,4409,1.56 [1.42-1.71],8.393621827211298e-20
TCTN3,Tectonic-3,Chapter IX Diseases of the circulatory system,"Hypertension, essential",23399,4418,1.56 [1.41-1.71],8.296736075992731e-20
TCTN3,Tectonic-3,Chapter IX Diseases of the circulatory system,"Hypertension, portal",24471,47,16.57 [7.72-35.59],5.906138577721027e-13
TCTN3,Tectonic-3,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",24125,1341,1.47 [1.24-1.74],1.148618419156844e-05
TCTN3,Tectonic-3,Chapter IX Diseases of the circulatory system,Oesophageal varices,23471,30,18.89 [7.60-46.99],2.563919821159531e-10
