Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
TMPRSS5,Transmembrane protease serine 5,Chapter IX Diseases of the circulatory system,Hypertension,26633,4969,0.89 [0.83-0.95],0.0004559810863618
TMPRSS5,Transmembrane protease serine 5,Chapter IX Diseases of the circulatory system,"Hypertension, essential",26648,4984,0.89 [0.83-0.95],0.000429960214383
TMPRSS5,Transmembrane protease serine 5,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic neuropathy,2001,87,2.40 [1.46-3.93],0.0005235749045446
TMPRSS5,Transmembrane protease serine 5,Chapter VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,27877,140,0.51 [0.36-0.72],0.0001529420161514
TMPRSS5,Transmembrane protease serine 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,26156,4712,0.85 [0.80-0.91],3.4012251933102707e-06
TMPRSS5,Transmembrane protease serine 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,24775,3331,0.87 [0.81-0.95],0.000986719785187
TMPRSS5,Transmembrane protease serine 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,24509,6338,0.90 [0.85-0.95],0.0002531857308559
TMPRSS5,Transmembrane protease serine 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,22781,1337,0.79 [0.70-0.89],0.000159708114351
TMPRSS5,Transmembrane protease serine 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,21847,403,0.64 [0.52-0.79],3.480773796111739e-05
TMPRSS5,Transmembrane protease serine 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",27949,394,0.64 [0.52-0.80],5.5687593289933855e-05
TMPRSS5,Transmembrane protease serine 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,23510,2066,0.83 [0.75-0.92],0.0004096617567003
TMPRSS5,Transmembrane protease serine 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,23228,1784,0.79 [0.71-0.88],1.0740757629550702e-05
