Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
H2AP,Huntingtin-interacting protein M,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",23714,90,1.43 [1.13-1.80],0.0026425686499338
H2AP,Huntingtin-interacting protein M,Chapter II Neoplasms,"Haemangioma, any site",23714,88,1.43 [1.13-1.81],0.002599487186147
H2AP,Huntingtin-interacting protein M,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,23318,66,1.46 [1.14-1.87],0.0030506473385812
H2AP,Huntingtin-interacting protein M,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,22273,2066,0.87 [0.79-0.96],0.0067960361782437
H2AP,Huntingtin-interacting protein M,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,23601,1657,0.81 [0.72-0.91],0.0003070275595866
H2AP,Huntingtin-interacting protein M,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",23603,1653,0.82 [0.73-0.92],0.0006123720292401
H2AP,Huntingtin-interacting protein M,Chapter IX Diseases of the circulatory system,Endocarditis,21499,40,1.56 [1.21-2.02],0.0006521137337359
H2AP,Huntingtin-interacting protein M,Chapter VI Diseases of the nervous system,Inflammatory diseases of the central nervous system,23734,60,0.34 [0.15-0.77],0.0094867581574285
H2AP,Huntingtin-interacting protein M,Chapter XI Diseases of the digestive system,Cholelithiasis,23034,798,1.19 [1.06-1.33],0.002478051321402
H2AP,Huntingtin-interacting protein M,Chapter XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,23670,337,0.68 [0.51-0.90],0.0079238100002745
