Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SERPINA12,Serpin A12,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,27130,1495,1.10 [1.07-1.13],5.081441276738769e-10
SERPINA12,Serpin A12,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,27294,596,1.09 [1.03-1.14],0.0026578268780697
SERPINA12,Serpin A12,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",25979,484,1.09 [1.02-1.15],0.0076395787754072
SERPINA12,Serpin A12,Chapter VI Diseases of the nervous system,Diseases of the myoneural junction and muscle,27539,53,1.26 [1.09-1.46],0.0018484849269387
SERPINA12,Serpin A12,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of vitreous body,27491,126,1.16 [1.05-1.28],0.0038249002572618
SERPINA12,Serpin A12,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of eye and adnexa,27528,112,1.15 [1.04-1.29],0.0092074228828061
SERPINA12,Serpin A12,Chapter X Diseases of the respiratory system,All influenza,26261,78,1.21 [1.08-1.37],0.0014349720897333
SERPINA12,Serpin A12,Chapter X Diseases of the respiratory system,All influenza (not pneumonia),26259,76,1.21 [1.08-1.37],0.0016115103271516
SERPINA12,Serpin A12,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,24296,223,0.84 [0.74-0.95],0.0065165670441188
SERPINA12,Serpin A12,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",27499,385,1.10 [1.03-1.18],0.0040917700565734
SERPINA12,Serpin A12,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],24241,168,0.79 [0.67-0.93],0.0054887493948962
SERPINA12,Serpin A12,Chapter XIV Diseases of the genitourinary system,Endometriosis,11263,135,0.82 [0.71-0.95],0.0074358682751936
SERPINA12,Serpin A12,Chapter XIV Diseases of the genitourinary system,"Redundant prepuce, phimosis and paraphimosis",10878,107,1.20 [1.07-1.35],0.0021049836620486
