Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
STX5,Syntaxin-5,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,23837,229,1.38 [1.11-1.71],0.0040406908921769
STX5,Syntaxin-5,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of phosphorus metabolism and phosphatases,20437,87,1.60 [1.15-2.21],0.0048747074490092
STX5,Syntaxin-5,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,23567,1310,1.20 [1.08-1.34],0.0008125882632832
STX5,Syntaxin-5,Chapter IX Diseases of the circulatory system,"Myocardial infarction, with ST-elevation",23876,106,0.41 [0.22-0.76],0.0047517370541064
STX5,Syntaxin-5,Chapter IX Diseases of the circulatory system,Other aneurysm,23263,38,1.76 [1.24-2.49],0.0014870863156095
STX5,Syntaxin-5,Chapter XI Diseases of the digestive system,Coeliac disease,22671,100,1.69 [1.39-2.06],1.6278153545114768e-07
STX5,Syntaxin-5,Chapter XI Diseases of the digestive system,Gingivitis and periodontal diseases,23032,61,1.57 [1.15-2.15],0.0049790660535267
STX5,Syntaxin-5,Chapter XI Diseases of the digestive system,Intestinal malabsorption,22692,121,1.69 [1.41-2.03],1.042887530916116e-08
STX5,Syntaxin-5,Chapter XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,23524,370,0.63 [0.47-0.85],0.0026083342255701
STX5,Syntaxin-5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,22708,96,1.55 [1.15-2.09],0.0043742955132826
STX5,Syntaxin-5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies,23638,1026,1.19 [1.05-1.34],0.0074913285453515
