Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SYT1,Synaptotagmin-1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),23979,1817,1.19 [1.07-1.32],0.0015536009803653
SYT1,Synaptotagmin-1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,22547,530,1.37 [1.16-1.63],0.0002939919013196
SYT1,Synaptotagmin-1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,18182,1060,1.27 [1.11-1.46],0.0006237873840875
SYT1,Synaptotagmin-1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,22572,250,1.60 [1.29-1.99],1.6826757182900904e-05
SYT1,Synaptotagmin-1,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,23536,207,1.45 [1.12-1.87],0.0043871204567417
SYT1,Synaptotagmin-1,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,24496,114,1.73 [1.33-2.25],3.923496273406404e-05
SYT1,Synaptotagmin-1,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],24426,44,1.96 [1.38-2.78],0.0001678710305882
SYT1,Synaptotagmin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,24156,891,1.29 [1.12-1.48],0.0003397980511405
SYT1,Synaptotagmin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,24156,891,1.29 [1.12-1.48],0.0003397980511405
SYT1,Synaptotagmin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,23314,49,1.79 [1.23-2.62],0.0026399297118217
SYT1,Synaptotagmin-1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Vitamin B12 deficiency anaemia,23565,62,1.89 [1.40-2.55],3.0473919354944723e-05
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,21072,180,1.48 [1.11-1.99],0.0081568106529247
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Dementia in Alzheimer disease,24326,47,1.71 [1.16-2.53],0.0066800492575268
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,24186,1470,1.18 [1.05-1.33],0.0048440621710753
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,21988,1429,1.20 [1.06-1.35],0.003357232649215
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of calcium metabolism,21059,167,1.75 [1.40-2.18],8.084699868045293e-07
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,24468,231,1.40 [1.10-1.79],0.0072376046173602
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of parathyroid gland,24330,93,1.83 [1.42-2.36],2.7331181934064987e-06
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,21003,111,1.89 [1.44-2.46],3.249057775377312e-06
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,21028,136,1.85 [1.44-2.36],1.003841726159838e-06
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,24324,87,1.87 [1.46-2.40],8.619876945310215e-07
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypo-osmolality and hyponatraemia,21157,265,1.43 [1.12-1.81],0.003610487344563
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,23930,3038,1.17 [1.07-1.27],0.0003616470532796
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",21685,793,1.46 [1.27-1.67],7.162534411129977e-08
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases","Postprocedural endocrine and metabolic disorders, not elsewhere classified",21005,113,1.56 [1.19-2.05],0.0011589122730486
SYT1,Synaptotagmin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,24188,1341,0.81 [0.69-0.95],0.0099384103093469
SYT1,Synaptotagmin-1,Chapter IX Diseases of the circulatory system,"Atherosclerosis, excluding cerebral and coronary sclerosis",23932,96,1.63 [1.15-2.31],0.0060408359594043
SYT1,Synaptotagmin-1,Chapter IX Diseases of the circulatory system,"Bradycardia, unspecified, drug-induced",24523,227,1.41 [1.09-1.82],0.008167473505781
SYT1,Synaptotagmin-1,Chapter IX Diseases of the circulatory system,"Heart failure, strict",24446,461,1.34 [1.11-1.62],0.0023193311847822
SYT1,Synaptotagmin-1,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",19007,81,1.66 [1.18-2.34],0.0033392831213196
SYT1,Synaptotagmin-1,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,18968,42,2.53 [2.04-3.13],2.288252413756202e-17
SYT1,Synaptotagmin-1,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,24143,307,1.41 [1.14-1.76],0.0019983810107382
SYT1,Synaptotagmin-1,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,24145,139,1.53 [1.15-2.05],0.0039237563436444
SYT1,Synaptotagmin-1,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",22105,1501,1.20 [1.07-1.35],0.0015670326677446
SYT1,Synaptotagmin-1,Chapter VI Diseases of the nervous system,Falls/tendency to fall,24104,1474,1.18 [1.04-1.32],0.0073349787117383
SYT1,Synaptotagmin-1,Chapter VI Diseases of the nervous system,Migraine,23309,373,1.36 [1.11-1.66],0.0034120555129427
SYT1,Synaptotagmin-1,Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",24475,337,1.37 [1.12-1.69],0.0022619667239631
SYT1,Synaptotagmin-1,Chapter X Diseases of the respiratory system,Bacterial pneumonia (organism specified),24303,85,1.85 [1.39-2.46],2.301241813833835e-05
SYT1,Synaptotagmin-1,Chapter X Diseases of the respiratory system,"Bacterial pneumonia, not elsewhere classified",23383,50,2.07 [1.51-2.85],6.490339453219998e-06
SYT1,Synaptotagmin-1,Chapter X Diseases of the respiratory system,Bronchiectasis,21831,159,1.73 [1.38-2.17],1.6207443507286596e-06
SYT1,Synaptotagmin-1,Chapter X Diseases of the respiratory system,Influenza and pneumonia,24392,1059,1.22 [1.07-1.40],0.0041423175931204
SYT1,Synaptotagmin-1,Chapter X Diseases of the respiratory system,Other diseases of pleura,24390,1116,1.27 [1.12-1.45],0.0002435357995731
SYT1,Synaptotagmin-1,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,24500,181,1.44 [1.09-1.89],0.0092542594565176
SYT1,Synaptotagmin-1,Chapter X Diseases of the respiratory system,Pleural effusion,23810,536,1.31 [1.09-1.57],0.0034751584761184
SYT1,Synaptotagmin-1,Chapter X Diseases of the respiratory system,Viral pneumonia,23498,165,1.49 [1.13-1.97],0.0052127499539436
SYT1,Synaptotagmin-1,Chapter X Diseases of the respiratory system,"Viral pneumonia (unknown virus, not influenza)",24317,142,1.53 [1.14-2.04],0.004205854466382
SYT1,Synaptotagmin-1,Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,18804,58,0.31 [0.12-0.75],0.0099006697532086
SYT1,Synaptotagmin-1,Chapter XI Diseases of the digestive system,Diaphragmatic hernia,22684,1614,1.29 [1.16-1.42],1.4163297728825195e-06
SYT1,Synaptotagmin-1,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,19993,7130,1.09 [1.03-1.16],0.0023540010417468
SYT1,Synaptotagmin-1,Chapter XI Diseases of the digestive system,Haemorrhoids and perianal venous thrombosis,19542,1123,1.21 [1.06-1.38],0.0044802372509229
SYT1,Synaptotagmin-1,Chapter XI Diseases of the digestive system,Hernia,23502,2432,1.22 [1.12-1.34],8.000183733672892e-06
SYT1,Synaptotagmin-1,Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,23733,625,1.35 [1.16-1.57],0.0001326660592585
SYT1,Synaptotagmin-1,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,23894,786,1.32 [1.14-1.52],0.0001497625358686
SYT1,Synaptotagmin-1,Chapter XI Diseases of the digestive system,Other gastritis (incl. Duodenitis),21135,1572,1.21 [1.08-1.35],0.0009130980029223
SYT1,Synaptotagmin-1,Chapter XI Diseases of the digestive system,Other noninfective gastroenteritis and colitis,23791,683,1.33 [1.14-1.54],0.0002468470471785
SYT1,Synaptotagmin-1,Chapter XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,24141,384,0.64 [0.47-0.88],0.0060443737879341
SYT1,Synaptotagmin-1,Chapter XII Diseases of the skin and subcutaneous tissue,Follicular cysts of skin and subcutaneous tissue,24027,270,0.48 [0.32-0.71],0.000302171794418
