Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,20522,1185,0.85 [0.75-0.97],0.0141504592206467
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,27574,75,1.52 [1.19-1.95],0.0008959321919507
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter II Neoplasms,Benign neoplasm of meninges,27654,48,0.44 [0.23-0.85],0.0145792389541684
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter II Neoplasms,Benign neoplasm: Rectum,27623,287,0.76 [0.58-0.99],0.0453733152814788
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,27595,532,0.73 [0.60-0.89],0.0021589637716804
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter II Neoplasms,Lung cancer and mesothelioma,20549,174,1.39 [1.09-1.77],0.0089315703651806
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",11164,413,1.25 [1.01-1.54],0.0367889010159103
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",23997,118,1.55 [1.14-2.13],0.0058114566609539
ATP5PO,"ATP synthase subunit O, mitochondrial","Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,25757,139,1.37 [1.02-1.85],0.037989822242357
ATP5PO,"ATP synthase subunit O, mitochondrial","Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",27520,171,0.66 [0.46-0.93],0.0190405534801932
ATP5PO,"ATP synthase subunit O, mitochondrial","Chapter IV Endocrine, nutritional and metabolic diseases",Panic disorder,26193,87,1.54 [1.23-1.93],0.0001773676294978
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter VI Diseases of the nervous system,Migraine,26266,423,1.20 [1.02-1.41],0.0307942680272368
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",27577,377,1.24 [1.05-1.47],0.0098250776884835
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter VI Diseases of the nervous system,Motor neuron disease,20170,96,1.39 [1.04-1.86],0.027558526257077
ATP5PO,"ATP synthase subunit O, mitochondrial","Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Conjunctivitis (acute, non atopic)",27579,32,1.75 [1.38-2.22],4.751679170583622e-06
ATP5PO,"ATP synthase subunit O, mitochondrial","Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other and unspecified visual disturbances,27266,115,1.41 [1.09-1.83],0.0089765703908386
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter VIII Diseases of the ear and mastoid process,Benign paroxysmal vertigo,27472,63,0.52 [0.29-0.92],0.0257244065564776
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter VIII Diseases of the ear and mastoid process,Sensorineural hearing loss,27145,98,1.40 [1.04-1.88],0.0249043936311524
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter X Diseases of the respiratory system,Allergic asthma (mode),20499,124,1.33 [1.03-1.72],0.0313638831729439
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XI Diseases of the digestive system,Acute pancreatitis,26081,167,1.34 [1.04-1.71],0.0219365825056162
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XI Diseases of the digestive system,Diseases of salivary glands,26537,67,1.44 [1.04-1.98],0.0268003428786283
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XI Diseases of the digestive system,Recurring oral aphthae,27659,55,0.44 [0.24-0.81],0.008045293704917
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XI Diseases of the digestive system,Stomatitis and related lesions,26583,126,0.57 [0.38-0.86],0.0069027922229021
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XIII Diseases of the musculoskeletal system and connective tissue,Kyphosis,24720,29,1.68 [1.12-2.52],0.0117901145250416
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XIII Diseases of the musculoskeletal system and connective tissue,Myalgia,24260,85,1.36 [1.02-1.83],0.0393451639471615
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Neuralgia and neuritis, unspecified",24239,64,1.45 [1.08-1.95],0.0145415216568936
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),21297,110,1.39 [1.06-1.82],0.0184006801667666
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,23244,2057,1.14 [1.05-1.24],0.0015114006368626
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Polyarthritis, unspecified",21224,37,1.54 [1.07-2.20],0.0188319663864977
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XIV Diseases of the genitourinary system,Calculus of kidney and ureter,27370,326,1.27 [1.05-1.54],0.0139271319236799
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XIV Diseases of the genitourinary system,Glomerular disorders in diseases classified elsewhere,27518,69,1.38 [1.01-1.91],0.0463759344701932
ATP5PO,"ATP synthase subunit O, mitochondrial",Chapter XIV Diseases of the genitourinary system,Urolithiasis,27434,390,1.27 [1.07-1.51],0.0073381485459535
