Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
ATP6V1D,V-type proton ATPase subunit D,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",28081,144,1.84 [1.28-2.64],0.0010339722887513
ATP6V1D,V-type proton ATPase subunit D,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,27041,146,1.84 [1.29-2.64],0.0008288790930112
ATP6V1D,V-type proton ATPase subunit D,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,28213,33,2.16 [1.12-4.16],0.0219269999236062
ATP6V1D,V-type proton ATPase subunit D,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,27157,336,1.57 [1.18-2.09],0.001937030943038
ATP6V1D,V-type proton ATPase subunit D,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,12579,45,2.04 [1.25-3.34],0.004454529559871
ATP6V1D,V-type proton ATPase subunit D,Chapter II Neoplasms,Carcinoma in situ of breast,13380,89,0.42 [0.19-0.91],0.0281739275382673
ATP6V1D,V-type proton ATPase subunit D,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,27853,34,2.00 [1.01-3.95],0.0470125871170021
ATP6V1D,V-type proton ATPase subunit D,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,28013,194,1.50 [1.02-2.20],0.039235145039764
ATP6V1D,V-type proton ATPase subunit D,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Sarcoidosis,28133,70,1.76 [1.03-3.01],0.0400743575228344
ATP6V1D,V-type proton ATPase subunit D,"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",28064,174,1.58 [1.06-2.37],0.0255545010765443
ATP6V1D,V-type proton ATPase subunit D,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,26472,2437,1.15 [1.01-1.31],0.0403089746764656
ATP6V1D,V-type proton ATPase subunit D,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,24204,169,2.02 [1.44-2.85],5.62650943806316e-05
ATP6V1D,V-type proton ATPase subunit D,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,27516,3481,1.12 [1.01-1.26],0.0400142927972155
ATP6V1D,V-type proton ATPase subunit D,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with neurological complications,1737,71,1.85 [1.08-3.16],0.0241575490151289
ATP6V1D,V-type proton ATPase subunit D,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,1846,195,1.98 [1.36-2.89],0.0003888888747775
ATP6V1D,V-type proton ATPase subunit D,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",21906,88,1.74 [1.00-3.02],0.0494238071493791
ATP6V1D,V-type proton ATPase subunit D,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",27649,1531,1.20 [1.02-1.40],0.027875664884499
ATP6V1D,V-type proton ATPase subunit D,Chapter IX Diseases of the circulatory system,Other disorders of veins,26919,74,0.40 [0.17-0.94],0.0349966799456735
ATP6V1D,V-type proton ATPase subunit D,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,27752,347,1.47 [1.09-1.98],0.0116767163167132
ATP6V1D,V-type proton ATPase subunit D,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,27762,160,1.73 [1.18-2.54],0.0048947786401374
ATP6V1D,V-type proton ATPase subunit D,Chapter IX Diseases of the circulatory system,Secondary right heart disease,27758,156,1.77 [1.21-2.59],0.0030020226261507
ATP6V1D,V-type proton ATPase subunit D,Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,27507,118,1.79 [1.17-2.74],0.0070636324668388
ATP6V1D,V-type proton ATPase subunit D,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,27725,1366,1.21 [1.02-1.43],0.0286205447147139
ATP6V1D,V-type proton ATPase subunit D,Chapter VI Diseases of the nervous system,Migraine,26787,428,1.51 [1.17-1.94],0.0016376388872864
ATP6V1D,V-type proton ATPase subunit D,Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",28126,381,1.59 [1.23-2.06],0.0003544808810379
ATP6V1D,V-type proton ATPase subunit D,Chapter VI Diseases of the nervous system,Neurological diseases,26761,3129,1.13 [1.00-1.26],0.0418434176457367
ATP6V1D,V-type proton ATPase subunit D,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,28123,197,1.64 [1.13-2.37],0.0096577458916438
ATP6V1D,V-type proton ATPase subunit D,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic neuropathy,2020,87,1.89 [1.16-3.09],0.0105210990469025
ATP6V1D,V-type proton ATPase subunit D,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Hypermetropia,27658,27,2.12 [1.06-4.24],0.0330708412121022
ATP6V1D,V-type proton ATPase subunit D,Chapter X Diseases of the respiratory system,Bronchiectasis,25112,187,1.54 [1.04-2.29],0.0321428103044036
ATP6V1D,V-type proton ATPase subunit D,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,26253,4345,1.11 [1.01-1.23],0.0332122935032192
ATP6V1D,V-type proton ATPase subunit D,Chapter XI Diseases of the digestive system,"Cholangitis (primary sclerosing, PSC)",26483,56,0.31 [0.11-0.82],0.0186063615412734
ATP6V1D,V-type proton ATPase subunit D,Chapter XI Diseases of the digestive system,"Cholangitis (primary sclerosing, PSC), with reimbursement 202",27796,56,0.31 [0.12-0.82],0.0189404485684794
ATP6V1D,V-type proton ATPase subunit D,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",28063,82,0.62 [0.39-0.98],0.0428635509621582
ATP6V1D,V-type proton ATPase subunit D,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,27441,103,0.36 [0.17-0.73],0.0051678150247808
