Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,26313,173,1.38 [1.04-1.82],0.024121345931779
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,28303,55,2.42 [1.45-4.04],0.0007232889971517
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,28218,81,0.65 [0.45-0.93],0.0168972892341683
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter II Neoplasms,Carcinoma in situ of breast,13415,89,1.60 [1.08-2.39],0.0199616585034752
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter II Neoplasms,Lung cancer and mesothelioma,21055,178,1.41 [1.06-1.86],0.0166829388404454
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,26878,59,1.95 [1.18-3.22],0.0087631036493438
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,24299,171,1.49 [1.12-1.97],0.0063607752200231
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,"Chapter IV Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,28321,140,1.54 [1.12-2.10],0.0071080947700902
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter IX Diseases of the circulatory system,"Bradycardia, unspecified, drug-induced",28297,266,1.25 [1.00-1.57],0.0486954533179959
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter IX Diseases of the circulatory system,"Hypertension, portal",28161,59,2.35 [1.41-3.91],0.0010146261975975
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter IX Diseases of the circulatory system,Intracerebral haemorrhage,27793,65,0.64 [0.43-0.96],0.0291219925968203
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter IX Diseases of the circulatory system,Oesophageal varices,26995,41,4.89 [2.60-9.17],7.961535057108039e-07
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,27671,146,1.45 [1.07-1.97],0.018111688888684
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter IX Diseases of the circulatory system,Other other unspecified disorders of the circulatory system,27567,49,2.76 [1.57-4.86],0.0004208077877969
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",28090,362,0.82 [0.69-0.99],0.0350237759132301
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter V Mental and behavioural disorders,Smoking dependency,27787,1551,1.11 [1.01-1.21],0.0284823552389511
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",25611,1803,1.09 [1.00-1.18],0.0448971401899376
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter VI Diseases of the nervous system,MS-disease / Multiple Sclerosis,28132,144,1.44 [1.05-1.96],0.0216720531810701
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Blepharochalasis,27568,38,0.56 [0.34-0.92],0.0231351577371553
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of ocular muscles, binocular movement, accommodation and refraction",28238,484,0.85 [0.73-0.99],0.0426326008190701
