Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
KITLG,Kit ligand,Chapter I Certain infectious and parasitic diseases,Candidiasis,28237,309,0.62 [0.48-0.79],0.0001515310084779
KITLG,Kit ligand,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,27446,2786,0.85 [0.78-0.93],0.0003046702346498
KITLG,Kit ligand,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),27689,2089,0.85 [0.77-0.94],0.0020951563298398
KITLG,Kit ligand,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,26962,645,0.79 [0.66-0.95],0.0117459884705932
KITLG,Kit ligand,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,26317,174,0.59 [0.42-0.81],0.0014070046919957
KITLG,Kit ligand,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,21034,1212,0.80 [0.70-0.91],0.0008908032992134
KITLG,Kit ligand,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,28189,1167,0.85 [0.75-0.98],0.0223592398717345
KITLG,Kit ligand,Chapter I Certain infectious and parasitic diseases,Mycoses,28297,369,0.64 [0.51-0.81],0.0001398221241614
KITLG,Kit ligand,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,28236,715,0.84 [0.71-0.99],0.041769286656816
KITLG,Kit ligand,Chapter I Certain infectious and parasitic diseases,Other septicaemia,28144,623,0.82 [0.68-0.98],0.0275588542955479
KITLG,Kit ligand,Chapter I Certain infectious and parasitic diseases,Viral warts,28191,45,2.27 [1.10-4.69],0.0265151222735921
KITLG,Kit ligand,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",28142,1203,0.87 [0.76-0.99],0.036988038070592
KITLG,Kit ligand,Chapter II Neoplasms,Benign neoplasm: Rectum,28294,297,0.76 [0.58-0.99],0.04261380118085
KITLG,Kit ligand,Chapter II Neoplasms,Benign neoplasm: Transverse colon,28332,315,0.72 [0.56-0.93],0.0120812480526084
KITLG,Kit ligand,Chapter II Neoplasms,Lung cancer and mesothelioma,21055,179,0.52 [0.37-0.73],0.0001310957550226
KITLG,Kit ligand,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",24516,50,0.60 [0.43-0.85],0.0037214302938474
