Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,22539,535,1.17 [1.01-1.35],0.0370782259511683
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,23706,27,1.75 [1.10-2.76],0.0175115160393061
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23544,518,1.18 [1.01-1.37],0.0315394584907885
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",23532,988,0.86 [0.76-0.97],0.0176572981564727
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter II Neoplasms,Benign neoplasm of meninges,23694,43,1.63 [1.11-2.39],0.0131960541582476
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter II Neoplasms,Melanocytic naevi,23504,191,0.55 [0.41-0.74],8.993953874527254e-05
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter II Neoplasms,Melanocytic naevi of trunk,23663,87,0.55 [0.35-0.85],0.0077389449674242
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter II Neoplasms,"Non-follicular lymphoma, hilmo, excluding all cancers",20470,53,1.47 [1.00-2.17],0.0488153309584844
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",20517,100,1.38 [1.02-1.86],0.0349702065550206
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,23013,1881,1.13 [1.05-1.23],0.0022529411723334
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,23411,27,2.03 [1.42-2.89],9.020343398751674e-05
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other coagulation defects,23474,90,1.41 [1.03-1.92],0.0299614606328721
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,23244,39,1.58 [1.02-2.43],0.038285522490752
PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,23543,159,1.45 [1.15-1.82],0.0017608236458513
