Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23552,874,0.83 [0.69-0.99],0.041029110398052
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,22880,202,0.61 [0.41-0.92],0.0186556927821438
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23820,112,0.55 [0.32-0.96],0.0362394641199747
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,23842,44,0.31 [0.12-0.79],0.0136052262012272
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,22662,40,1.71 [1.08-2.73],0.0230332720541913
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,23183,1915,1.13 [1.02-1.25],0.0202403350268194
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Folate deficiency anaemia,22880,19,1.99 [1.13-3.48],0.0166206514665803
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,"Chapter IV Endocrine, nutritional and metabolic diseases",Acute alcohol intoxication,22198,108,1.45 [1.09-1.92],0.0098450901649221
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,20417,107,1.61 [1.18-2.19],0.0026142123872943
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,"Chapter IV Endocrine, nutritional and metabolic diseases",Phobic anxiety disorders,22622,97,0.48 [0.26-0.88],0.0174274013357169
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,22246,36,1.99 [1.20-3.29],0.0075833250547721
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter IX Diseases of the circulatory system,Cerebral atherosclerosis,23877,15,1.87 [1.01-3.45],0.0452132578440936
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",18503,80,1.55 [1.07-2.25],0.0219567236603485
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,23482,135,1.47 [1.08-2.00],0.0151065999218192
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,23839,282,1.36 [1.08-1.71],0.0077875567197359
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter IX Diseases of the circulatory system,Secondary right heart disease,23479,132,1.43 [1.04-1.98],0.0295412063418788
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter IX Diseases of the circulatory system,Thoracic aortic aneurysm,23226,49,1.78 [1.20-2.63],0.004033837432315
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter VI Diseases of the nervous system,Migraine,22666,364,1.32 [1.07-1.62],0.0082040989825054
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",23801,330,1.30 [1.05-1.62],0.0172295520888448
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other and unspecified glaucoma,23716,219,1.35 [1.04-1.76],0.0266899756056647
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter X Diseases of the respiratory system,All influenza,22752,71,1.56 [1.04-2.33],0.0302873444033824
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter X Diseases of the respiratory system,All influenza (not pneumonia),22751,70,1.60 [1.08-2.37],0.0201449087773247
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter X Diseases of the respiratory system,Allergic rhinitis,23755,275,0.69 [0.49-0.97],0.032148055640839
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter X Diseases of the respiratory system,Other pleural conditions,22659,33,1.61 [1.01-2.58],0.0473353647311875
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter X Diseases of the respiratory system,Pulmonary oedema,23682,35,0.34 [0.12-0.98],0.0447191516390783
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,22796,275,0.69 [0.49-0.97],0.0334747463652448
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Alcoholic liver disease,23198,76,1.51 [1.00-2.27],0.0487872899046903
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Chronic gastritis,19243,220,1.32 [1.01-1.71],0.0409124010428191
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Coeliac disease,22624,100,1.89 [1.50-2.39],6.886173509029051e-08
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Diseases of the digestive system,23626,1102,1.16 [1.01-1.32],0.0341630848241733
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Diseases of tongue,22906,101,1.48 [1.06-2.07],0.0208913985913765
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Gastric ulcer,19268,245,0.59 [0.40-0.85],0.005364018026673
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,19382,359,0.62 [0.46-0.84],0.0020318885684475
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Gingivitis and periodontal diseases,22985,61,1.58 [1.07-2.35],0.0219169161549969
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Hernia,22861,2345,1.12 [1.01-1.23],0.0232619689215762
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Intestinal malabsorption,22645,121,1.80 [1.43-2.28],8.73155239360436e-07
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Other and unspecified abdominal hernia,20560,44,0.36 [0.15-0.91],0.03072362212389
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Ulcerative colitis,22597,129,1.37 [1.00-1.89],0.0496740440434256
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XI Diseases of the digestive system,Volvulus,18267,54,1.74 [1.26-2.41],0.0007398082312372
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XII Diseases of the skin and subcutaneous tissue,Pruritus,23502,52,1.56 [1.02-2.38],0.0399791297006017
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XII Diseases of the skin and subcutaneous tissue,"Ulcer of lower limb, not elsewhere classified",22572,114,1.46 [1.04-2.05],0.0283489338705977
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,22267,4056,0.91 [0.84-0.98],0.0140724741625011
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of muscles,20903,105,0.49 [0.27-0.88],0.0174751060111603
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Giant cell arteritis,23404,34,1.75 [1.19-2.57],0.0041672006444073
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Myalgia,20868,70,1.66 [1.16-2.37],0.0052981309655425
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Osteoporosis,23145,580,1.22 [1.04-1.45],0.0175687075946196
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",23771,297,1.29 [1.02-1.63],0.0346978178688684
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other necrotizing vasculopathies,23422,52,1.63 [1.12-2.36],0.0108991535697755
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified disorders of muscle,20858,60,0.35 [0.16-0.78],0.0097855351897048
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,23780,282,1.28 [1.01-1.63],0.044342386103172
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Radiculopathy,21341,81,1.62 [1.19-2.20],0.0019915615542802
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Shoulder lesions,21323,525,1.31 [1.10-1.56],0.0019864132619983
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,22922,2124,1.11 [1.00-1.22],0.041343576564072
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIV Diseases of the genitourinary system,Cystitis,21938,133,1.45 [1.08-1.95],0.0134055792426674
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIV Diseases of the genitourinary system,Orchitis and epididymitis,9378,45,0.58 [0.33-1.00],0.0498041253944163
PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Chapter XIV Diseases of the genitourinary system,"Other chronic cystitis, drug-induced",23866,34,1.72 [1.12-2.63],0.0130865903496551
