Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23742,872,1.12 [1.03-1.22],0.0111168588314811
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,23291,2374,1.09 [1.03-1.15],0.0012212468702633
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),23515,1797,1.08 [1.02-1.15],0.0126369614867415
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,23802,863,1.10 [1.01-1.20],0.0309779645684887
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,22874,556,1.12 [1.01-1.25],0.0325729636233642
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,22102,528,1.16 [1.04-1.29],0.0074215110393638
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,17806,1046,1.14 [1.05-1.23],0.0012662389578914
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,23399,529,1.14 [1.03-1.28],0.0154747078326043
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23980,610,1.12 [1.02-1.25],0.0238279782147865
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23986,151,1.26 [1.03-1.54],0.026748730991576
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23971,136,1.24 [1.00-1.53],0.0490239352169041
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,23168,298,1.19 [1.03-1.38],0.0173502006787371
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Benign lipomatous neoplasm,23815,276,1.22 [1.05-1.42],0.0081421568087719
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,23996,64,1.37 [1.01-1.86],0.0450306459851269
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,23972,68,1.45 [1.08-1.95],0.0134550722410389
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Carcinoma in situ of breast,11384,76,0.72 [0.52-0.98],0.0361733496752564
YWHAQ,14-3-3 protein theta,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,23373,1937,1.10 [1.03-1.16],0.0018906301999332
YWHAQ,14-3-3 protein theta,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,23683,884,1.10 [1.01-1.20],0.0235000288903797
YWHAQ,14-3-3 protein theta,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,23683,884,1.10 [1.01-1.20],0.0235000288903797
YWHAQ,14-3-3 protein theta,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,23827,795,1.10 [1.01-1.20],0.0368585799444271
YWHAQ,14-3-3 protein theta,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",23882,149,0.76 [0.61-0.94],0.0121560462492699
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Alkalosis,20515,33,1.65 [1.08-2.52],0.0197739614088328
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of calcium metabolism,20643,161,1.44 [1.19-1.75],0.0002319371223791
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,22566,2084,1.18 [1.11-1.24],1.0258640343656264e-08
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of mineral metabolism,20824,342,1.27 [1.11-1.46],0.0004422324115616
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,23988,228,1.26 [1.07-1.49],0.0056654491576976
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of parathyroid gland,23851,91,1.52 [1.17-1.96],0.0013990937921923
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,23700,1117,1.11 [1.03-1.20],0.0075661997140611
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,23846,86,1.51 [1.16-1.96],0.0022612405332611
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypo-osmolality and hyponatraemia,20748,266,1.19 [1.02-1.39],0.0300355924063774
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,23465,2983,1.15 [1.10-1.20],6.402741056041638e-09
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Other and/or unspecified nontoxic goitre,22615,32,1.62 [1.06-2.47],0.0260743492675098
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",21268,786,1.17 [1.07-1.28],0.0005135551874813
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases","Postprocedural endocrine and metabolic disorders, not elsewhere classified",20593,111,1.38 [1.09-1.75],0.0075957437319726
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,23716,1324,1.13 [1.06-1.21],0.0004121196456134
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,20840,358,1.17 [1.02-1.33],0.0252098507289745
YWHAQ,14-3-3 protein theta,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,23434,1168,1.13 [1.05-1.21],0.0016483968542758
YWHAQ,14-3-3 protein theta,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,22362,5292,1.08 [1.04-1.12],3.0782154074289085e-05
YWHAQ,14-3-3 protein theta,Chapter IX Diseases of the circulatory system,Hypertension,22854,4304,1.08 [1.04-1.12],0.0001121014149015
YWHAQ,14-3-3 protein theta,Chapter IX Diseases of the circulatory system,"Hypertension, essential",22863,4313,1.08 [1.04-1.12],0.0001291256701095
YWHAQ,14-3-3 protein theta,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",23580,1305,1.10 [1.03-1.18],0.0065367763446179
YWHAQ,14-3-3 protein theta,Chapter IX Diseases of the circulatory system,Oesophageal varices,22944,31,0.61 [0.37-0.99],0.0462487367957172
YWHAQ,14-3-3 protein theta,Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",21429,1245,1.08 [1.01-1.16],0.0336688758858131
YWHAQ,14-3-3 protein theta,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,23649,1162,1.09 [1.01-1.17],0.0224236661840074
YWHAQ,14-3-3 protein theta,Chapter VI Diseases of the nervous system,Hydrocephalus,23630,43,1.50 [1.04-2.17],0.029533495292716
YWHAQ,14-3-3 protein theta,Chapter VI Diseases of the nervous system,Migraine,22853,366,1.19 [1.05-1.36],0.0085590288793309
YWHAQ,14-3-3 protein theta,Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",23999,331,1.18 [1.03-1.36],0.0185789340997229
YWHAQ,14-3-3 protein theta,Chapter VI Diseases of the nervous system,Neurological diseases,22803,2664,1.05 [1.00-1.10],0.0494702072869549
YWHAQ,14-3-3 protein theta,Chapter VI Diseases of the nervous system,Small fibre neuropathy,23843,32,1.54 [1.00-2.36],0.049207686185702
YWHAQ,14-3-3 protein theta,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,23532,108,1.31 [1.03-1.66],0.0288071633477128
YWHAQ,14-3-3 protein theta,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",19089,1550,1.07 [1.00-1.14],0.0358220960029979
YWHAQ,14-3-3 protein theta,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",19190,1520,1.08 [1.01-1.15],0.0270207010828975
YWHAQ,14-3-3 protein theta,Chapter X Diseases of the respiratory system,"Bacterial pneumonia, not elsewhere classified",22907,52,1.46 [1.04-2.05],0.0276234652083108
YWHAQ,14-3-3 protein theta,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,23303,2066,1.07 [1.01-1.14],0.0138886178747084
YWHAQ,14-3-3 protein theta,Chapter X Diseases of the respiratory system,Chronic sinusitis,22859,144,1.32 [1.08-1.63],0.007905943624293
YWHAQ,14-3-3 protein theta,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,22380,3731,1.07 [1.03-1.12],0.0008016305436031
YWHAQ,14-3-3 protein theta,Chapter X Diseases of the respiratory system,Emphysema,21402,165,1.26 [1.04-1.54],0.0192361824980199
